0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515
6685,7080,7012,38,13562,18152.0,10216.0,16421.0,13971.0,16615.0,17198.0,10516.0,14285.0,349.0,376.0,15315.0,11787.0,17068.0,3400.0,15912.0,2011.0,7436.0,10216.0,14945.0,4640.0,14918.0,10516.0,10414.0,14307.0,16248.0,13184.0,3725.0,11299.0,10097.0,3940.0,10097.0,9432.0,8303.0,7436.0,5512.0,16278.0,17334.0,10592.0,16278.0,4861.0,1293.0,14918.0,10516.0,15998.0,10642.0,38.0,10097.0,2313.0,4861.0,14147.0,14980.0,14015.0,2011.0,10516.0,18249.0,2313.0,16278.0,4861.0,15631.0,3940.0,10097.0,1188.0,13113.0,4640.0,18421.0,12172.0,606.0,492.0,10414.0,17334.0,5137.0,15255.0,5137.0,38.0,13913.0,13562.0,11299.0,7012.0,5353.0,606.0,16779.0,17983.0,10746.0,11749.0,4640.0,18421.0,12172.0,606.0,492.0,10414.0,10516.0,9906.0,1534.0,7012.0,14918.0,10516.0,2011.0,2342.0,5137.0,13913.0,13562.0,11299.0,18048.0,17334.0,15917.0,16278.0,4861.0,11800.0,17157.0,10516.0,9906.0,5639.0,8480.0,9719.0,3725.0,14983.0,7012.0,38.0,11299.0,15682.0,18200.0,10097.0,11218.0,376.0,38.0,8897.0,15853.0,2836.0,13562.0,6429.0,14920.0,7044.0,6303.0,14811.0,11114.0,15853.0,2957.0,376.0,14918.0,10516.0,2011.0,13888.0,9392.0,14980.0,12949.0,7012.0,12097.0,7815.0,13562.0,4821.0,7436.0,15853.0,2209.0,13485.0,13898.0,10516.0,1270.0,9428.0,14980.0,13971.0,15631.0,4303.0,13913.0,13562.0,11299.0,10097.0,10216.0,16421.0,13888.0,15887.0,13184.0,15631.0,14015.0,3940.0,10097.0,9432.0,13113.0,10516.0,17436.0,1598.0,3400.0,14010.0,8054.0,10097.0,1598.0,3400.0,5208.0,5143.0,1564.0,7012.0,38.0,10516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12515,7012,18502,7012,9732,12248.0,9194.0,7436.0,17299.0,10516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13684,13971,15201,15853,4705,7012.0,11501.0,8072.0,7012.0,18393.0,10097.0,9730.0,10642.0,413.0,13562.0,9220.0,4640.0,3248.0,10414.0,4155.0,10097.0,4368.0,13562.0,9220.0,4640.0,3455.0,10414.0,5053.0,12828.0,2695.0,9364.0,10516.0,14285.0,16638.0,9674.0,17334.0,4923.0,13562.0,6873.0,17334.0,5189.0,13562.0,9741.0,17334.0,6421.0,2518.0,17334.0,8500.0,11335.0,11537.0,10145.0,7436.0,15209.0,12421.0,10516.0,10412.0,10307.0,13422.0,15682.0,4430.0,16631.0,10642.0,15853.0,385.0,8690.0,14901.0,2695.0,5485.0,11617.0,10516.0,16465.0,7012.0,18393.0,4640.0,17801.0,11522.0,6759.0,3512.0,13562.0,3052.0,4439.0,1108.0,16143.0,14901.0,2695.0,16465.0,7012.0,5564.0,13422.0,3512.0,13562.0,3052.0,16143.0,13562.0,3052.0,10414.0,17334.0,9730.0,15917.0,6759.0,3512.0,13562.0,3052.0,3669.0,5290.0,14186.0,722.0,16143.0,10516.0,356.0,12044.0,6685.0,16143.0,16600.0,3605.0,7012.0,9364.0,10516.0,9906.0,4262.0,14307.0,1901.0,9719.0,13120.0,4155.0,17334.0,4155.0,9220.0,2695.0,4368.0,10097.0,413.0,9173.0,4640.0,9952.0,10414.0,17334.0,10097.0,5222.0,7012.0,413.0,13562.0,9220.0,10097.0,4368.0,13562.0,9220.0,5053.0,10516.0,9761.0,5143.0,15631.0,15853.0,14272.0,7012.0,413.0,13562.0,9220.0,10097.0,4368.0,13562.0,9220.0,5053.0,1357.0,10097.0,6303.0,4868.0,14980.0,4292.0,413.0,13562.0,9220.0,4155.0,10516.0,12551.0,5143.0,15853.0,14272.0,7012.0,4368.0,13562.0,9220.0,5053.0,1357.0,10516.0,15094.0,4868.0,14980.0,4292.0,9952.0,12742.0,7012.0,13120.0,4155.0,8024.0,4861.0,1293.0,4705.0,10642.0,9220.0,4155.0,10516.0,9906.0,12208.0,11010.0,7012.0,18393.0,10097.0,9730.0,10642.0,3455.0,10097.0,3248.0,5053.0,6097.0,376.0,15853.0,2509.0,7035.0,7012.0,5053.0,13888.0,11002.0,2695.0,11628.0,7378.0,10097.0,13971.0,16638.0,10012.0,5125.0,10516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4335,7436,3605,4155,17617,9008.0,9730.0,5137.0,16638.0,5974.0,8490.0,12202.0,8991.0,16684.0,10516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9855,7012,15853,1755,16870,5576.0,5520.0,5137.0,5485.0,11019.0,14186.0,11711.0,16118.0,10516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4497,16278,7532,13184,12795,153.0,4640.0,892.0,10414.0,10097.0,12703.0,4640.0,3914.0,10414.0,13888.0,17974.0,10516.0,4863.0,5930.0,6148.0,16600.0,8072.0,7012.0,15853.0,14930.0,17334.0,6960.0,13492.0,4901.0,4640.0,16278.0,3052.0,10097.0,6797.0,10414.0,10097.0,7269.0,4640.0,16594.0,3052.0,10414.0,10516.0,9906.0,6152.0,7012.0,5044.0,2518.0,15682.0,14980.0,11409.0,15853.0,5193.0,7012.0,15853.0,16278.0,1446.0,11812.0,17334.0,15853.0,1784.0,7378.0,4201.0,10097.0,7403.0,13476.0,16278.0,12332.0,3400.0,10327.0,14980.0,6639.0,3000.0,4211.0,7012.0,9329.0,10516.0,1072.0,5905.0,10097.0,17550.0,17334.0,1632.0,10097.0,12795.0,1934.0,13184.0,7694.0,3653.0,10097.0,1775.0,14319.0,14307.0,15716.0,10516.0,14285.0,15853.0,2509.0,16278.0,17334.0,17550.0,10097.0,1775.0,14319.0,13184.0,153.0,14307.0,14245.0,17334.0,5137.0,15682.0,15853.0,18304.0,13052.0,13184.0,9902.0,7012.0,10811.0,13611.0,10516.0,4863.0,9866.0,13562.0,6873.0,12795.0,2419.0,13184.0,892.0,15682.0,1180.0,7436.0,15631.0,16278.0,16600.0,15853.0,8072.0,7012.0,3052.0,11749.0,7012.0,15853.0,546.0,17334.0,10097.0,14245.0,13184.0,10811.0,13611.0,10516.0,13684.0,14811.0,7616.0,2112.0,1632.0,10097.0,12795.0,1934.0,13184.0,6042.0,3653.0,10097.0,7221.0,8930.0,14980.0,3906.0,7012.0,6954.0,10516.0,18249.0,9426.0,6097.0,376.0,153.0,7178.0,4592.0,11812.0,7436.0,5044.0,16278.0,10516.0,11534.0,7694.0,1005.0,153.0,14811.0,12089.0,8778.0,11812.0,7436.0,13476.0,16278.0,7044.0,2685.0,17334.0,16638.0,5930.0,7012.0,6954.0,14307.0,7998.0,10516.0,9906.0,4846.0,7378.0,7012.0,15887.0,11812.0,13888.0,8859.0,6190.0,8997.0,13848.0,10516.0,9744.0,5044.0,6669.0,17334.0,15315.0,14178.0,15853.0,1609.0,2255.0,7012.0,16638.0,13765.0,13562.0,15011.0,7178.0,2695.0,153.0,10516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5551,5738,18152,13184,9751,10516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4161,14178,5485,3585,546,13184.0,8932.0,3952.0,5092.0,16788.0,700.0,10097.0,815.0,15917.0,13562.0,6281.0,4821.0,10516.0,14269.0,17664.0,18449.0,13971.0,18344.0,376.0,9055.0,8898.0,4055.0,17275.0,17720.0,11123.0,11329.0,8529.0,14186.0,14245.0,12165.0,400.0,10097.0,10003.0,10142.0,14186.0,14742.0,13746.0,11010.0,7044.0,13159.0,9524.0,2695.0,3402.0,13562.0,9283.0,13336.0,1446.0,16042.0,10516.0,9744.0,11409.0,13223.0,12340.0,9055.0,17717.0,14178.0,18152.0,13184.0,16638.0,17818.0,6098.0,7012.0,700.0,1347.0,3761.0,10097.0,4329.0,7012.0,17664.0,11010.0,17334.0,8500.0,11607.0,12566.0,3635.0,1277.0,16949.0,13803.0,14980.0,11409.0,700.0,3761.0,7436.0,1529.0,7532.0,13184.0,12340.0,17664.0,1564.0,7012.0,9055.0,4640.0,5400.0,5400.0,3369.0,3369.0,11537.0,10414.0,3669.0,2691.0,4640.0,5400.0,5400.0,3369.0,3369.0,5564.0,10414.0,10516.0,10423.0,9055.0,10097.0,2691.0,12089.0,700.0,3761.0,16379.0,16729.0,4511.0,3519.0,10097.0,10647.0,13936.0,5092.0,8439.0,17664.0,1564.0,10516.0,8539.0,15682.0,1293.0,4481.0,14088.0,16729.0,3761.0,16379.0,13968.0,13184.0,2691.0,3669.0,9055.0,10516.0,4932.0,13562.0,12828.0,17768.0,15682.0,8054.0,7436.0,1529.0,7532.0,13184.0,9055.0,4640.0,7488.0,13936.0,10414.0,10097.0,2691.0,4640.0,13954.0,13936.0,10414.0,10097.0,15682.0,8054.0,5092.0,3761.0,16379.0,8877.0,3519.0,13936.0,10516.0,16575.0,10642.0,13476.0,305.0,17334.0,6303.0,14178.0,9225.0,376.0,15917.0,13562.0,6281.0,12949.0,13968.0,13184.0,9055.0,5092.0,700.0,3761.0,4141.0,7012.0,3519.0,13936.0,10097.0,8877.0,7726.0,8859.0,15329.0,14980.0,2554.0,7007.0,15853.0,4773.0,14186.0,14742.0,13746.0,11010.0,10516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11092,7012,2634,17334,13184,11158.0,10496.0,14980.0,6444.0,2902.0,17334.0,17364.0,6195.0,16278.0,13184.0,12512.0,2066.0,11151.0,8898.0,5932.0,14307.0,15912.0,17617.0,15853.0,7985.0,7012.0,15853.0,13237.0,9739.0,10783.0,7436.0,17299.0,1005.0,616.0,14980.0,8711.0,10516.0,9906.0,1261.0,8624.0,7012.0,2634.0,14307.0,9176.0,10097.0,9017.0,4640.0,4685.0,13936.0,10414.0,17334.0,17255.0,14876.0,4640.0,1116.0,13936.0,10414.0,17334.0,8726.0,7928.0,4640.0,18218.0,13936.0,10414.0,17334.0,6444.0,15586.0,4640.0,18181.0,13936.0,10414.0,10097.0,2046.0,4640.0,600.0,13936.0,10414.0,10516.0,7126.0,2902.0,15682.0,15853.0,1476.0,11970.0,11370.0,5193.0,7012.0,2634.0,17334.0,10636.0,14186.0,2566.0,4415.0,13936.0,7012.0,2499.0,17364.0,15853.0,16278.0,17334.0,10795.0,6303.0,15682.0,15853.0,17924.0,11970.0,5652.0,5193.0,7012.0,2634.0,17364.0,15853.0,13701.0,16911.0,6138.0,7436.0,8711.0,10516.0,9906.0,9172.0,6872.0,7012.0,6444.0,2902.0,5137.0,16638.0,5193.0,7012.0,2634.0,7436.0,16278.0,13184.0,11151.0,8898.0,5932.0,17720.0,6372.0,15853.0,6044.0,4705.0,7012.0,6280.0,10097.0,16638.0,6044.0,14823.0,9392.0,14980.0,5143.0,814.0,16379.0,7436.0,15853.0,16066.0,6429.0,10516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9134,12828,18364,10169,7436,16638.0,16594.0,7916.0,13606.0,2516.0,10516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
