0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477
6232,2456,763,716,2379,9394,12590.0,14569.0,12301.0,5796.0,15295.0,1925.0,6582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10969,12590,17602,7915,15686,3266,13094.0,13423.0,12799.0,13812.0,14301.0,11776.0,3023.0,16332.0,7499.0,15686.0,12285.0,11284.0,16953.0,10383.0,6582.0,1423.0,10910.0,4040.0,10841.0,9248.0,16997.0,4064.0,8417.0,12798.0,13248.0,4322.0,558.0,11694.0,716.0,12285.0,1301.0,2774.0,8996.0,16919.0,4941.0,15612.0,544.0,6919.0,10383.0,4794.0,15926.0,13215.0,10984.0,7820.0,16997.0,695.0,18229.0,15926.0,13215.0,18504.0,7820.0,8864.0,10620.0,6582.0,1423.0,13215.0,10984.0,2774.0,9248.0,13248.0,12590.0,18400.0,16997.0,13234.0,3023.0,17087.0,4323.0,12715.0,6582.0,1423.0,13215.0,18504.0,2774.0,11080.0,14630.0,12301.0,10713.0,646.0,11080.0,10910.0,18400.0,16997.0,13234.0,3023.0,17087.0,13248.0,2774.0,9248.0,8568.0,10743.0,4323.0,14628.0,2774.0,15686.0,14301.0,10016.0,11097.0,12590.0,15988.0,13248.0,6582.0,4192.0,11071.0,2592.0,10294.0,11776.0,3023.0,16332.0,10620.0,15686.0,2373.0,11116.0,12590.0,12285.0,2009.0,9922.0,12381.0,18248.0,17214.0,12301.0,17311.0,3023.0,15008.0,10383.0,6582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8345,3166,12590,14695,13783,10539,16997.0,2379.0,7327.0,12590.0,11232.0,14974.0,6582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2992,9770,14301,15720,12590,12372,7636.0,10927.0,9831.0,12301.0,11323.0,1301.0,3001.0,11266.0,13094.0,16947.0,6582.0,17732.0,10620.0,2774.0,6650.0,5217.0,13740.0,15686.0,1378.0,7027.0,16997.0,3155.0,12590.0,10090.0,17137.0,13152.0,2774.0,4581.0,12301.0,5259.0,13440.0,11188.0,6582.0,2992.0,5510.0,15286.0,4833.0,2230.0,4722.0,10713.0,13761.0,15612.0,12590.0,18504.0,17915.0,2774.0,18006.0,17696.0,14301.0,11160.0,3001.0,9566.0,178.0,18229.0,6582.0,16474.0,6275.0,6715.0,12775.0,8321.0,2379.0,10085.0,12590.0,10620.0,16997.0,2379.0,13215.0,1598.0,8417.0,12590.0,8116.0,5186.0,6582.0,8761.0,5853.0,14769.0,6539.0,16247.0,6252.0,2379.0,5015.0,12590.0,1301.0,6582.0,1423.0,11046.0,2774.0,5995.0,1516.0,12590.0,1301.0,13649.0,4349.0,14301.0,16846.0,7439.0,11080.0,2379.0,10620.0,12590.0,11323.0,3023.0,10477.0,7636.0,10927.0,6582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17868,6554,12590,14471,10090,18529,3023.0,10477.0,11059.0,16997.0,2728.0,13812.0,10522.0,8486.0,17395.0,6582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10723,11080,2379,2790,12590,11785,11459.0,14301.0,14862.0,10207.0,12590.0,8953.0,16997.0,10483.0,2828.0,13344.0,10615.0,3001.0,7292.0,16997.0,7854.0,11080.0,14290.0,6582.0,390.0,2774.0,9137.0,12590.0,15531.0,18440.0,13395.0,3572.0,1044.0,12590.0,2464.0,5991.0,15947.0,6582.0,2992.0,15332.0,14301.0,9427.0,3023.0,13608.0,3023.0,1580.0,6780.0,13546.0,4322.0,11858.0,15226.0,11785.0,6131.0,12590.0,11795.0,13094.0,8709.0,6582.0,14195.0,2774.0,8223.0,2774.0,16997.0,3848.0,4323.0,6806.0,3592.0,12120.0,6582.0,10231.0,6539.0,9025.0,6131.0,12590.0,12332.0,12190.0,3469.0,5171.0,3535.0,6252.0,9515.0,11661.0,3023.0,15826.0,6582.0,672.0,13608.0,8864.0,11785.0,6460.0,11284.0,5796.0,15896.0,13423.0,15686.0,8529.0,6092.0,7901.0,2774.0,12014.0,2774.0,18092.0,2774.0,16997.0,13695.0,6582.0,16186.0,9896.0,6539.0,18292.0,12301.0,11717.0,2379.0,16639.0,12590.0,3080.0,5377.0,3023.0,15295.0,5796.0,7901.0,16997.0,6539.0,13792.0,8321.0,14569.0,2774.0,7901.0,2774.0,16997.0,11742.0,10453.0,10268.0,18060.0,6582.0,2604.0,1168.0,16688.0,5975.0,11284.0,6252.0,9515.0,11661.0,3023.0,15826.0,6582.0,15896.0,13423.0,2774.0,3592.0,3872.0,3592.0,15288.0,2774.0,8307.0,3872.0,7063.0,11080.0,7915.0,15686.0,17945.0,12055.0,16997.0,10428.0,8321.0,3995.0,12590.0,14727.0,6582.0,2992.0,8038.0,10294.0,12877.0,13215.0,13094.0,957.0,17843.0,16997.0,15288.0,2009.0,3131.0,2769.0,3648.0,17945.0,17843.0,10418.0,8307.0,4007.0,8321.0,9896.0,16997.0,15844.0,8321.0,14706.0,6582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,3023,3023,16997,1514,3023,8383.0,17130.0,10984.0,11080.0,16434.0,3023.0,10477.0,2403.0,13423.0,6582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7164,5439,16474,3576,12590,10713,7313.0,15326.0,12590.0,1917.0,12376.0,7642.0,15926.0,959.0,3023.0,7452.0,11627.0,10984.0,103.0,18286.0,898.0,13630.0,7820.0,2774.0,14301.0,13793.0,9428.0,15326.0,12590.0,8383.0,12376.0,7642.0,15926.0,959.0,3023.0,3780.0,11627.0,10984.0,103.0,18286.0,898.0,13630.0,7820.0,16997.0,14301.0,13793.0,9389.0,15326.0,12590.0,3823.0,12376.0,7642.0,15926.0,10361.0,3023.0,11910.0,11627.0,8907.0,103.0,18286.0,898.0,13630.0,7820.0,2774.0,13812.0,2813.0,5176.0,12590.0,9428.0,11038.0,12590.0,11565.0,16997.0,9413.0,3493.0,5439.0,2709.0,3023.0,17721.0,3023.0,3023.0,546.0,9729.0,2774.0,13521.0,2774.0,2709.0,3023.0,10597.0,2774.0,3436.0,15490.0,5167.0,15926.0,6725.0,8477.0,11627.0,15450.0,8192.0,18286.0,898.0,13630.0,7820.0,8013.0,15080.0,5793.0,6725.0,8477.0,15926.0,15450.0,8192.0,18286.0,898.0,13630.0,7820.0,13582.0,2774.0,11080.0,5680.0,12590.0,1604.0,15926.0,16008.0,3023.0,10477.0,7820.0,16997.0,17037.0,15926.0,9195.0,3023.0,10477.0,7820.0,3104.0,6539.0,13424.0,6582.0,2984.0,5439.0,16474.0,645.0,11080.0,2364.0,17026.0,4323.0,5889.0,2903.0,13373.0,1258.0,1258.0,3023.0,3023.0,3023.0,3023.0,2379.0,13314.0,12590.0,2379.0,15966.0,9960.0,11073.0,6964.0,15148.0,8321.0,17640.0,3023.0,8648.0,6582.0,13507.0,5439.0,16474.0,8010.0,12590.0,5995.0,12794.0,16551.0,10294.0,581.0,12590.0,5167.0,3493.0,16997.0,8383.0,12376.0,7642.0,8402.0,5950.0,3823.0,12376.0,7642.0,14807.0,1416.0,1604.0,10151.0,6582.0,6344.0,15686.0,959.0,3023.0,7452.0,16997.0,959.0,3023.0,3780.0,8402.0,5950.0,10361.0,3023.0,11910.0,2774.0,15392.0,15274.0,2813.0,14807.0,10910.0,6725.0,8477.0,16997.0,15080.0,5793.0,6725.0,8477.0,6582.0,11165.0,6539.0,5082.0,7163.0,10294.0,10910.0,8259.0,12590.0,8383.0,12376.0,7642.0,16997.0,3823.0,12376.0,7642.0,11615.0,3592.0,3872.0,3592.0,5167.0,14124.0,15212.0,11080.0,10151.0,1613.0,8321.0,9195.0,6582.0,14854.0,2774.0,959.0,3023.0,7452.0,16997.0,10361.0,3023.0,11910.0,8402.0,5950.0,959.0,3023.0,3780.0,6657.0,2813.0,14807.0,12590.0,6725.0,8477.0,8013.0,15080.0,3023.0,3065.0,8477.0,11080.0,17037.0,3104.0,6582.0,3659.0,5439.0,2002.0,12590.0,374.0,13054.0,8038.0,10294.0,9413.0,16997.0,11565.0,3493.0,14124.0,9335.0,11080.0,10497.0,12590.0,15580.0,1258.0,11080.0,10910.0,1604.0,16997.0,17037.0,3104.0,6582.0,1423.0,16008.0,3023.0,10477.0,10151.0,2774.0,8383.0,12376.0,7642.0,9549.0,11080.0,12954.0,14807.0,12590.0,5167.0,2774.0,5051.0,11080.0,9195.0,3023.0,10477.0,10151.0,5167.0,4784.0,12301.0,11509.0,3823.0,12376.0,7642.0,14555.0,6582.0,8543.0,2774.0,10016.0,9394.0,12590.0,3550.0,11116.0,12590.0,5167.0,315.0,11038.0,16997.0,12376.0,7642.0,8925.0,13649.0,11717.0,7150.0,11080.0,8698.0,12590.0,16861.0,2364.0,2774.0,3419.0,11080.0,1740.0,14595.0,6582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7421,15612,15786,12301,13131,10180,3023.0,9110.0,7691.0,1433.0,14085.0,11080.0,14786.0,9578.0,6582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4324,16997,3772,2731,1985,12301,16922.0,8038.0,18489.0,6342.0,17108.0,8321.0,10418.0,10429.0,2009.0,10786.0,11080.0,4709.0,987.0,10663.0,6582.0,1423.0,1013.0,15686.0,1221.0,2774.0,2373.0,3023.0,6749.0,309.0,15002.0,4813.0,2774.0,4709.0,987.0,10663.0,2009.0,10786.0,3648.0,10713.0,646.0,11080.0,987.0,2230.0,1029.0,14996.0,15686.0,10429.0,3023.0,10477.0,646.0,11080.0,14625.0,3023.0,15612.0,2345.0,6582.0,1423.0,2629.0,1013.0,15686.0,1938.0,1190.0,3438.0,9510.0,2774.0,309.0,8711.0,2009.0,11717.0,9831.0,12301.0,13786.0,2774.0,5444.0,2774.0,8013.0,10910.0,6582.0,4140.0,17734.0,12301.0,13786.0,2774.0,2379.0,18185.0,11071.0,14124.0,10219.0,11179.0,2774.0,16997.0,2379.0,1403.0,12590.0,10429.0,3023.0,10477.0,9362.0,17846.0,3793.0,6582.0,16186.0,8712.0,18185.0,16997.0,3772.0,11071.0,7622.0,2379.0,13813.0,10294.0,13786.0,584.0,2379.0,12147.0,2774.0,11486.0,3023.0,13643.0,2697.0,2774.0,2629.0,2731.0,8038.0,5490.0,9362.0,6582.0,14966.0,5490.0,9362.0,8307.0,5950.0,16616.0,15686.0,15858.0,12590.0,4269.0,2774.0,3773.0,10663.0,6582.0,11304.0,8712.0,11080.0,3884.0,2731.0,8038.0,10294.0,374.0,6554.0,14124.0,13152.0,3023.0,3313.0,2774.0,2629.0,11080.0,2652.0,2731.0,8038.0,2379.0,13547.0,6582.0,16474.0,14109.0,12590.0,10429.0,3023.0,10477.0,9362.0,11080.0,4975.0,12590.0,15926.0,1886.0,7820.0,10522.0,12720.0,15166.0,10285.0,10294.0,2379.0,15610.0,8013.0,14940.0,12590.0,15325.0,13025.0,8307.0,5950.0,17455.0,12301.0,13699.0,2379.0,17110.0,2731.0,13513.0,2379.0,2830.0,12590.0,13152.0,3023.0,3313.0,6554.0,6582.0,4291.0,2774.0,2379.0,11660.0,12590.0,14301.0,12386.0,2774.0,15091.0,14769.0,12590.0,10429.0,5975.0,5950.0,558.0,13009.0,6582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
