0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464
3730,412,16252,1313,9773,15979.0,2554.0,15325.0,11324.0,9913.0,1809.0,15248.0,15559.0,1313.0,7854.0,3333.0,8801.0,7430.0,10553.0,8801.0,11285.0,14164.0,3333.0,8801.0,15959.0,17702.0,14164.0,4098.0,2750.0,12263.0,1313.0,2769.0,14351.0,7874.0,16393.0,16635.0,6569.0,11972.0,1795.0,537.0,15373.0,1313.0,18362.0,1313.0,6569.0,17773.0,3971.0,18514.0,5056.0,11006.0,8801.0,15060.0,10449.0,9243.0,10633.0,17355.0,17173.0,18196.0,3381.0,18196.0,6569.0,455.0,7436.0,10101.0,1313.0,18514.0,2750.0,13403.0,2151.0,12747.0,412.0,10272.0,2383.0,13091.0,18514.0,485.0,11939.0,11505.0,1558.0,1313.0,14351.0,7874.0,16393.0,8801.0,441.0,10633.0,14805.0,13763.0,12576.0,6227.0,17199.0,6843.0,1313.0,13911.0,2019.0,14351.0,7874.0,1378.0,415.0,15891.0,3276.0,7874.0,7874.0,1620.0,1620.0,7874.0,7874.0,17508.0,2750.0,7353.0,7874.0,7874.0,1620.0,1620.0,7874.0,7874.0,13763.0,5877.0,14461.0,7454.0,18196.0,6569.0,7104.0,15959.0,2275.0,11505.0,1313.0,18514.0,5056.0,11006.0,8801.0,18514.0,5987.0,16826.0,14164.0,15872.0,455.0,3276.0,7874.0,7874.0,1620.0,1620.0,7874.0,7874.0,13763.0,15636.0,1159.0,18196.0,9360.0,1872.0,2750.0,14945.0,7874.0,8189.0,18308.0,455.0,1596.0,3276.0,7874.0,7874.0,1620.0,1620.0,7874.0,7874.0,13763.0,6169.0,15469.0,9020.0,15891.0,14204.0,179.0,1620.0,13541.0,17508.0,15959.0,11580.0,9020.0,15891.0,3335.0,179.0,1620.0,13541.0,17508.0,1313.0,6569.0,11313.0,455.0,13250.0,7874.0,10521.0,13763.0,2750.0,4331.0,2436.0,12060.0,11313.0,1313.0,18514.0,6169.0,5221.0,455.0,10282.0,1783.0,16078.0,9136.0,7386.0,2582.0,3276.0,7874.0,18276.0,15959.0,13250.0,7874.0,10521.0,13763.0,2750.0,14945.0,7368.0,6569.0,3532.0,6447.0,1964.0,15891.0,11800.0,15891.0,5140.0,17508.0,17508.0,455.0,10282.0,6349.0,7753.0,6447.0,1441.0,15959.0,6569.0,11800.0,15891.0,5140.0,17508.0,17508.0,7874.0,11978.0,3694.0,7874.0,10442.0,3389.0,5274.0,7874.0,16093.0,15891.0,11017.0,17508.0,8637.0,15959.0,17806.0,11778.0,455.0,954.0,10760.0,1441.0,2750.0,13454.0,6227.0,14157.0,1313.0,12469.0,11800.0,15891.0,5140.0,17508.0,8801.0,18514.0,8776.0,6569.0,11715.0,1313.0,6569.0,2850.0,6984.0,15959.0,6569.0,2279.0,1313.0,6447.0,8369.0,455.0,6349.0,7753.0,1441.0,2582.0,13250.0,7874.0,10521.0,15959.0,3276.0,7874.0,18276.0,13763.0,2750.0,10167.0,412.0,10389.0,7263.0,1313.0,9773.0,11017.0,6447.0,11778.0,4192.0,18196.0,6569.0,12060.0,11505.0,1313.0,18514.0,14854.0,7874.0,17199.0,13763.0,455.0,7436.0,8801.0,15959.0,14995.0,8801.0,18514.0,7874.0,11234.0,10704.0,10853.0,660.0,15841.0,15248.0,1133.0,11017.0,602.0,15184.0,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12404,1313,2399,13702,12576,1499.0,12821.0,13247.0,8027.0,6837.0,6227.0,7968.0,7874.0,11402.0,12494.0,12576.0,17830.0,11438.0,6770.0,12069.0,2750.0,5802.0,5675.0,3039.0,17237.0,14697.0,15959.0,11011.0,8862.0,2472.0,12809.0,18439.0,17355.0,13830.0,15975.0,17830.0,9013.0,8801.0,15154.0,12737.0,5203.0,16004.0,13116.0,2601.0,12069.0,5582.0,15891.0,2771.0,7751.0,17508.0,15959.0,17278.0,13731.0,15891.0,2771.0,8637.0,17508.0,17574.0,15559.0,2750.0,5802.0,2771.0,7751.0,8801.0,14697.0,12809.0,1313.0,17584.0,15959.0,17488.0,7874.0,13048.0,5877.0,17928.0,2750.0,5802.0,2771.0,8637.0,8801.0,455.0,4560.0,18196.0,11324.0,3566.0,455.0,5675.0,17584.0,15959.0,17488.0,7874.0,13048.0,12809.0,8801.0,14697.0,5976.0,8575.0,5877.0,17688.0,8801.0,12576.0,6227.0,5270.0,11072.0,1313.0,2510.0,12809.0,2750.0,4913.0,17113.0,14153.0,14271.0,7968.0,7874.0,11402.0,15559.0,12576.0,17696.0,9953.0,1313.0,17830.0,6142.0,914.0,11400.0,1753.0,3948.0,18196.0,10978.0,7874.0,4484.0,12069.0,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,3960,1313,4543,11684,15751.0,5597.0,412.0,6227.0,10103.0,2704.0,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6372,774,118,15338,16250,1620.0,7369.0,15959.0,9078.0,7874.0,4275.0,1159.0,7874.0,4304.0,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4497,18285,6169,8128,18196,2383.0,13091.0,16202.0,1313.0,10713.0,455.0,6227.0,1541.0,7874.0,10552.0,7409.0,2252.0,3566.0,6569.0,1865.0,1313.0,6569.0,7409.0,2750.0,821.0,1313.0,749.0,7874.0,18017.0,3769.0,9949.0,7492.0,7874.0,13899.0,8876.0,5877.0,15230.0,15248.0,395.0,7874.0,6323.0,7025.0,568.0,1541.0,7874.0,10552.0,1490.0,1541.0,7874.0,254.0,18377.0,8801.0,15250.0,1490.0,9694.0,7849.0,9020.0,10713.0,2750.0,5713.0,17526.0,18091.0,18222.0,1490.0,18100.0,7973.0,11438.0,455.0,8876.0,15230.0,6569.0,6911.0,1541.0,7874.0,254.0,7409.0,8801.0,13701.0,12800.0,18091.0,1726.0,15959.0,12800.0,18100.0,10155.0,11438.0,455.0,1704.0,8876.0,15230.0,6569.0,17652.0,7409.0,15250.0,10713.0,2750.0,2121.0,13411.0,1313.0,18091.0,18222.0,15959.0,1313.0,18100.0,7973.0,6169.0,14204.0,9020.0,15959.0,6922.0,9020.0,8801.0,4672.0,8801.0,455.0,8876.0,15230.0,6569.0,6911.0,1541.0,7874.0,10552.0,7409.0,8801.0,15959.0,12081.0,9020.0,15959.0,10932.0,9020.0,8801.0,455.0,8876.0,15230.0,6569.0,10713.0,7874.0,15250.0,1541.0,7874.0,10552.0,7409.0,2750.0,2121.0,11211.0,3329.0,2678.0,10781.0,1313.0,6569.0,1865.0,1313.0,6569.0,1541.0,7874.0,10552.0,7409.0,15636.0,10713.0,2750.0,5084.0,5899.0,21.0,5877.0,5221.0,455.0,16381.0,15060.0,1666.0,6569.0,2590.0,1313.0,16109.0,1313.0,6569.0,3336.0,8801.0,6665.0,1313.0,6569.0,7409.0,15230.0,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3670,4729,10107,1091,455,6423.0,12576.0,7968.0,7874.0,11402.0,15559.0,12576.0,15285.0,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,11505,1313,11519,7874,7874.0,15891.0,8637.0,7874.0,8692.0,17508.0,1697.0,6837.0,1416.0,1671.0,7715.0,17807.0,455.0,6044.0,7874.0,8189.0,9015.0,455.0,8876.0,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3730,412,17575,13446,3721,14779.0,1313.0,7419.0,18196.0,16675.0,3526.0,12576.0,2415.0,3542.0,18196.0,747.0,12576.0,6569.0,2895.0,1313.0,11324.0,7208.0,15559.0,15243.0,15248.0,7509.0,17933.0,2750.0,6520.0,412.0,2121.0,12319.0,1313.0,1284.0,13702.0,1381.0,3217.0,7874.0,10653.0,15081.0,15248.0,7509.0,1394.0,18196.0,3132.0,15559.0,6169.0,1624.0,15248.0,12030.0,6548.0,3846.0,13731.0,1477.0,6569.0,3575.0,7874.0,12534.0,10550.0,14573.0,3481.0,15959.0,6569.0,10299.0,7874.0,10086.0,10205.0,14573.0,3481.0,2750.0,2261.0,3345.0,18348.0,6227.0,8211.0,1490.0,9727.0,15251.0,5877.0,751.0,12576.0,12435.0,3345.0,13524.0,9694.0,6837.0,5540.0,4376.0,7430.0,11762.0,8801.0,16784.0,8801.0,12723.0,15891.0,3217.0,7874.0,10653.0,7509.0,11800.0,15329.0,7509.0,17837.0,17508.0,8801.0,12246.0,1313.0,15863.0,8211.0,720.0,8801.0,10521.0,1313.0,3073.0,9013.0,8056.0,15891.0,11159.0,9013.0,15329.0,3073.0,10704.0,15959.0,8801.0,13571.0,12810.0,8801.0,15677.0,12491.0,6369.0,15184.0,2222.0,14059.0,13918.0,17508.0,8801.0,17898.0,15959.0,10521.0,1313.0,6480.0,11996.0,15891.0,3195.0,15329.0,14027.0,17508.0,8801.0,15959.0,3174.0,1313.0,6569.0,2771.0,8801.0,1624.0,10043.0,6227.0,11616.0,2357.0,1477.0,6569.0,3325.0,15169.0,1313.0,6569.0,8547.0,7874.0,1357.0,15302.0,9942.0,11691.0,2750.0,12747.0,412.0,733.0,18196.0,16224.0,1490.0,16675.0,5776.0,455.0,6056.0,9020.0,1313.0,13911.0,13702.0,15891.0,11519.0,11519.0,4624.0,4624.0,7630.0,17508.0,15891.0,15959.0,455.0,15804.0,9020.0,1313.0,6569.0,16352.0,1313.0,13702.0,8027.0,12576.0,14059.0,2222.0,13214.0,1620.0,14289.0,13918.0,17508.0,5056.0,347.0,9020.0,15891.0,11519.0,11519.0,4624.0,4624.0,395.0,17508.0,18348.0,8211.0,720.0,8801.0,15959.0,17488.0,9020.0,15891.0,11519.0,11519.0,4624.0,4624.0,749.0,17508.0,18348.0,9727.0,720.0,2750.0,14526.0,8801.0,11762.0,8801.0,12723.0,15891.0,7509.0,11800.0,15329.0,7509.0,17837.0,17508.0,8801.0,15959.0,14455.0,15559.0,13524.0,9694.0,12027.0,6569.0,11330.0,1313.0,7419.0,2750.0,2121.0,13411.0,1313.0,6480.0,3299.0,8518.0,9694.0,18196.0,2882.0,14723.0,13702.0,15790.0,11324.0,4429.0,15959.0,12435.0,15790.0,2678.0,6480.0,17181.0,2750.0,5802.0,856.0,8801.0,6480.0,3299.0,5877.0,4732.0,7873.0,455.0,13702.0,15790.0,3195.0,15891.0,13724.0,9020.0,8801.0,17660.0,1620.0,4914.0,17508.0,1666.0,455.0,13702.0,9694.0,8027.0,12576.0,3195.0,15891.0,1284.0,9020.0,8801.0,13214.0,1620.0,18088.0,5056.0,6338.0,6338.0,4624.0,4624.0,5819.0,17508.0,2750.0,2121.0,12246.0,1313.0,15863.0,8211.0,720.0,13524.0,9694.0,12027.0,6569.0,4345.0,1313.0,7419.0,8801.0,4169.0,6227.0,17696.0,18243.0,6837.0,6569.0,3325.0,15169.0,1313.0,6569.0,10842.0,15302.0,9942.0,11691.0,6169.0,3526.0,12576.0,6227.0,7418.0,11330.0,1313.0,7419.0,15891.0,6338.0,6338.0,4624.0,4624.0,18124.0,17508.0,2750.0,17578.0,412.0,2121.0,2279.0,1313.0,6480.0,7419.0,3526.0,12576.0,899.0,3073.0,9013.0,6142.0,7015.0,8776.0,15636.0,3195.0,15559.0,2750.0,1232.0,12580.0,7158.0,7015.0,3519.0,18196.0,13702.0,12576.0,6227.0,15737.0,3174.0,8801.0,3345.0,10633.0,6227.0,7418.0,11330.0,1313.0,6480.0,3299.0,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7566,10704,15959,17933,412,6227.0,18361.0,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10428,17447,1313,6569,18323,15454.0,12741.0,16388.0,8801.0,10528.0,7874.0,15062.0,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
