Sentence #,Word,Tag
Sentence: 1,Naloxone,B-Chemical
Sentence: 1,reverses,O
Sentence: 1,the,O
Sentence: 1,antihypertensive,O
Sentence: 1,effect,O
Sentence: 1,of,O
Sentence: 1,clonidine,B-Chemical
Sentence: 1,.,O
Sentence: 2,In,O
Sentence: 2,unanesthetized,O
Sentence: 2,",",O
Sentence: 2,spontaneously,O
Sentence: 2,hypertensive,B-Disease
Sentence: 2,rats,O
Sentence: 2,the,O
Sentence: 2,decrease,O
Sentence: 2,in,O
Sentence: 2,blood,O
Sentence: 2,pressure,O
Sentence: 2,and,O
Sentence: 2,heart,O
Sentence: 2,rate,O
Sentence: 2,produced,O
Sentence: 2,by,O
Sentence: 2,intravenous,O
Sentence: 2,clonidine,B-Chemical
Sentence: 2,",",O
Sentence: 2,5,O
Sentence: 2,to,O
Sentence: 2,20,O
Sentence: 2,micrograms,O
Sentence: 2,/,O
Sentence: 2,kg,O
Sentence: 2,",",O
Sentence: 2,was,O
Sentence: 2,inhibited,O
Sentence: 2,or,O
Sentence: 2,reversed,O
Sentence: 2,by,O
Sentence: 2,nalozone,B-Chemical
Sentence: 2,",",O
Sentence: 2,0.2,O
Sentence: 2,to,O
Sentence: 2,2,O
Sentence: 2,mg,O
Sentence: 2,/,O
Sentence: 2,kg,O
Sentence: 2,.,O
Sentence: 2,The,O
Sentence: 2,hypotensive,B-Disease
Sentence: 2,effect,O
Sentence: 2,of,O
Sentence: 2,100,O
Sentence: 2,mg,O
Sentence: 2,/,O
Sentence: 2,kg,O
Sentence: 2,alpha,O
Sentence: 2,-,O
Sentence: 2,methyldopa,O
Sentence: 2,was,O
Sentence: 2,also,O
Sentence: 2,partially,O
Sentence: 2,reversed,O
Sentence: 2,by,O
Sentence: 2,naloxone,B-Chemical
Sentence: 2,.,O
Sentence: 2,Naloxone,B-Chemical
Sentence: 2,alone,O
Sentence: 2,did,O
Sentence: 2,not,O
Sentence: 2,affect,O
Sentence: 2,either,O
Sentence: 2,blood,O
Sentence: 2,pressure,O
Sentence: 2,or,O
Sentence: 2,heart,O
Sentence: 2,rate,O
Sentence: 2,.,O
Sentence: 2,In,O
Sentence: 2,brain,O
Sentence: 2,membranes,O
Sentence: 2,from,O
Sentence: 2,spontaneously,O
Sentence: 2,hypertensive,B-Disease
Sentence: 2,rats,O
Sentence: 2,clonidine,B-Chemical
Sentence: 2,",",O
Sentence: 2,10,O
Sentence: 2,(,O
Sentence: 2,,O
Sentence: 2,-,O
Sentence: 2,8,O
Sentence: 2,),O
Sentence: 2,to,O
Sentence: 2,10,O
Sentence: 2,(,O
Sentence: 2,,O
Sentence: 2,-,O
Sentence: 2,5,O
Sentence: 2,),O
Sentence: 2,M,O
Sentence: 2,",",O
Sentence: 2,did,O
Sentence: 2,not,O
Sentence: 2,influence,O
Sentence: 2,stereoselective,O
Sentence: 2,binding,O
Sentence: 2,of,O
Sentence: 2,[,O
Sentence: 2,3H,O
Sentence: 2,],O
Sentence: 2,,O
Sentence: 2,-,O
Sentence: 2,naloxone,B-Chemical
Sentence: 2,(,O
Sentence: 2,8,O
Sentence: 2,nM,O
Sentence: 2,),O
Sentence: 2,",",O
Sentence: 2,and,O
Sentence: 2,naloxone,B-Chemical
