0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230
4696,6573,1251,477,4439,5724,3491,5780,5261,6633,3830,4730,6084,1189,5114,6004,6958,3362,3830,855,798,4735,5114,3066,6686,7039,99,6066,2109,1777,417,6414,7039,798,5724,6727,5749,4987,7039,2193,790,798,7137,3949,7039,5587,7039,1512,7039,6822,1494,5113,2310,5621,2655,5113,74,4730,5342,3581,3589,2652,6209,798,3830,3491,4187,6943,7039,5125,74,4545,798,6209,798,3708,1725,3362,6822,6659,6181,6004,3830,1184,798,6239,3102,3581,1176,3830,1148,2078,6529,798,5283,7039,790,6892,7190,4896,7088,7039,14,5621,6104,3581,5771,1929,1899,4110,6862,1396,5621,6146,3581,4110,6862,1396,7039,3624,5621,933,1189,5963,3581,4977,6862,6610,1899,4110,6862,1396,5621,6146,3581,7034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,4439,1187,6432,5041,1453,6426,1187,6432,2515,1524,6426,1187,6432,2515,2059,6426,1187,6432,1830,2357,6426,4439,2193,790,798,3833,4207,7039,14,7039,3509,7008,3554,5621,3830,1678,4188,51,3581,7039,3596,4884,2926,858,7039,6822,6884,1684,5729,7039,4987,5621,3830,1678,1939,51,3581,7039,3596,3770,5380,7190,6552,7039,3830,4188,5871,3971,1783,3362,605,790,1617,570,5956,7075,739,4954,5370,1327,1176,3830,4436,846,6529,798,1515,5621,3830,1678,5899,6822,6552,7039,3830,4188,5871,2245,3830,1939,3362,2530,790,4954,4094,3362,3830,188,829,6478,6111,1684,7039,188,829,2610,5598,1684,7039,188,829,2610,1564,1684,7039,6822,188,829,1622,6694,1684,5621,6209,3596,1678,1684.0,51.0,3581.0,7039.0,1653.0,798.0,7008.0,6865.0,6822.0,6552.0,7039.0,3830.0,4188.0,5806.0,3362.0,228.0,3830.0,1939.0,3362.0,899.0,2266.0,3106.0,3213.0,790.0,5348.0,786.0,74.0,4545.0,798.0,3830.0,4184.0,6822.0,6552.0,7039.0,3830.0,1939.0,5806.0,3362.0,4462.0,5762.0,3213.0,3362.0,3830.0,1684.0,1176.0,3830.0,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6846,3712,7083,4439,1895,4153,2193,1112,2774,7039,3704,1512,2652,6822,3509,3645,5515,6311,5621,1678,3645,51,3581,6822,4309,5380,5621,3830,1678,846,51,3581,7190,1504,3428,798,6822,5838,381,3830,1364,7,6822,2701,4640,1542,7039,6822,5454,6298,4403,6822,1115,3428,7039,3830,206,6822,2915,798,5346,1512,5780,3283,7039,3830,6504,6489,5261,790,5023,2505,4611,7190,6604,6822,1943,798,3830,846,7190,5724,846,3003,6822,3849,3362,3645,6633,698,4153,5871,3971,1821,4406,7039,1938,6822,5773,2652,3830,846,7039,6822,1512,3596,5225,6822,1936,5264,798,3830,846,7039,4818,3785,3830,846,6659,6181,6004,3798,1508,7190,1693,7190,6604,6822,1943,798,3645,7190,3645,3003,6822,3849,3362.0,3830.0,846.0,6633.0,698.0,4153.0,5871.0,3971.0,1821.0,4406.0,7039.0,1938.0,6822.0,5773.0,2652.0,3645.0,7039.0,6822.0,1512.0,3596.0,5225.0,6822.0,1936.0,5264.0,798.0,3645.0,7039.0,4818.0,3785.0,3645.0,6659.0,6181.0,6004.0,3798.0,1508.0,7190.0,6168.0,798.0,3830.0,917.0,798.0,698.0,4153.0,7039.0,3645.0,4136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,5249,2036,4439,2036,4439,5621,698,1678,4153,51,3581,7039,2193,790,798,3696,2972,7039,1666,7039,6609,2652,2128,2739,7039,4987,7039,3596,1345,1783,6822,5641,1176,3830,1813,798,3830,4965,798,2957,5621,3830,1678,846,51,3581,7039,6822,4583,33,7039,4987,7039,3596,1345,1783,6822,5641,1176,3830,1813,798,3830,4965,798,2957,5621,3830,1678,5505,51,3581,7190,6593,6092,1508,1037,1542,6822,4549,4233,3055,4187,3299,3830,6656,2064,5487,6659,3830,5561,4153,5621,790,3055,3325,3581,7190,6870,2505,6552,7039,3830,5505,6822,3830,846,5025,5923,6633,2266,6686,5561,4153,5621,3830,1678,5561,4153,51,3581,2652,6822,3509,3830,5505,6822,3830,846,2193,790,798,5109,5603,7039,3988.0,6552.0,7039.0,1725.0,3362.0,3830.0,5561.0,4153.0,7039.0,3830.0,5505.0,4645.0,6095.0,3830.0,6534.0,4559.0,694.0,3362.0,3830.0,846.0,381.0,3830.0,5502.0,6552.0,7039.0,790.0,3596.0,1095.0,3362.0,3830.0,6753.0,7039.0,3830.0,5505.0,6822.0,3830.0,846.0,4979.0,3362.0,5452.0,5923.0,698.0,7055.0,63.0,7039.0,5438.0,7039.0,6659.0,3428.0,798.0,3830.0,1364.0,2701.0,2064.0,5454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4201,6264,5499,3778,760,4439,6289,4439,5621,3830,1678,4153,51,3581,7039,6609,790,798,3830,2657,5653,1880,2524,798,1112,7039,4745,5621,3830,1678,3236,6104,51,3581,7039,1512,2652,6822,3509,5724,215,2308,4842,7039,4987,7039,3596,3770,1345,5621,3830,1678,4842,51,3581,7039,6822,1282,4407,846,7039,3596,2957,1345,5621,1678,826,51,3581,7039,5092,3830,1167,2304,4259,1253,22,790,1678,5724,215,51,5621,3830,1678,91,51,3581,7190,5724,6504,5780,1971,5261,790,5023,2505,4611,7190,144,2505,1504,1209,3362,1494,6298,3055,1508,6659,698,4153,7039,3830,3553,1508,4187,3299,3830,3553,4920,6142,1037,6659,698,4153,2505,1678,424,227,51,3198,1494,596,1875,4882,6633,1512.0,5506.0,2652.0,826.0,5942.0,3830.0,3236.0,6104.0,7190.0,1678.0,826.0,4435.0,1973.0,51.0,5871.0,3830.0,6656.0,2064.0,5487.0,6659.0,4696.0,6862.0,1678.0,826.0,6077.0,6104.0,51.0,3198.0,3830.0,917.0,74.0,5346.0,3830.0,91.0,1512.0,1320.0,5817.0,2652.0,3830.0,3209.0,798.0,826.0,3190.0,5216.0,7190.0,1678.0,826.0,2810.0,1973.0,51.0,5871.0,3830.0,6656.0,2064.0,5487.0,6659.0,4696.0,6862.0,1678.0,596.0,6898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,2221,2657,6310,628,5006,6035,1472,1472,3420,5956,4922,4439,6289,3420,5956,4922,4439,5621,698,1678,4153,51,3581,7039,5025,5923,74,3830,2523,2524,798,2680,6817,6822,2772,790,798,3830,2523,2524,798,2680,6817,5621,1678,3236,6104,51,3581,7039,2652,6822,5769,5621,3596,3581,575,2696,7039,4027,5621,1678,575,51,3581,7039,3596,1224,5370,5621,1522,1549,3581,5056,6659,1472,7039,6004,3798,4304,2309,798,2926,1297,2657,6310,628,5006,7039,6035,1472,7039,1472,7039,5621,242,3581,575,3351,7039,4027,5621,1678,575,349,51,3581,7039,3596,1224,5370,5621,1522,1549,3581,5056,6659,1472,7039,6004,3798,4304,2309,798,2926,1297,2657,6310,628,5006,7039,6035,5692,5621,2818,3581.0,1947.0,4379.0,5621.0,3751.0,3581.0,1986.0,5621.0,1678.0,4379.0,3751.0,51.0,3581.0,7039.0,3596.0,5370.0,5056.0,6659.0,3830.0,6629.0,6512.0,7192.0,6004.0,1224.0,5072.0,7039.0,4013.0,2139.0,1308.0,1512.0,1297.0,232.0,6658.0,7039.0,3762.0,810.0,7039.0,7037.0,120.0,6860.0,2700.0,1432.0,2755.0,7039.0,2700.0,4356.0,3181.0,7039.0,2917.0,4606.0,7039.0,2292.0,5621.0,5412.0,3581.0,1947.0,4379.0,4987.0,5621.0,1678.0,5254.0,349.0,51.0,3581.0,7039.0,3596.0,5370.0,5056.0,6659.0,3830.0,1796.0,7192.0,6004.0,,,,,,,,,,,,,,,,,,,,,,
4696,2720,1714,3463,5492,4439,5621,3830,1678,4153,51,3581,6289,4439,1512,6609,6822,5025,5923,698,3341,5653,1880,2524,798,7137,4381,5621,3830,1678,3236,6104,51,3581,7039,2652,6822,3509,5734,245,2258,7039,3596,1345,1783,6822,5641,1176,3830,1813,798,3830,4965,798,820,7039,6004,1617,1308,1297,4611,6566,3372,7039,2037,7039,820,5621,1678,5734,51,3581,6822,4912,1697,4943,1661,2258,7039,3596,1345,1783,6822,5641,1176,3830,1813,798,3830,4965,798,820,7039,6004,1617,1308,1297,5532,1850,4635,7039,3294,5184,7039,820,5621,3830,1678,1715,51,3581,7190,6552,7039,5734,5871,4164,6822,3219,3596,304,5338,6508,3178,5454,3830,1111,6292,798,2266,3665,798,4698,5346,3923,798,3596.0,6789.0,6567.0,5621.0,5454.0,4568.0,5338.0,6784.0,3581.0,6822.0,3596.0,6949.0,6567.0,5621.0,5454.0,1402.0,4967.0,6822.0,6613.0,5489.0,6659.0,3830.0,5338.0,6784.0,3581.0,5346.0,3923.0,798.0,1617.0,1496.0,6567.0,6822.0,1617.0,6660.0,6567.0,7039.0,1388.0,790.0,1776.0,2499.0,786.0,74.0,4696.0,5114.0,3029.0,6489.0,5621.0,3830.0,1678.0,3393.0,51.0,3581.0,7039.0,790.0,6342.0,790.0,3596.0,304.0,6001.0,5454.0,3830.0,2293.0,798.0,3830.0,5338.0,6784.0,1816.0,6822.0,2839.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,2888,3581,2886,7007,1499,2255,4265,3463,2036,4439,6289,2886,7007,1499,2255,4265,3463,2036,4439,5621,2157,878,2157,3581,1512,6609,6822,5025,5923,790,798,7137,4611,7039,2955,2652,6822,5769,759,7039,3596,5378,6901,3311,5621,2157,6929,2157,3581,7039,3830,3491,3652,798,3830,6929,7039,1631,1388,798,3830,759,3652,5621,2157,5515,2157,3581,7039,6822,2940,5729,4987,7039,3596,5378,1345,5621,2157,19,2157,3581,7039,6004,6958,3362,3830,3553,5722,6822,1702,2505,7144,962,1910,3895,2794,5114,4041,2222,4070,5724,6929,7039,1388,798,3830,5515,776,3253,1234,5621,4142,3581,7039,4987,6822,3216,1234,5621,4142,3581,4987,7039,6822,19,5025,5923,6633,2266,759,5729,6822,3938,4153,7039.0,2193.0,790.0,798.0,6316.0,4611.0,7039.0,5259.0,5621.0,3830.0,2157.0,4153.0,2157.0,3581.0,7190.0,4943.0,314.0,6859.0,7039.0,1388.0,798.0,3830.0,5515.0,44.0,1207.0,5923.0,3596.0,2155.0,878.0,3362.0,4921.0,75.0,6822.0,3771.0,759.0,1726.0,3769.0,5956.0,4301.0,6929.0,4153.0,7039.0,2652.0,5346.0,3830.0,5515.0,5261.0,7039.0,5769.0,6298.0,3350.0,7039.0,6633.0,3253.0,1234.0,5621.0,481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,4914,6810,7002,4439,6289,6810,7002,4439,5621,698,1678,3674,4153,51,3581,1512,5025,5923,790,798,5109,6832,7039,3704,5621,3830,1678,3236,6104,51,3581,7039,2652,6822,3509,2124,1659,7039,4987,7039,3596,2957,1345,5621,3830,1678,4134,51,3581,7039,6822,2699,3351,5380,7039,3596,2957,1345,5621,3830,1678,4899,51,3581,7190,2947,6552,7039,3830,4134,7039,79,6822,1922,2266,798,3798,2123,7039,1512,2245,6659,3830,217,6552,7039,3830,4134,2831,3362,4923,6822,6095,3362,3830,4899,7039,6822,3830,4899,2831,3362,727,1540,3830,4134,7039,3830,353,7039,6822,6659,1846,2740,7039,1297,6209,3045,6753,7039,3830,4134,4645,4923,6822,2488,7039,6822,4645,1979,3830,6298,1867,798,3830,4134.0,5749.0,3362.0,4923.0,6822.0,2488.0,7039.0,3362.0,3830.0,4899.0,5749.0,7039.0,6822.0,3830.0,4899.0,4645.0,2271.0,6822.0,754.0,7039.0,6822.0,4645.0,1979.0,3830.0,6298.0,1867.0,798.0,3830.0,4899.0,5749.0,3362.0,2271.0,6822.0,754.0,7039.0,1540.0,3830.0,4134.0,5749.0,7039.0,2266.0,798.0,3830.0,5833.0,6822.0,1381.0,798.0,3830.0,353.0,7039.0,2655.0,1388.0,798.0,3830.0,4937.0,2809.0,798.0,3830.0,3533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6846,4914,4911,4153,4569,1895,4153,1512,2772,790,798,7137,1130,7039,5893,2652,6822,3509,601,6386,7039,4987,6444,1814,489,1063,7039,1285,1297,2278,1814,6386,2755,7039,4210,7039,2795,2119,5621,5348,2157,615,2157,3581,7039,6822,1136,5973,7039,6311,1189,912,3351,7039,4987,1285,1297,2661,2154,875,6173,7039,4461,5595,85,1294,7039,2855,589,5621,5348,2157,912,2157,3581,7190,4278,4070,912,1512,2245,6659,3830,2987,6822,109,798,2157,2454,819,2157,7190,4943,1475,1512,3830,6047,6822,2713,798,2399,6504,6633,615,5615,6004,912,6659,3830,109,6822,4550,798,912,2979,6822,1000,5621,2157,5160,2157,3581,7190,4962,1504,1774,6004,3830,5160,7039,615,6822,912,4773,6047,3362,5452.0,5923.0,3596.0,103.0,3362.0,3830.0,1364.0,28.0,798.0,2399.0,6504.0,7190.0,5438.0,7039.0,6659.0,3428.0,798.0,3830.0,1364.0,4716.0,6822.0,4075.0,4640.0,1542.0,7039.0,6822.0,5454.0,6298.0,4403.0,6822.0,1115.0,3428.0,7039.0,3830.0,6504.0,5261.0,790.0,5023.0,2505.0,4611.0,7190.0,3631.0,7011.0,6175.0,278.0,798.0,2199.0,7190.0,996.0,615.0,4532.0,3596.0,1224.0,7039.0,4280.0,5956.0,5799.0,565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
