0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230
6652,5083,4208,755,7066,7010,3347,4208,755,7066,7010,3583,4598,396,4223,396,5534,7106,728,4826,6867,4877,5361,6921,3469,3583,4598,396,4074,3096,396,5534,6921,1409,3836,1910,4897,3181,6921,4367,4890,6921,4654,7215,2981,6103,4654,3042,6867,583,880,705,4636,3403,1303,1037,6921,3088,7136,6921,2990,2290,3583,396,3414,396,5534,6921,3836,661,6921,4367,4890,6921,4654,7215,2981,6921,6103,5861,1579,3042,6867,583,880,6520,3568,6602,1403,6921,1303,1125,6921,4461,6492,6921,435,1079,3583,396,2760,396,5534,4890,4648,6921,2760,3556,4654,2434,1268,4598,3732,6921,2029,3699,880,6996,3583,4598,396,2760,3656,396,5534,6921,2440,844,6105,3856,3836,3872,1268,755,4634,4648,6921,3414,3556,310,1268,4598,3732,6921,2029,3699,880,5815,3583,4598.0,396.0,3414.0,1526.0,396.0,5534.0,6921.0,2440.0,844.0,5998.0,1268.0,755.0,6456.0,158.0,4441.0,6500.0,6921.0,452.0,4392.0,6921.0,6836.0,6921.0,4776.0,3836.0,1734.0,4648.0,6921.0,2760.0,3836.0,3414.0,5977.0,1895.0,5636.0,3836.0,2291.0,4654.0,936.0,6921.0,782.0,755.0,202.0,6921.0,4862.0,755.0,3441.0,1939.0,2833.0,2491.0,4392.0,2920.0,4598.0,2760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,1518,7125,3401,1969,7010,2811,3284,7126,4223,3583,1412,396,4223,396,5534,7106,1355,6579,1129,2388,4826,6867,4598,1757,4324,6867,2652,6921,3551,3836,7106,6579,1129,1409,3836,1910,1716,2645,1922,1994,6921,4654,7215,2981,3583,396,1716,396,5534,6921,3836,1032,6875,755,1651,3941,6921,4654,7215,2981,3583,396,1032,396,5534,4890,2034,6875,6949,688,7059,6965,1212,173,6301,5227,6921,1716,3362,626,1674,5593,5182,6921,4148,1231,5385,6921,4598,583,6867,3349,5721,4598,6380,1895,3042,5597,6816,5593,2409,1716,4174,5861,5664,2719,2348,3603,3836,5861,4464,2434,3583,4598,396,2645,1677,4725,396,5534,4890,30,2991,6921,1032,5188,5417,3836,1032,3836,1716,3222,6579,1129,4654,2351,6478,3836,4082,4223,6867,1327,5707,2705,3583,4598,396,2351,4223.0,396.0,5534.0,4305.0,1895.0,83.0,1032.0,3362.0,5835.0,1895.0,15.0,1716.0,5182.0,4788.0,4598.0,6314.0,6921.0,3836.0,255.0,1231.0,4356.0,1996.0,6921.0,1895.0,2633.0,1716.0,1322.0,2645.0,1677.0,4725.0,6921.0,2357.0,4598.0,50.0,3836.0,5479.0,6867.0,1716.0,1322.0,4464.0,2434.0,3583.0,4598.0,396.0,2351.0,3656.0,396.0,5534.0,4890.0,3092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3658,2938,7184,443,6474,6174,7010,3583,161,6814,5534,3347,7184,443,6474,6174,7010,3583,1412,5804,4223,612,5534,7106,728,4826,6867,94,6283,6921,2268,1409,3836,1910,3904,1394,5785,6921,5998,1893,2981,3583,4598,5804,3109,612,5534,6921,3836,1921,755,5151,1245,6921,5998,1893,6516,6080,2095,3583,5804,4087,612,5534,4890,221,6301,3109,6511,3836,5643,4598,4520,5006,2013,3583,4598,5804,6484,612,5534,4305,1895,2784,6716,1409,4598,6621,2869,5462,3583,5804,5400,612,3928,161,755,6994,6921,1587,5348,6921,3533,3583,3101,1193,1971,4890,1760,5534,4890,6573,6484,3362,4598,3113,1895,2201,5998,5182,755,238,6921,1268,755,4801,3583,5804,1983,612,5534,3581,6239,3795,4890,30,4087,2830,1895,3222,5006,6239,2013,5151,755,3180,6921,1587,5348,6921.0,3533.0,3583.0,3101.0,1193.0,1971.0,4890.0,40.0,5534.0,3583.0,5804.0,5151.0,612.0,5534.0,6616.0,1268.0,4598.0,6484.0,1314.0,3359.0,4801.0,3583.0,4598.0,5804.0,6814.0,108.0,612.0,5534.0,880.0,4654.0,5532.0,6867.0,4310.0,4890.0,3092.0,3109.0,3362.0,5835.0,1895.0,3707.0,2347.0,1895.0,4087.0,5644.0,1268.0,4598.0,6814.0,108.0,3836.0,4716.0,4441.0,6616.0,4598.0,3571.0,6867.0,5151.0,1268.0,4598.0,5453.0,3836.0,458.0,1845.0,2618.0,5182.0,1412.0,6563.0,,,,,,,,,,,,,,,,
3658,5365,4612,7010,4612,7010,6921,478,4826,6867,7025,195,6921,2268,3583,4598,5804,4223,612,5534,6921,1910,6734,1567,3583,5804,1567,612,5534,3836,5600,665,6921,5785,6921,4654,2962,2981,3583,4598,5804,1397,612,5534,4890,4648,6921,4598,1397,2830,1895,1481,1567,4826,4598,1397,1314,4766,1755,323,3583,5804,6280,612,5534,6921,1895,5077,4356,1895,4598,1397,2440,2342,3782,3836,2120,878,1409,4654,6280,6921,3836,1567,7106,4100,1895,745,4826,4598,6280,3836,3875,6867,4598,4837,6867,1056,6867,4598,1397,6921,1268,4598,5453,3836,458,1845,2618,72,3836,4648,6921,4598,1397,2830,1567,1895,745,1268,4598,1397,1314,3971,6867,2723,4890,5690,6921,4487,6921,5182,1288,6867,4598,191,4817,3836,2817,6523,220,6921,4598,5239,3836,7100,6867,83,2342,1116.0,2237.0,6921.0,4598.0,1397.0,3836.0,1567.0,7148.0,4826.0,6317.0,6618.0,195.0,4890.0,4812.0,4890.0,6573.0,1397.0,1116.0,867.0,1567.0,6921.0,3836.0,1567.0,1116.0,5112.0,1895.0,3707.0,4025.0,2347.0,4826.0,4598.0,1397.0,1314.0,6280.0,6921.0,4255.0,4598.0,5453.0,3836.0,900.0,1895.0,4598.0,458.0,6523.0,220.0,4890.0,1125.0,4890.0,6365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3134,6867,619,3658,3308,7203,7010,195,1270,2268,135,3154,5202,3836,6197,3495,3134,6867,619,101,1839,2012,195,4890,1210,3912,1125,4890,3532,6867,7151,3734,3912,4890,1755,1314,6365,3734,3734,4890,6805,6867,6169,1928,1928,4890,6605,773,1928,1571,4890,3079,1928,3541,4890,1795,1571,5144,4890,3501,1571,4299,4890,5464,3541,2786,4890,6581,4320,5144,5409,4890,422,5144,600,4890,1156,4027,5144,1252,4890,6990,7018,4299,5669,4890,2149,1917,2786,169,4890,2321,6867,6883,600,2634,4890,573,1599,5669,811,4890,6803,4826,4654,913,5669,5123,4890,2253,510,169,896,4890,6437,965,169,1944,4890,1693,3836,2744,275,169,6622,4890,5787,6815,2634,5361,4890,3447,2634,4525,2634,6522,195,4890,1827,6867,4692,811,1125,4890,4187,6691,5123,3912,4890,2253.0,510.0,6622.0,3134.0,6867.0,619.0,3347.0,7010.0,7106.0,728.0,1268.0,195.0,4722.0,2268.0,6871.0,6618.0,3583.0,195.0,5534.0,135.0,3154.0,5202.0,3583.0,5012.0,3603.0,640.0,5534.0,3034.0,5012.0,5885.0,7106.0,880.0,7166.0,299.0,6921.0,896.0,2093.0,3706.0,6921.0,239.0,1964.0,1558.0,3583.0,4598.0,1397.0,5534.0,3583.0,1125.0,5534.0,6197.0,3495.0,3583.0,4598.0,1755.0,5534.0,4890.0,3254.0,5909.0,6965.0,,,,,,,,,,,,,,,,,,,,,,,
3658,6566,5608,7010,3347,7010,7106,728,1412,1757,4324,6867,5031,6921,1608,6921,3583,4598,5804,4074,3096,612,5534,6921,1409,3836,1910,6641,1245,6921,4654,2901,6516,6080,2095,6921,2409,5861,1579,3042,6867,583,3699,880,4559,41,6971,6921,1303,3896,6921,5639,6921,2901,5788,3583,4598,396,1397,396,5534,3836,2219,450,6255,3941,6921,4654,2962,2981,6921,2409,3523,880,624,2995,5419,6921,1341,6921,2901,5019,3583,4598,396,4339,396,5534,4890,5690,6921,4487,6921,5182,1288,6867,4598,5191,1028,728,1409,4598,2573,792,6921,955,7106,5835,4826,6317,6618,2053,688,2965,3823,2381,1778,4890,3028,2703,4890,6573,1397,1116,2598,3836,5981,4339,4598,202,1217,1895,3725,4598,4445,6867,4598,1397,6921,2357,4598,6641,692,3224,3983,6921,3583,396,3425,396.0,5534.0,6043.0,5182.0,4598.0,6272.0,396.0,1182.0,5425.0,396.0,3583.0,3658.0,396.0,6965.0,396.0,1426.0,792.0,5534.0,4890.0,6573.0,1205.0,1217.0,1352.0,2979.0,6516.0,1895.0,819.0,6540.0,3836.0,819.0,6867.0,1676.0,199.0,3836.0,5456.0,6037.0,4598.0,4642.0,7053.0,4826.0,568.0,5058.0,3583.0,5804.0,5919.0,612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6652,6562,4208,755,7066,7010,2811,4223,7106,728,1412,559,4324,6867,2562,6988,1409,3836,1910,5395,6826,5785,6921,4654,7215,2981,6103,4654,1579,3042,6867,583,880,4860,660,38,6921,622,1689,6921,1587,5984,1794,3583,396,5395,396,5534,3836,4276,6826,5785,6921,4654,1587,5984,2981,3699,880,5342,2273,38,6921,3189,6921,2273,1884,3583,396,4276,396,5534,3583,3276,5038,6921,396,4654,7037,396,3836,6921,1140,6921,396,4598,1285,396,3968,4890,4648,6921,4276,3693,1895,4249,4598,5395,6826,6413,3836,150,3836,4598,1307,1832,4432,5843,4469,1268,1721,3305,5551,6921,3496,2168,3836,5182,1721,3887,3824,3583,396,4836,5848,396,5534,5182,281,2409,5861,4714,755,4280,3496,3583,4598,396,1628,396,5534,3836,5395,3693,1895,348,4276,1895,6755,915.0,4890.0,5690.0,4487.0,6921.0,4598.0,1285.0,6921.0,4441.0,1857.0,3836.0,3961.0,1288.0,6921.0,4598.0,5239.0,3836.0,7100.0,6867.0,83.0,2342.0,1116.0,2237.0,6921.0,7148.0,4826.0,6317.0,6618.0,195.0,4890.0,4276.0,5037.0,3826.0,3185.0,4598.0,6400.0,6377.0,5315.0,1268.0,6522.0,6965.0,6867.0,1412.0,4223.0,3583.0,4598.0,396.0,6835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,4241,2066,6652,5190,1089,4344,3823,2902,522,1296,6852,7125,296,7010,3347,296,7010,3583,1028,4598,396,4223,5534,7106,728,3836,6579,1129,1412,6237,4324,6867,3275,4656,6921,1409,3836,1910,522,6274,6921,4367,4890,6921,4654,4802,490,2981,2409,4654,3042,6867,583,5182,1126,386,6921,4802,490,3583,1028,5467,5534,6921,3836,2322,1919,4351,6921,240,6921,2169,3583,331,1895,2979,383,1895,4826,396,2139,2361,6618,4648,6921,5467,7106,1674,5182,4598,583,6867,4892,3371,3140,6757,5967,5201,2182,3836,3693,1895,5077,5085,6227,3836,5085,6921,4781,3836,3887,2354,1895,875,3836,4648,6921,2322,2830,1895,5501,4654,1102,3248,3056,6867,819,6384,5467,206,1074,4598,937,6921,3551,3836,290,3371,3140,6757,5967,1723,4228,4890,6221,206,1352,1359,4598.0,5467.0,1971.0,4890.0,634.0,6921.0,819.0,3371.0,3140.0,6757.0,5967.0,5203.0,1074.0,1412.0,6384.0,755.0,1804.0,62.0,4598.0,5467.0,1971.0,4890.0,2973.0,6921.0,819.0,3371.0,3140.0,6757.0,5967.0,5203.0,1074.0,4835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3658,4338,4169,6328,7010,2811,4169,6328,7010,3583,4598,5804,4223,612,5534,7106,2388,4826,6867,4598,1089,4321,7125,4324,6867,1089,4321,7125,6921,2268,3583,5804,4074,3096,612,5534,1910,3984,370,5814,4251,5785,3583,5804,6003,612,5534,6921,3836,3984,370,2645,7115,4494,6921,4654,7215,2981,3583,5804,3109,612,5534,4890,4648,6921,6003,7106,4598,1562,6867,819,4866,1895,4598,5381,5804,3984,370,612,3836,4598,5804,3984,370,612,5557,3583,1140,6921,4598,5804,6305,4648,6921,3109,7106,4654,321,755,4712,5258,2095,2440,3362,6557,1895,2979,5457,4826,4654,583,134,2095,3153,4598,5814,1397,1535,6867,6079,6921,4826,2975,3583,4674,2409,4598,5969,4945,183,5534,3583,4598,5804,3109,1445,4648,6921,5182,281,2409,3109,1314,7156,2992,6921,203,4441,389.0,2920.0,31.0,3836.0,2435.0,2677.0,6921.0,3349.0,3824.0,3836.0,5085.0,3824.0,6921.0,3836.0,1011.0,5323.0,6921.0,3109.0,2830.0,1895.0,31.0,5182.0,6298.0,3824.0,2440.0,5258.0,2607.0,4356.0,2342.0,1355.0,5635.0,1409.0,6003.0,3583.0,3478.0,5998.0,2142.0,2528.0,5534.0,4835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3658,5365,7101,1832,2134,7010,2811,1065,3396,1752,4223,3583,1412,5804,4223,612,5534,7106,6579,1129,3836,2388,4826,6867,1412,3489,4835,4324,6867,142,6921,2439,3583,4598,5804,4074,3096,612,5534,1409,3836,1910,3647,1402,3796,6921,5785,6921,4654,2981,851,3836,2449,3153,4598,3535,6867,4598,5729,6867,1587,5348,3583,5804,4383,612,5534,6921,3836,5796,3689,6934,6921,4654,2981,851,3836,2449,3153,4598,3535,6867,3546,6038,3583,5804,4451,612,5534,4890,394,6618,4648,6921,4383,7106,1674,5182,4598,583,6867,6921,4148,1231,5385,6921,4788,3836,1475,3710,755,805,6314,6921,947,3836,4445,255,855,2336,4654,4328,2922,6867,2891,6921,2357,3496,4912,3836,805,6921,3673,5583,6921,3147,6921,3836,4248,6082,6921,6071,3836,2552,193,4648,6921,4451,7106,1674.0,5182.0,4598.0,583.0,6867.0,6921.0,4148.0,1231.0,5385.0,6921.0,6647.0,7128.0,3836.0,4648.0,6921.0,4383.0,2830.0,1895.0,2774.0,4451.0,4441.0,4598.0,697.0,6867.0,4633.0,4383.0,5182.0,4788.0,5998.0,2175.0,6647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
