0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230
1082,7083,1657,4332,4592,1097,231,1547,292,1170,6043,6985,5258,7206,5594,7182,1256,5087,6043,1738,5679,1398,5594,3976,6305,6921,2964,376,6200,5890,5922,149,6921,5679,1097,3916,5260,3518,6921,4115,4942,5679,5005,6131,6921,3150,6921,1403,6921,534,2189,3776,6984,4709,5236,3776,5316,6985,3520,3499,3216,3030,2399,5679,6043,231,6294,6820,6921,899,5316,4936,5679,2399,5679,5299,6204,5087,534,293,5546,7182,6043,6026,5679,1690,214,3499,6715,6043,347,1652,142,5679,2584,6921,4942,1099,4056,6432,3341,6921,1911,4709,6879,3499,6460,6318,6603,1560,6488,3031,4709,2,3499,1560,6488,3031,6921,1436,4709,5192,7206,550,3499,861,6488,6969,6603,1560,6488,3031,4709,2,3499,6402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,4592,6551,3292,2865,4549,6889,6551,3292,7084,2484,6889,6551,3292,7084,6117,6889,6551,3292,4610,3352,6889,4592,4115,4942,5679,3727,4708,6921,1911,6921,3783,3427,6772,4709,6043,1771,538,3912,3499,6921,4011,6822,5721,2028,6921,534,4617,67,2437,6921,3518,4709,6043,1771,5896,3912,3499,6921,4011,6341,2548,4056,1536,6921,6043,538,3492,485,4094,5087,4383,4942,4462,2025,3598,5762,3680,3456,5177,2612,6715,6043,1481,6735,142,5679,3774,4709,6043,1771,4141,534,1536,6921,6043,538,3492,220,6043,5896,5087,540,4942,3456,4815,5087,6043,3691,1810,4475,807,67,6921,3691,1810,3613,6558,67,6921,3691,1810,3613,2656,67,6921,534,3691,1810,189,3433,67,4709,2399,4011,1771,67.0,3912.0,3499.0,6921.0,2354.0,5679.0,3427.0,6059.0,534.0,1536.0,6921.0,6043.0,538.0,3214.0,5087.0,970.0,6043.0,5896.0,5087.0,1284.0,5541.0,6992.0,5432.0,4942.0,6443.0,5015.0,5316.0,4936.0,5679.0,6043.0,5217.0,534.0,1536.0,6921.0,6043.0,5896.0,3214.0,5087.0,5629.0,2333.0,5432.0,5087.0,6043.0,67.0,6715.0,6043.0,1462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5053,4112,3210,4592,2829,4623,4115,438,192,6921,7013,1403,3030,534,3783,6484,3956,3608,4709,1771,6484,3912,3499,534,2624,2548,4709,6043,1771,6735,3912,3499,4056,3333,361,5679,534,4586,44,6043,3082,4657,534,6313,1720,5315,6921,534,2059,4002,1126,534,2552,361,6921,6043,3124,534,1674,5679,5764,1403,1547,4755,6921,6043,4968,1185,292,4942,6176,3846,211,4056,227,534,3087,5679,6043,6735,4056,1097,6735,1723,534,781,5087,6484,1170,5673,4623,3492,485,1610,4087,6921,4922,534,2472,3030,6043,6735,6921,534,1403,4011,409,534,7068,190,5679,6043,6735,6921,6326,6566,6043,6735,293,5546,7182,4145,2917,4056,1455,4056,227,534,3087,5679,6484,4056,6484,1723,534,781,5087.0,6043.0,6735.0,1170.0,5673.0,4623.0,3492.0,485.0,1610.0,4087.0,6921.0,4922.0,534.0,2472.0,3030.0,6484.0,6921.0,534.0,1403.0,4011.0,409.0,534.0,7068.0,190.0,5679.0,6484.0,6921.0,6326.0,6566.0,6484.0,293.0,5546.0,7182.0,4145.0,2917.0,4056.0,2076.0,5679.0,6043.0,6781.0,5679.0,5673.0,4623.0,6921.0,6484.0,2281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,5442,819,4592,819,4592,4709,5673,1771,4623,3912,3499,6921,4115,4942,5679,2118,1685,6921,4531,6921,3146,3030,1088,2633,6921,3518,6921,4011,557,4094,534,4404,6715,6043,3324,5679,6043,4712,5679,1600,4709,6043,1771,6735,3912,3499,6921,534,787,4415,6921,3518,6921,4011,557,4094,534,4404,6715,6043,3324,5679,6043,4712,5679,1600,4709,6043,1771,6760,3912,3499,4056,7003,1581,2917,1587,5315,534,5645,5757,2111,6294,950,6043,5909,3651,2265,293,6043,4483,4623,4709,4942,2111,2020,3499,4056,2947,3846,1536,6921,6043,6760,534,6043,6735,4473,7056,1170,5541,6305,4483,4623,4709,6043,1771,4483,4623,3912,3499,3030,534,3783,6043,6760,534,6043,6735,4115,4942,5679,5676,889,6921,1903.0,1536.0,6921.0,6204.0,5087.0,6043.0,4483.0,4623.0,6921.0,6043.0,6760.0,3996.0,2895.0,6043.0,1261.0,4565.0,6979.0,5087.0,6043.0,6735.0,44.0,6043.0,5445.0,1536.0,6921.0,4942.0,4011.0,133.0,5087.0,6043.0,4309.0,6921.0,6043.0,6760.0,534.0,6043.0,6735.0,2293.0,5087.0,7123.0,7056.0,5673.0,4348.0,2094.0,6921.0,3335.0,6921.0,293.0,361.0,5679.0,6043.0,3082.0,6313.0,3651.0,2059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2594,2533,392,6041,7021,4592,1525,4592,4709,6043,1771,4623,3912,3499,6921,3146,4942,5679,6043,373,6369,5443,4826,5679,438,6921,1864,4709,6043,1771,2374,6879,3912,3499,6921,1403,3030,534,3783,1097,996,3790,6373,6921,3518,6921,4011,6341,557,4709,6043,1771,6373,3912,3499,6921,534,793,3340,6735,6921,4011,1600,557,4709,1771,4861,3912,3499,6921,6943,6043,2762,2513,271,2215,3754,4942,1771,1097,996,3912,4709,6043,1771,3637,3912,3499,4056,1097,4968,1547,2063,292,4942,6176,3846,211,4056,2832,3846,3333,3472,5087,2189,4002,2111,2917,293,5673,4623,6921,6043,3284,2917,6294,950,6043,3284,4527,1948,1587,293,5673,4623,3846,1771,5611,640,3912,4486,2189,6047,654,1335,1170,1403.0,1279.0,3030.0,4861.0,308.0,6043.0,2374.0,6879.0,4056.0,1771.0,4861.0,5562.0,7055.0,3912.0,3492.0,6043.0,5909.0,3651.0,2265.0,293.0,1082.0,6488.0,1771.0,4861.0,3993.0,6879.0,3912.0,4486.0,6043.0,6781.0,5316.0,5764.0,6043.0,3637.0,1403.0,3282.0,4881.0,3030.0,6043.0,4153.0,5679.0,4861.0,3999.0,4303.0,4056.0,1771.0,4861.0,6940.0,7055.0,3912.0,3492.0,6043.0,5909.0,3651.0,2265.0,293.0,1082.0,6488.0,1771.0,6047.0,3942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,4787,373,843,4487,1510,2890,6160,6160,6643,3598,3277,4592,1525,6643,3598,3277,4592,4709,5673,1771,4623,3912,3499,6921,4473,7056,5316,6043,7194,4826,5679,5537,3381,534,2238,4942,5679,6043,7194,4826,5679,5537,3381,4709,1771,2374,6879,3912,3499,6921,3030,534,5990,4709,4011,3499,4067,4504,6921,4611,4709,1771,4067,3912,3499,6921,4011,2560,5177,4709,4810,382,3499,512,293,6160,6921,7182,4145,4827,4360,5679,5721,1770,373,843,4487,1510,6921,2890,6160,6921,6160,6921,4709,3293,3499,4067,6376,6921,4611,4709,1771,4067,5558,3912,3499,6921,4011,2560,5177,4709,4810,382,3499,512,293,6160,6921,7182,4145,4827,4360,5679,5721,1770,373,843,4487,1510,6921,2890,6093,4709,4140,3499.0,4384.0,4999.0,4709.0,6608.0,3499.0,5191.0,4709.0,1771.0,4999.0,6608.0,3912.0,3499.0,6921.0,4011.0,5177.0,512.0,293.0,6043.0,2534.0,4161.0,4842.0,7182.0,2560.0,4089.0,6921.0,2057.0,6470.0,5872.0,1403.0,1770.0,4692.0,3127.0,6921.0,2486.0,2428.0,6921.0,2876.0,3901.0,7168.0,5857.0,4964.0,6721.0,6921.0,5857.0,1789.0,2864.0,6921.0,1787.0,6531.0,6921.0,5404.0,4709.0,6301.0,3499.0,4384.0,4999.0,3518.0,4709.0,1771.0,5117.0,5558.0,3912.0,3499.0,6921.0,4011.0,5177.0,512.0,293.0,6043.0,88.0,4842.0,7182.0,,,,,,,,,,,,,,,,,,,,,,
1082,1918,6813,3971,1678,4592,4709,6043,1771,4623,3912,3499,1525,4592,1403,3146,534,4473,7056,5673,3652,6369,5443,4826,5679,5005,905,4709,6043,1771,2374,6879,3912,3499,6921,3030,534,3783,5700,2128,3918,6921,4011,557,4094,534,4404,6715,6043,3324,5679,6043,4712,5679,4455,6921,7182,4462,5872,1770,211,2245,4004,6921,3590,6921,4455,4709,1771,5700,3912,3499,534,4874,1588,2208,6922,3918,6921,4011,557,4094,534,4404,6715,6043,3324,5679,6043,4712,5679,4455,6921,7182,4462,5872,1770,202,4908,2774,6921,5400,2981,6921,4455,4709,6043,1771,2049,3912,3499,4056,1536,6921,5700,3492,3104,534,4393,4011,2359,4896,5902,4412,2059,6043,1222,1824,5679,5541,2655,5679,307,5764,4349,5679,4011.0,7071.0,1413.0,4709.0,2059.0,6981.0,4896.0,5658.0,3499.0,534.0,4011.0,2933.0,1413.0,4709.0,2059.0,4503.0,6138.0,534.0,6904.0,1890.0,293.0,6043.0,4896.0,5658.0,3499.0,5764.0,4349.0,5679.0,4462.0,5685.0,1413.0,534.0,4462.0,5030.0,1413.0,6921.0,911.0,4942.0,2162.0,7176.0,5015.0,5316.0,1082.0,5594.0,5254.0,1185.0,4709.0,6043.0,1771.0,4728.0,3912.0,3499.0,6921.0,4942.0,3494.0,4942.0,4011.0,2359.0,660.0,2059.0,6043.0,6794.0,5679.0,6043.0,4896.0,5658.0,7026.0,534.0,3634.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,4642,3499,3056,5447,6193,6914,6368,3971,819,4592,1525,3056,5447,6193,6914,6368,3971,819,4592,4709,3003,6118,3003,3499,1403,3146,534,4473,7056,4942,5679,5005,211,6921,593,3030,534,5990,1000,6921,4011,6056,1427,6955,4709,3003,1364,3003,3499,6921,6043,231,2527,5679,6043,1364,6921,7213,911,5679,6043,1000,2527,4709,3003,3956,3003,3499,6921,534,5783,2437,3518,6921,4011,6056,557,4709,3003,1838,3003,3499,6921,7182,1256,5087,6043,3284,2883,534,48,3846,511,820,5485,7023,2246,5594,6320,2411,1209,1097,1364,6921,911,5679,6043,3956,6480,5153,3581,4709,1324,3499,6921,3518,534,5412,3581,4709,1324,3499,3518,6921,534,1838,4473,7056,1170,5541,1000,2437,534,2862,4623,6921.0,4115.0,4942.0,5679.0,4638.0,211.0,6921.0,5186.0,4709.0,6043.0,3003.0,4623.0,3003.0,3499.0,4056.0,2208.0,3050.0,1954.0,6921.0,911.0,5679.0,6043.0,3956.0,652.0,6775.0,7056.0,4011.0,6280.0,6118.0,5087.0,4359.0,2168.0,534.0,1307.0,1000.0,2567.0,6185.0,3598.0,6024.0,1364.0,4623.0,6921.0,3030.0,5764.0,6043.0,3956.0,292.0,6921.0,5990.0,4002.0,32.0,6921.0,1170.0,5153.0,3581.0,4709.0,3893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,136,2943,3458,4592,1525,2943,3458,4592,4709,5673,1771,1955,4623,3912,3499,1403,4473,7056,4942,5679,5676,2703,6921,7013,4709,6043,1771,2374,6879,3912,3499,6921,3030,534,3783,2673,5310,6921,3518,6921,4011,1600,557,4709,6043,1771,2261,3912,3499,6921,534,1461,6376,2548,6921,4011,1600,557,4709,6043,1771,3786,3912,3499,4056,3070,1536,6921,6043,2261,6921,6481,534,554,5541,5679,4145,1238,6921,1403,220,293,6043,1813,1536,6921,6043,2261,888,5087,5086,534,2895,5087,6043,3786,6921,534,6043,3786,888,5087,3498,3338,6043,2261,6921,6043,5771,6921,534,293,3067,4402,6921,1770,2399,444,4309,6921,6043,2261,3996,5086,534,1026,6921,534,3996,1177,6043,4002,3629,5679,6043,2261.0,5260.0,5087.0,5086.0,534.0,1026.0,6921.0,5087.0,6043.0,3786.0,5260.0,6921.0,534.0,6043.0,3786.0,3996.0,854.0,534.0,3320.0,6921.0,534.0,3996.0,1177.0,6043.0,4002.0,3629.0,5679.0,6043.0,3786.0,5260.0,5087.0,854.0,534.0,3320.0,6921.0,3338.0,6043.0,2261.0,5260.0,6921.0,5541.0,5679.0,6043.0,2105.0,534.0,4308.0,5679.0,6043.0,5771.0,6921.0,5236.0,911.0,5679.0,6043.0,4338.0,5006.0,5679.0,6043.0,5380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5053,136,3400,4623,5632,2829,4623,1403,2238,4942,5679,5005,4326,6921,2715,3030,534,3783,2850,3890,6921,3518,5809,499,2387,1191,6921,5825,1770,250,499,3890,6721,6921,2345,6921,543,304,4709,6443,3003,2364,3003,3499,6921,534,3670,4525,6921,3608,7206,2212,6376,6921,3518,5825,1770,6080,1087,3232,4779,6921,3541,3957,1870,3395,6921,5782,6762,4709,6443,3003,2212,3003,3499,4056,1343,1209,2212,1403,220,293,6043,372,534,2918,5679,3003,5883,1092,3003,4056,2208,7105,1403,6043,1275,534,1806,5679,837,4968,1170,2364,3040,7182,2212,293,6043,2918,534,834,5679,2212,318,534,4131,4709,3003,2860,3003,3499,4056,6947,3333,4731,7182,6043,2860,6921,2364,534,2212,5265,1275,5087,7123.0,7056.0,4011.0,5644.0,5087.0,6043.0,3082.0,432.0,5679.0,837.0,4968.0,4056.0,3335.0,6921.0,293.0,361.0,5679.0,6043.0,3082.0,6057.0,534.0,4480.0,1720.0,5315.0,6921.0,534.0,2059.0,4002.0,1126.0,534.0,2552.0,361.0,6921.0,6043.0,4968.0,292.0,4942.0,6176.0,3846.0,211.0,4056.0,4262.0,3181.0,5188.0,635.0,5679.0,1308.0,4056.0,5829.0,2364.0,5900.0,4011.0,2560.0,6921.0,5470.0,3598.0,256.0,4445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
