0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230
2504,4455,2001,6336,2468,4511,6358,2549,3398,1583,3703,1084,3869,7158,630,6732,6252,7210,1920,5455,3135,891,4290,4269,2895,2017,6917,3869,7158,2861,2782,5193,2035,5455,1258,6651,1816,1699,4917,3398,871,6917,1548,4140,2887,3398,4843,2861,5382,1838,5067,5395,815,1985,6102,1570,3398,486,3398,6367,3398,2324,3599,6917,5033,5286,3450,6917,7158,2886,5943,2017,2489,6917,1112,4315,2861,1920,6935,2966,3712,2001,4315,3745,6102,5943,2277,3505,6917,5943,3599,2861,7172,1985,1985,6102,4315,1737,2496,6917,1782,6102,5635,3450,1929,6917,4216,14,1966,2638,5455,875,2861,5897,915,4369,5003,1556,5456,795,110,3798,6917,4917,2001,596,2001,5834,1286,5622,7109,7219,2001,5140,1386,2861,3790,3135,1043,3730,5286,773,6216,2861,2139,4523,5067,332,1985,4369,6102,1071,3775,5455,7025,3904,3135,6568,6102,3568,4942,524,6585,2189,2861.0,4431.0,864.0,910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,4040,2325,6983,1261,5027,2381,2168,6096,3398,3635,4705,2857,4901,5604,3398,7113,1626,1257,3455,1252,6038,2724,3614,3417,564,6495,2872,1714,3850,112,6953,301,4948,2736,6830,2861,2428,3054,6116,1920,3157,6776,7210,5073,7111,2162,7210,3876,5197,3398,5193,530,6102,2343,1905,3398,6593,5073,5943,2162,5605,104,3876,5197,3398,5455,5063,6917,2895,6295,5251,3398,5337,3398,3135,3327,6305,4779,428,2263,5073,2162,6295,3876,5197,7109,5504,6102,3505,6917,4610,380,6917,3187,3398,5693,3398,3135,675,5262,5073,5943,2162,2737,3876,1157,2162,3187,3876,5197,2861,6295,6917,5943,2737,1798,2618,5170,2676,6199,530,3135,2162,6572,3876,6917,1776,530,5943,2162,6175,3876,2861,3195,1138,3398,6295,5455,3135,2626,2967,6102,4135,6917,2150,2163,3450,3398,3840,6917,1543,735,2886,6904,3398,1070,4610,1139,3555,6556,1138,3398,5943,2737.0,4543.0,6784.0,5114.0,5067.0,3398.0,4390.0,6917.0,2135.0,5067.0,3398.0,6917.0,4574.0,6526.0,1985.0,3376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4051,6172,5840,2001,2570,280,6116,1920,6602,2001,5324,1305,7210,5073,5943,2162,7210,3876,5197,5455,1110,6917,6615,1966,530,6102,7111,800,5834,6102,6253,3159,3398,5063,6917,2895,3492,1574,3398,5073,3591,5170,2676,530,2162,1986,3876,5197,6917,5363,5023,3398,3135,6773,2263,3398,4930,4610,1224,3099,3904,4851,174,3398,3972,2861,4957,3398,5578,3510,3398,5407,1883,3420,3398,2692,2403,3398,6423,6260,5073,3591,5170,2676,530,5943,2162,1305,3876,5197,2861,4308,1138,3398,1305,4532,2676,1101,3398,3135,817,6727,6102,1986,2886,884,1002,1050,934,3586,1986,2922,2676,6516,4610,6723,3908,1305,7109,3135,5746,457,7109,5943,1472,6917,5652,352,5659,855,2861,6116,5763,3398,466,3398,6007,4735,6102,5943,2344,7146,6917,2390,3398,1986,6917,5943,1305,4743,530,3437,3969,4917,2861,2482,1275,2162,3393,4029,3876,6102,3135,5540,2897.0,4145.0,1639.0,1543.0,5161.0,5063.0,2372.0,5540.0,2676.0,5943.0,3232.0,5540.0,968.0,2676.0,7111.0,7210.0,6909.0,5455.0,6007.0,4264.0,3398.0,924.0,3398.0,2077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,3257,2857,4901,5604,6826,3614,316,7113,1626,1257,3417,1042,975,6983,5724,7113,1626,2792,2861,4725,1942,1257,3614,7113,1626,4355,3932,6953,3168,3417,3758,5326,7189,112,2260,5794,4521,3608,6953,3168,3758,7063,988,6222,3398,5597,263,4837,7210,6753,6487,3208,3398,5693,6917,2702,6611,3398,5693,2857,4901,5604,6826,3614,316,7113,1626,1257,3417,1042,975,6983,5724,7113,1626,2792,2861,4725,1942,1257,3614,7113,1626,4355,3932,6953,3168,3417,3758,5326,7189,112,2260,5794,4521,3608,6953,3168,3758,7063,988,6222,3398,5597,263,3479,6116,1920,4837,7210,5073,2162,7210,3876,5197,5455,1110,6917,6615,1966,530,6102,5943,1495,5834,6102,1699,3398,3159,5073,5943,2162,5605,104,3876,5197,5063,6917,2895,6487,3208,3398,5693,3398,3135,675,5262,3398,4930,7118,5858,3904,2347,6293,207,3398,5323,5319,3398,5959,3398,1624,3570,5073.0,2162.0,6487.0,3876.0,5197.0,3398.0,6917.0,2702.0,6611.0,3398.0,5693.0,3398.0,3135.0,675.0,5262.0,3398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2569,6198,3417,6149,6116,2168,2569,6198,3417,6149,6116,5073,2162,7210,3876,5197,5455,1110,6917,6615,1966,530,6102,7111,1320,5834,6102,4661,2938,5063,6917,2895,1680,3184,2768,3398,3135,5274,3214,5274,3135,4814,2001,5454,461,3398,3135,675,1574,305,1224,6134,5455,4792,3769,5556,3398,5137,174,3398,3873,4590,3398,5918,1953,5073,2162,5532,3876,5197,3398,6917,1501,461,82,4474,3398,5337,3135,675,5231,4909,2737,3398,305,1224,6134,5455,5858,3904,4792,3769,5556,3398,5137,174,3398,3873,4590,3398,5918,1953,5073,2162,2732,3876,5197,2861,1138,3398,5532,5455,5943,5651,6102,3135,884,3736,4227,3450,920,530,5943,2162,4814,2001,5454,461,1427,70,3876,3398,1829,3398,6917,1891,614,3398,2991,4930,5625,6917,1250,1543,3398,1070,5943,4044,5539,4004,725,5762,3969,6917,1138,3398,5532,5455,5943,5651,6102,5943,4136,882,5073.0,5943.0,2162.0,1660.0,3876.0,5197.0,4731.0,2886.0,5943.0,2871.0,6102.0,5943.0,70.0,2372.0,5455.0,5858.0,3904.0,3135.0,1512.0,2222.0,1627.0,3398.0,1829.0,3904.0,6514.0,1161.0,6707.0,5556.0,3398.0,3873.0,4590.0,3398.0,3873.0,4357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,5650,5197,6198,3417,3802,6116,2168,6198,3417,3802,6116,5073,2162,7210,3876,5197,5455,1110,5193,530,6102,5943,6964,1647,95,5834,6102,4878,3398,372,5073,2162,5605,104,3876,5197,3398,5063,6917,2895,4069,4372,2951,3398,5693,3398,3135,5360,5262,5073,2162,7051,3876,5197,3398,6917,3606,3547,2951,3398,5693,3398,3135,6066,5262,5073,2162,2,3876,5197,2861,1303,2861,1920,7210,5455,5943,7139,6917,6252,704,6007,5578,606,6102,5943,6670,3362,7210,2895,5943,6294,6725,5943,5698,6029,5073,5943,2162,3362,7210,3876,5197,2861,5321,1373,5943,1472,6917,5652,126,6909,7051,4111,987,6917,840,5943,2,5816,3398,4974,864,6917,2723,5694,6572,864,2307,5943,5698,2372,5455,961,5073,6127,5197,6651,1389,1702,6102,5943,4094,5067,2886,5943,3873,156,4410,2,3592,3450,6917,7158,2676,7051,3592,3450,6917,7158,2861,5073,2162,2197.0,104.0,3876.0,5197.0,1157.0,6473.0,3232.0,5698.0,530.0,5455.0,3066.0,6007.0,3406.0,5591.0,3634.0,1472.0,6589.0,6099.0,5819.0,2170.0,6007.0,7111.0,7210.0,2897.0,6736.0,5943.0,6165.0,5968.0,5826.0,6007.0,5943.0,3362.0,7210.0,2861.0,5763.0,3398.0,466.0,3398.0,6007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4917,4051,6172,6925,1534,2861,6198,3417,3802,6116,1920,7139,6917,6252,7210,5073,5943,6373,6116,6373,5197,5455,1110,6917,6615,1966,530,6102,4878,6975,3398,5692,5073,6373,6521,6360,6373,5197,5063,6917,2895,3351,5693,3398,3135,675,5262,3398,3831,4610,1224,4791,6102,596,3904,1730,1272,3420,3398,5323,838,3398,2698,6031,3398,7179,4691,5073,6373,6925,6373,5197,6917,2280,1174,3398,5693,3398,3135,675,5262,3831,4610,1224,4791,6102,596,3904,5276,6701,5556,3398,2418,5567,3398,7179,4569,5073,6373,2778,5519,6373,5197,2861,1303,5591,2280,1174,5455,5943,5651,6102,884,3736,3450,6723,5073,5943,6373,2569,6373,530,4528,2170,1083,6917,3113,3351,2922,2676,1528,3135,1694,2676,6341,6917,6005,5943,864,7109,5943,1472,6917,5652,352,5659,6199,6007,4727,4930,5943,4290,3350,2372,3351,4111,2097,2676,4610,156,5073,530,2170,855,5197.0,6917.0,2280.0,1174.0,2922.0,2676.0,720.0,3351.0,6473.0,3135.0,1694.0,7109.0,6473.0,3053.0,6111.0,2782.0,6294.0,4528.0,2914.0,2676.0,1970.0,651.0,6917.0,3130.0,5943.0,3232.0,5540.0,1882.0,3450.0,6299.0,3350.0,530.0,1499.0,530.0,4778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4051,1245,3479,4777,6116,1920,4837,4261,7210,5073,2782,6373,6116,6373,5197,5455,6615,1966,7109,1818,978,3398,776,3398,5063,6917,2895,6462,6518,1731,3398,6470,269,291,5262,6642,2861,6889,2001,66,3831,4610,4791,6102,596,3904,4817,6058,4511,3398,6899,2665,3398,831,7190,3398,4149,3398,5073,6373,3815,6373,5197,6917,6938,4149,1731,3398,6470,269,291,5262,6642,2861,2124,2001,5356,3398,3831,4610,4791,6102,596,3904,4917,2174,4221,2861,3398,1708,5524,6158,5601,3398,3070,326,5568,3398,3132,6812,3398,4149,5073,5943,6373,7086,6373,5197,2861,3815,6917,1575,1798,1776,5170,2676,530,5943,6175,2861,3195,1138,3815,6377,3135,418,2886,1543,5073,6373,3178,6373,5197,1914,5881,6725,7037,6131,3398,1620,2676,3135,311,6102,5534,4026,2676,2097,3815,4930,884,2750,4837,4261,5067,5073,530,2170,3591,5197,2886,5943,5040,3398,2905.0,6917.0,1735.0,6007.0,2137.0,6835.0,2363.0,6917.0,4883.0,6102.0,3815.0,6373.0,1206.0,3398.0,7109.0,3135.0,2499.0,457.0,3398.0,2676.0,6186.0,4410.0,3815.0,4091.0,1250.0,2676.0,5943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,6172,2325,6983,1261,5027,2381,2168,6096,3398,3635,4705,2857,1919,4901,1919,5604,3398,7113,1626,1257,3455,6601,3811,3398,1534,2861,7113,3931,6953,1261,5073,5670,5197,6038,2724,3614,3417,5073,2752,5197,564,6495,2872,1714,3850,112,6601,3811,3398,1534,2861,4948,2736,6830,2861,829,5925,3417,6198,6116,1920,1903,6272,6917,7139,7210,5073,7111,2162,7210,3876,5197,5455,6615,1966,7109,6823,2887,3398,3159,5073,5943,2162,5605,104,3876,5197,3398,5063,6917,2895,5866,3398,5693,5858,3904,4917,562,5911,1258,1647,95,4511,3398,3873,4590,3398,5918,558,5073,2162,5866,3876,5197,3398,6917,2782,2480,6102,5803,3398,5858,3904,6240,5274,627,4888,6102,1903,4287,3398,5058,7040,836,3398,5803,6031,3398,2712,5095,5073,2162,2480,3876,5197,2861,5866,6917,2480,6282,3384,1101,5170,2676,6199,530,3135,2162,6572,3398,3876,6917,1776,530.0,2162.0,6175.0,2861.0,3876.0,4151.0,6517.0,6176.0,4814.0,103.0,103.0,4814.0,6517.0,2178.0,3969.0,1138.0,3398.0,5866.0,5455.0,3009.0,6007.0,5943.0,3775.0,6102.0,4174.0,6723.0,2886.0,5943.0,4087.0,6102.0,3189.0,6563.0,6528.0,1138.0,3398.0,2480.0,5455.0,3009.0,6007.0,4135.0,5388.0,2676.0,444.0,5943.0,3430.0,,,,,,,,,,,,,,,,,,,,,,
4051,3257,5617,6860,4183,6116,1920,3547,7210,5073,7111,2162,7210,3876,5197,5455,1110,6917,6615,1966,530,6102,1940,3398,3159,5073,5943,2162,5605,104,3876,5197,3398,2895,1243,5250,3398,5693,3398,3135,5656,5262,4930,3135,1224,4791,6102,596,3904,4204,5664,2001,4223,3398,6796,3398,4016,3398,5222,5073,2162,1243,3876,5197,3398,6917,2574,1243,2392,3398,5337,3398,3135,675,4779,428,2263,4930,3135,1224,4791,6102,596,3904,2857,4901,5604,5073,2162,5469,3600,2737,3876,5197,5073,1577,6102,1243,6917,5469,3600,2737,5455,3135,2162,3875,2731,6234,1798,5943,2162,6175,3876,5197,2861,1303,5591,1243,6917,4610,6847,5073,1776,3398,2162,1243,6175,3876,5197,6736,3859,3135,3736,1669,5909,2372,2824,3999,4410,5273,5221,3398,2508,4206,5073,2162,2004,3876,5197,6917,5034,3311,5073,2162,4825,3876,5197,2886,5943,5040,6102,4739,6183,5073,2162.0,3041.0,3876.0,5197.0,3999.0,2372.0,5889.0,1101.0,6589.0,2886.0,3135.0,6646.0,6102.0,4981.0,5876.0,2861.0,3113.0,5784.0,4930.0,5943.0,2715.0,6102.0,7111.0,7210.0,3398.0,1243.0,5587.0,3398.0,5337.0,3398.0,3135.0,675.0,4779.0,5712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
