0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225
682,2663,5967,6034,18,5082,5332,4340,4340,3496,4064,378,1836,3578,3496,4064,378,1836,2570,758,4600,5081,7034,4380,424,4058,4108,5188,638,680,573,6303,5611,3696,679,3747,3761,6303,638,680,573,6303,5611,3696,2570,4600,1017,5797,7034,4380,424,6480,679,2960,2570,1974,4380,3675,7003,424,1616,2570,4600,3675,7034,4380,424,1974,423,3532,2570,2725,4902,4380,2751,5873,4340,424,5472,1621,6559,4204,6303,4146,4425,5967,6034,18,5082,424,5332,4340,424,4340,424,2570,2161,4380,3675,2830,424,1616,2570,4600,3675,2275,7034,4380,424,1974,423,3532,2570,2725,4902,4380,2751,5873,4340,424,5472,1621,6559,4204,6303,4146,4425,5967,6034,18,5082,424,5332,2474,2570,1473,4380.0,5733.0,851.0,2570.0,2296.0,4380.0,6852.0,2570.0,4600.0,851.0,2296.0,7034.0,4380.0,424.0,1974.0,3532.0,2751.0,5873.0,638.0,3974.0,5368.0,1072.0,5472.0,423.0,4946.0,424.0,2279.0,3931.0,1831.0,6595.0,4425.0,5914.0,6449.0,424.0,453.0,4871.0,424.0,2638.0,6882.0,3368.0,385.0,4852.0,1493.0,424.0,385.0,692.0,831.0,424.0,5982.0,4785.0,424.0,6744.0,2570.0,1030.0,4380.0,5733.0,851.0,6253.0,2570.0,4600.0,7058.0,2275.0,7034.0,4380.0,424.0,1974.0,3532.0,2751.0,5873.0,638.0,7001.0,1072.0,5472.0,,,,,,,,,,,,,,,,,
682,2072,4590,2687,6164,6921,4553,69,1836,1957,4590,2687,6164,6921,4553,69,1836,2570,758,4600,5721,7034,4380,6595,6018,679,4058,4108,3747,3761,6303,159,6307,424,7081,2570,638,4600,1017,5797,7034,4380,6480,679,2960,2570,2677,4380,2676,1996,424,1974,5370,3456,2570,4600,2676,1996,7034,4380,679,2676,1106,424,6253,424,1974,3612,3456,2570,4600,2676,1106,7034,679,5269,5472,2676,1996,424,638,4600,2676,1805,7034,4380,424,679,2570,1304,4380,4009,2200,2674,424,2991,424,1974,6243,3456,2570,4600,4009,7034,4380,424,4009,2200,1841,3604,424,6253,424,1205,5645,3456,2570,4600,4009,2275,7034,4380,679,6170,4009,4402,2674,424,2991,424,1974,6736,3469,5150,6303,5923,3532.0,2570.0,4600.0,4354.0,7034.0,679.0,5269.0,5472.0,4009.0,679.0,4009.0,2275.0,424.0,638.0,4600.0,4009.0,1805.0,7034.0,4380.0,424.0,3761.0,1205.0,4157.0,1864.0,2887.0,528.0,5954.0,6896.0,5081.0,4059.0,5147.0,840.0,424.0,2611.0,6480.0,679.0,2960.0,1111.0,3212.0,424.0,6253.0,2570.0,4600.0,1111.0,3212.0,7034.0,4380.0,424.0,1111.0,1996.0,2570.0,4600.0,1111.0,1996.0,7034.0,4380.0,679.0,1111.0,2275.0,424.0,6253.0,2570.0,4600.0,1111.0,2275.0,7034.0,679.0,5269.0,5472.0,1111.0,3212.0,679.0,1111.0,1996.0,424.0,638.0,4600.0,1111.0,1805.0,7034.0,4380.0,679.0,638.0,4009.0,1805.0,424.0,3761.0,1920.0,424.0,2150.0
682,5303,1512,399,1836,1957,4069,2515,5081,2570,758,4600,5081,7034,4380,424,3747,3761,6303,3902,6831,424,3762,2570,638,4600,1017,5797,7034,4380,424,6595,6480,679,5602,5422,1738,1628,424,6253,424,1974,2228,1846,2279,6073,3989,6595,7022,6870,7067,4734,424,3377,4020,424,6319,486,6884,424,5668,2570,4600,4835,7034,4380,679,3623,2053,2181,4947,424,1974,3532,6073,5523,638,5844,6303,5237,679,1657,2570,1758,2478,3064,3632,1163,4380,2279,6073,3989,6595,3623,2462,424,6691,6264,424,4507,2531,424,5262,4078,1937,2570,4600,3623,7034,4380,3632,4656,3223,424,3623,2868,1864,3017,4835,3761,3623,534,7053,4594,5873,638,2036,975,6019,638,6727,6303,4392,3623,534,454,679.0,6531.0,3284.0,3223.0,424.0,4835.0,2868.0,1864.0,3017.0,3623.0,3761.0,1621.0,454.0,5497.0,5212.0,679.0,1864.0,3250.0,3192.0,3606.0,6531.0,5873.0,2013.0,3284.0,679.0,3223.0,424.0,4835.0,679.0,3623.0,5100.0,1864.0,4448.0,4108.0,758.0,5081.0,6019.0,638.0,5456.0,6303.0,6408.0,4835.0,638.0,6639.0,1864.0,7013.0,2290.0,5688.0,679.0,6531.0,679.0,3623.0,1864.0,4610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,6235,2300,4064,2625,836,1836,1957,5121,4064,5243,2174,5081,2570,638,4600,5081,7034,4380,6595,6018,679,4058,4108,3761,6303,758,415,573,6303,2124,5460,424,6480,679,5602,2911,1846,424,2570,4199,2535,1864,3761,4600,2240,7034,4380,679,1775,1772,424,1974,5123,3532,424,5472,1621,6559,3989,4425,3985,6449,424,3064,3632,4549,424,5071,6005,424,3171,1631,6264,424,1141,831,424,1721,6292,2570,4199,2535,1864,3761,638,4600,2174,7034,4380,3632,4464,3223,424,2174,2868,1864,816,424,1974,6202,1333,6303,2240,6019,528,6251,1651,6343,73,2240,1559,1864,3229,1621,5688,4230,2174,5188,1974,2775,7123,5188,638,705,679,5671,2510,3707,1397,3632,1836,448,424,5003,424,5873.0,1435.0,6303.0,638.0,4907.0,4133.0,679.0,2476.0,424.0,2240.0,679.0,638.0,2174.0,2518.0,3761.0,43.0,6107.0,2677.0,3632.0,1663.0,2396.0,4600.0,4732.0,5422.0,7034.0,6303.0,1974.0,5980.0,2381.0,5090.0,1374.0,1475.0,4543.0,6480.0,2887.0,5980.0,1864.0,638.0,6579.0,5980.0,3824.0,1864.0,758.0,5081.0,1291.0,6595.0,5873.0,4393.0,424.0,5809.0,424.0,1149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,399,1836,1957,1512,399,1836,2570,638,4600,5081,7034,4380,6595,4058,4108,3761,6303,5147,1872,424,2048,2570,638,4600,1017,5797,7034,4380,424,5602,2659,5292,2175,3632,424,1974,3612,1846,2570,4600,2533,7034,4380,679,1421,6851,2175,3632,424,1974,2153,1846,2570,4600,7184,7034,4380,3632,3223,424,2533,1345,269,424,5177,679,3036,1974,3840,424,6458,5227,5807,6431,3648,1995,4429,6303,6502,5188,4064,5474,3099,1195,679,3713,6431,6019,5750,3808,4064,4696,424,3848,564,3012,424,2066,4064,2507,992,1326,2570,638,4600,3196,7034,4380,3284,3223,424,638,3196,6595,638,4623,6303,5620,5779,1475,424,3848,5916,1451,423,1864,2427,424,5439,424,1908,640,424,6142,4064,4379.0,424.0,679.0,210.0,1475.0,4945.0,6480.0,2533.0,3284.0,3223.0,424.0,7184.0,6595.0,1974.0,800.0,4064.0,1941.0,3345.0,3364.0,679.0,1333.0,6303.0,992.0,1326.0,6597.0,679.0,6595.0,5499.0,6303.0,4821.0,1621.0,1298.0,4297.0,6391.0,638.0,2036.0,975.0,424.0,679.0,3223.0,424.0,7184.0,679.0,2533.0,2662.0,5499.0,6303.0,5479.0,638.0,3196.0,6431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,3507,960,2619,2687,5168,1836,2570,642,4987,4380,3578,960,2619,2687,5168,1836,2570,758,4600,5081,7034,4380,6595,6018,3761,6303,5132,7041,424,7081,6480,679,5602,2065,2275,6253,424,1205,3425,3456,2570,638,4600,1393,7034,4380,424,679,1808,4064,915,4167,424,1205,3425,423,4946,3532,2570,4600,4290,7034,4380,3632,4024,333,1393,332,679,3929,638,2597,2116,1914,2570,638,4600,6439,7034,4380,3824,1864,4385,3108,6480,638,4913,7003,4775,2570,4600,3790,7034,36,642,4064,2770,424,3163,63,424,4704,2570,1376,2709,3064,3632,3638,4380,3632,2514,6439,1345,638,759,1864,4254,1205,5873,4064,4848,424,5188,4064,7192,2570,4600,2346,7034,4380,4644,5198,1109,3632,6513,4290.0,2868.0,1864.0,4164.0,2116.0,5198.0,1914.0,915.0,4064.0,2429.0,424.0,3163.0,63.0,424.0,4704.0,2570.0,1376.0,2709.0,3064.0,3632.0,2702.0,4380.0,2570.0,4600.0,915.0,7034.0,4380.0,2374.0,5188.0,638.0,6439.0,534.0,3373.0,7192.0,2570.0,638.0,4600.0,4987.0,900.0,7034.0,4380.0,4425.0,1974.0,845.0,6303.0,6425.0,3632.0,191.0,1393.0,1345.0,5658.0,1864.0,880.0,3281.0,1864.0,4290.0,1107.0,5188.0,638.0,4987.0,900.0,679.0,1613.0,6019.0,2374.0,638.0,2258.0,6303.0,915.0,5188.0,638.0,705.0,679.0,5671.0,2510.0,3707.0,5873.0,758.0,132.0,,,,,,,,,,,
682,5303,2496,1836,1957,2070,5081,2570,4600,5081,7034,4380,6595,4058,4108,3761,6303,2124,2677,424,1753,424,6480,679,5602,6026,3632,693,424,6253,424,1974,3612,3456,2570,638,4600,2478,7034,4380,424,679,3810,2790,893,2976,424,4167,2570,4600,3810,2790,7034,4380,424,3810,2790,6751,424,3810,5512,2367,6751,424,3810,2790,898,2367,424,6751,424,3967,1237,5514,2976,424,4167,679,16,3967,2570,5931,424,638,4600,3810,1805,7034,4380,2570,2035,6303,638,2478,424,5188,638,4793,6506,424,679,638,3810,1805,424,5188,638,6579,6506,424,1974,4600,1309,7034,1864,758,5081,424,679,5931,424,638,4600,1805,7034,4380,3632,2600,3223,424,638,3810,1805,4164,4242,6431,3551.0,3211.0,4194.0,6431.0,3551.0,7059.0,4164.0,7089.0,3518.0,6303.0,2970.0,104.0,6303.0,638.0,370.0,1797.0,424.0,2635.0,7030.0,5129.0,171.0,3460.0,4297.0,424.0,6303.0,638.0,2478.0,2570.0,638.0,4600.0,4877.0,3831.0,7034.0,4380.0,3761.0,6303.0,638.0,3686.0,6303.0,758.0,2746.0,3223.0,424.0,3810.0,2790.0,7175.0,1974.0,1228.0,1864.0,638.0,2478.0,5188.0,5324.0,3943.0,424.0,1753.0,2570.0,638.0,4600.0,2267.0,6965.0,7034.0,4380.0,3333.0,1974.0,6076.0,6303.0,3556.0,3850.0,1864.0,816.0,4490.0,1864.0,,,,,,,,,,,,,,,,,
682,5462,4998,4131,441,6080,5081,4061,2059,1409,2796,5290,1836,1957,6915,5081,2570,758,4600,5081,7034,4380,6595,4058,4108,3747,3761,6303,243,4635,424,4694,424,2570,638,4600,1017,5797,7034,4380,6480,679,5602,5045,7204,2594,5102,5514,2234,424,1974,4676,6303,4067,6279,2181,424,6253,2570,4600,4067,7034,4380,424,3761,3476,6019,6288,4099,4067,4436,1846,2570,4600,3251,5173,7034,4380,424,679,787,424,6253,2570,4600,1393,7034,4380,3632,4067,679,1393,2662,5931,2535,1864,3761,638,4600,4791,7034,679,2035,4313,3761,1974,4600,5980,3632,7034,2600,6107,3223,424,3251,5173,332,638,376,1864,1250,424,1683,424,5275,424,679,7013,1158,4529,606,5188,638,2939,424,1152,424.0,2929.0,424.0,4232.0,2235.0,5825.0,679.0,5423.0,1184.0,6299.0,2570.0,5931.0,424.0,638.0,4600.0,1362.0,7034.0,4380.0,3771.0,5873.0,638.0,4021.0,3892.0,6289.0,2510.0,3707.0,5188.0,682.0,6997.0,3002.0,4083.0,2570.0,4313.0,424.0,638.0,4600.0,7019.0,7034.0,679.0,5931.0,424.0,638.0,4600.0,1934.0,424.0,7034.0,679.0,5503.0,591.0,3761.0,4600.0,34.0,6562.0,4380.0,7034.0,679.0,4600.0,6692.0,4662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,3245,3754,2687,1684,1836,1957,6745,679,3301,5081,2570,758,608,5081,608,4380,6595,4058,5188,758,6270,573,6303,159,424,4241,679,6595,6197,3747,3761,6303,159,2677,424,4241,2570,638,608,1017,5797,608,4380,424,6480,679,5602,6191,424,6253,2570,608,5814,608,4380,679,6191,265,4167,424,1432,5911,3761,1969,424,6253,1291,1030,1184,2161,1184,1974,6191,1190,2570,608,5379,5931,5472,5814,424,608,3636,608,4380,424,5188,638,4793,6506,424,679,3678,424,6253,2570,608,3678,608,4380,5188,638,6579,6506,3632,2600,3223,424,5814,424,2944,679,3678,4164,4058,4108,5217,679,1664,4671,6915,5081,3747,3761,6303,638,3686,987,2570,638,608,4671,6915,5081,608,4380.0,3824.0,1864.0,1291.0,3636.0,1345.0,7116.0,1864.0,3678.0,528.0,5779.0,454.0,73.0,679.0,3223.0,424.0,3678.0,2868.0,1864.0,4784.0,679.0,2944.0,6595.0,2747.0,1864.0,3250.0,528.0,7000.0,679.0,3428.0,6531.0,5472.0,3548.0,1864.0,2290.0,5688.0,5188.0,638.0,705.0,679.0,5671.0,2510.0,3707.0,6104.0,3632.0,448.0,424.0,5003.0,424.0,5873.0,1435.0,6303.0,638.0,4907.0,2476.0,679.0,3146.0,2510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,5303,5952,2928,1836,3578,5952,2928,1836,2570,638,4600,5081,7034,4380,6595,3747,3761,6303,424,1753,2570,638,4600,1017,5797,7034,4380,424,6480,679,5602,6176,2592,424,2175,3632,424,1974,3612,3456,507,1621,6559,4204,6303,4146,4425,4608,2387,167,424,802,5837,424,6740,6770,2570,4600,3755,7034,4380,424,679,4783,424,4167,424,1974,3612,423,4946,3532,507,1205,1831,6303,407,526,4734,424,1349,424,3163,2103,2538,2570,4600,1925,7034,4380,3632,3755,679,1925,2662,2263,2535,1864,6104,4313,3761,1974,4600,1309,7034,3551,5931,3761,638,4600,1805,3632,7034,2600,3223,424,3755,6595,1974,5925,3238,5873,638,5497,679,1961,6303,4529,6019,6102,5461,679,1345,5194,964,5472.0,3192.0,2464.0,6781.0,5472.0,3548.0,1864.0,638.0,5497.0,6303.0,1196.0,679.0,5688.0,6018.0,5480.0,6102.0,386.0,3223.0,424.0,1925.0,6595.0,1974.0,5925.0,3238.0,5873.0,638.0,5497.0,679.0,2777.0,6303.0,6102.0,5461.0,679.0,6579.0,4318.0,4064.0,2416.0,4804.0,5461.0,424.0,679.0,5004.0,2139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
