0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
2813,2363.0,12116.0,1150.0,14794.0,27816.0,14419.0,20268.0,16096.0,27816.0,26506.0,20268.0,10466.0,27816.0,7702.0,20268.0,10129.0,27816.0,20504.0,10412.0,27816.0,18105.0,20268.0,5977.0,27816.0,153.0,20268.0,8428.0,27816.0,21119.0,4992.0,27816.0,12468.0,,,,,,,,,,,,,,,,,,,,,
24372,6721.0,11704.0,18589.0,12090.0,14384.0,24066.0,11126.0,24372.0,20366.0,13329.0,1708.0,24372.0,26209.0,20898.0,1708.0,24372.0,17888.0,627.0,1708.0,24372.0,4655.0,14781.0,1708.0,24372.0,23173.0,22707.0,10657.0,6303.0,1708.0,24372.0,22348.0,22829.0,1708.0,24372.0,10498.0,6303.0,1708.0,24372.0,4286.0,11790.0,1708.0,24372.0,9921.0,23164.0,1708.0,24372.0,21825.0,6303.0,1708.0,24372.0,15256.0,23164.0,16826.0
15573,18169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3746,645.0,18169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26881,1512.0,16663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3372,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7524,12951.0,7244.0,6730.0,13978.0,568.0,11126.0,17266.0,7244.0,27295.0,3831.0,19971.0,12962.0,9218.0,16826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28164,18001.0,18169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23738,18169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4280,27816.0,1096.0,11363.0,27816.0,25863.0,9757.0,14370.0,27816.0,11171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9103,18169.0,17561.0,8793.0,24522.0,1708.0,19673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11965,18858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
