0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
26013,14673.0,17549.0,18518.0,19703.0,21332.0,9160.0,21332.0,7836.0,21332.0,12939.0,13541.0,,,,,,,,,,,,,,,,,,,,,,,,
7616,26254.0,13541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14243,21201.0,8660.0,1452.0,11357.0,7709.0,21201.0,14725.0,3511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5367,7491.0,2239.0,25866.0,14878.0,25872.0,18212.0,3511.0,26857.0,25872.0,2004.0,577.0,25872.0,13925.0,18558.0,25872.0,18404.0,3511.0,6787.0,25872.0,27168.0,23409.0,25872.0,5835.0,3511.0,15637.0,25872.0,8660.0,3511.0,5538.0,25872.0,26364.0,,,,
10136,21505.0,5608.0,17031.0,18153.0,9549.0,8288.0,12297.0,19047.0,12297.0,12600.0,22400.0,12508.0,18488.0,,,,,,,,,,,,,,,,,,,,,,
8719,7707.0,12096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21677,28181.0,23611.0,4593.0,17814.0,2115.0,18518.0,22485.0,18276.0,25771.0,21332.0,1089.0,14673.0,22485.0,3983.0,8250.0,13541.0,,,,,,,,,,,,,,,,,,,
26807,21641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2622,22792.0,21641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24279,5394.0,19187.0,9729.0,19926.0,5608.0,27540.0,19416.0,19187.0,22485.0,26995.0,13073.0,14247.0,16612.0,23451.0,10897.0,5806.0,17815.0,22485.0,16254.0,13541.0,,,,,,,,,,,,,,,
7325,4289.0,28259.0,21332.0,14247.0,14823.0,12592.0,22734.0,21332.0,16921.0,14042.0,14673.0,14247.0,20332.0,21332.0,19356.0,2115.0,13541.0,,,,,,,,,,,,,,,,,,
14391,13541.0,27009.0,23070.0,17815.0,20582.0,2629.0,16163.0,4438.0,2629.0,25936.0,27007.0,25111.0,13541.0,,,,,,,,,,,,,,,,,,,,,,
18218,21641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28077,21641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,21641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15874,2647.0,4953.0,19356.0,1882.0,8217.0,13541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23490,24593.0,13541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19088,4380.0,2629.0,2471.0,11096.0,8573.0,21728.0,6570.0,13541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3405,13541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20963,2248.0,8857.0,15454.0,27288.0,3919.0,20582.0,13541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20065,2693.0,26011.0,23484.0,13541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27506,3931.0,16580.0,24017.0,19187.0,15726.0,23074.0,18150.0,18671.0,6910.0,17815.0,16819.0,23837.0,21332.0,11951.0,19187.0,19356.0,5282.0,14245.0,19356.0,21682.0,22989.0,22485.0,16296.0,2629.0,3255.0,28068.0,12508.0,9379.0,21326.0,13541.0,,,,,
20065,4633.0,4564.0,20524.0,20822.0,14673.0,14247.0,13519.0,25220.0,21332.0,19187.0,4423.0,5507.0,13541.0,,,,,,,,,,,,,,,,,,,,,,
28113,10323.0,2629.0,1643.0,21728.0,8542.0,20860.0,13541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9350,7477.0,12096.0,25866.0,13934.0,25872.0,27358.0,2966.0,25872.0,14847.0,3511.0,2931.0,25872.0,12860.0,3511.0,14797.0,25872.0,11425.0,3511.0,7.0,25872.0,827.0,9654.0,25872.0,14731.0,23981.0,25872.0,26000.0,20928.0,25872.0,22797.0,22349.0,4289.0,25872.0,11985.0,3511.0
3168,26995.0,15503.0,18089.0,5608.0,22485.0,8976.0,9379.0,3661.0,21332.0,19973.0,21332.0,7460.0,22871.0,13573.0,26011.0,23264.0,17770.0,13541.0,,,,,,,,,,,,,,,,,
15472,23490.0,25477.0,9582.0,11581.0,26469.0,16800.0,18151.0,19152.0,21332.0,24322.0,7710.0,22989.0,21145.0,14673.0,22485.0,18732.0,1420.0,2629.0,22485.0,6383.0,25689.0,1673.0,21963.0,14247.0,1217.0,19152.0,2629.0,12313.0,19233.0,13541.0,,,,,
3168,26995.0,19356.0,25729.0,17815.0,4896.0,376.0,15454.0,15806.0,23295.0,14247.0,20582.0,19187.0,16580.0,17254.0,11496.0,18518.0,3959.0,19388.0,21409.0,26007.0,3587.0,2629.0,26896.0,13541.0,,,,,,,,,,,
3168,26995.0,410.0,14673.0,14247.0,25064.0,18427.0,2629.0,2668.0,13541.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6780,19356.0,11170.0,8982.0,10848.0,16791.0,19187.0,16580.0,25771.0,7914.0,21332.0,25891.0,21332.0,3796.0,21332.0,19187.0,2879.0,13541.0,,,,,,,,,,,,,,,,,,
22366,21641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27059,20524.0,22485.0,1420.0,2629.0,5200.0,11902.0,2629.0,26896.0,13318.0,11609.0,12508.0,1741.0,21946.0,13541.0,,,,,,,,,,,,,,,,,,,,,
16658,7710.0,6975.0,22485.0,3062.0,11609.0,17183.0,22485.0,26995.0,19356.0,16611.0,17815.0,3760.0,27261.0,20368.0,10888.0,3919.0,9538.0,13836.0,21409.0,7704.0,2230.0,13541.0,,,,,,,,,,,,,
13499,22207.0,21332.0,9992.0,5159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17795,1629.0,21332.0,22485.0,26995.0,20524.0,2745.0,1882.0,5608.0,459.0,14673.0,7460.0,24606.0,13541.0,,,,,,,,,,,,,,,,,,,,,,
20963,17826.0,5168.0,13541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5449,21641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16658,19356.0,3495.0,22989.0,14188.0,359.0,13519.0,12807.0,13541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6335,19356.0,11641.0,13541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,21641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21620,22485.0,25005.0,5768.0,21332.0,22485.0,26995.0,8269.0,19526.0,22511.0,2629.0,22485.0,24377.0,14042.0,14673.0,20085.0,2629.0,27253.0,18151.0,13541.0,,,,,,,,,,,,,,,,
15615,7423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19502,16577.0,21433.0,21332.0,6885.0,7455.0,15454.0,22320.0,26404.0,21332.0,7066.0,15454.0,22320.0,9886.0,21332.0,7066.0,15454.0,22320.0,24159.0,13541.0,,,,,,,,,,,,,,,,
28269,23584.0,13541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
