0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
7109,23338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26319,1644.0,1729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16283,11800.0,27524.0,18157.0,1245.0,14900.0,,,,,,,,,,,,,,,,,,,,,,,,,
2741,314.0,11678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11903,3841.0,15534.0,4608.0,18443.0,11466.0,2236.0,9940.0,9288.0,28092.0,7939.0,9101.0,20601.0,4803.0,4074.0,1095.0,1610.0,3397.0,1644.0,12858.0,4803.0,4645.0,17225.0,7146.0,24905.0,9940.0,14900.0,,,,
2744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786,11066.0,19403.0,10450.0,11066.0,22124.0,18512.0,23162.0,4938.0,14900.0,,,,,,,,,,,,,,,,,,,,,
3257,11066.0,7677.0,24487.0,20951.0,9543.0,14900.0,,,,,,,,,,,,,,,,,,,,,,,,
22500,20332.0,15841.0,26532.0,18091.0,15828.0,21027.0,18441.0,19902.0,25592.0,22356.0,1143.0,15828.0,8132.0,8458.0,25592.0,20926.0,21877.0,1095.0,20951.0,17158.0,,,,,,,,,,
16283,8525.0,22356.0,18091.0,3010.0,4260.0,20951.0,14900.0,,,,,,,,,,,,,,,,,,,,,,,
11815,11066.0,19211.0,4803.0,26892.0,1095.0,10847.0,15970.0,7146.0,18917.0,8861.0,9062.0,14900.0,,,,,,,,,,,,,,,,,,
17293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9083,18441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25989,18441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26178,14683.0,28092.0,5527.0,7939.0,27194.0,28092.0,12026.0,13779.0,28092.0,24829.0,2274.0,14900.0,,,,,,,,,,,,,,,,,,
13492,14604.0,16206.0,11066.0,7677.0,19052.0,9733.0,16128.0,14900.0,,,,,,,,,,,,,,,,,,,,,,
14951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
