Sentence #,Word,Tag
Sentence: 5851,0802338,O
Sentence: 15815,The,O
Sentence: 15815,visualized,O
Sentence: 15815,paranasal,O
Sentence: 15815,sinuses,O
Sentence: 15815,are,O
Sentence: 15815,clear,O
Sentence: 15815,.,O
Sentence: 4203,Chem-7,B-test
Sentence: 4203,:,O
Sentence: 4203,Sodium,B-test
Sentence: 4203,145,O
Sentence: 4203,",",O
Sentence: 4203,potassium,B-test
Sentence: 4203,3.4,O
Sentence: 4203,",",O
Sentence: 4203,chloride,B-test
Sentence: 4203,116,O
Sentence: 4203,",",O
Sentence: 4203,bicarb,B-test
Sentence: 4203,21,O
Sentence: 4203,",",O
Sentence: 4203,BUN,B-test
Sentence: 4203,12,O
Sentence: 4203,",",O
Sentence: 4203,creatinine,B-test
Sentence: 4203,0.6,O
Sentence: 4203,",",O
Sentence: 4203,glucose,B-test
Sentence: 4203,96,O
Sentence: 4203,",",O
Sentence: 4203,calcium,B-test
Sentence: 4203,7.2,O
Sentence: 4203,",",O
Sentence: 4203,phos,B-test
Sentence: 4203,3.6,O
Sentence: 4203,",",O
Sentence: 4203,magnesium,B-test
Sentence: 4203,1.7,O
Sentence: 4203,.,O
Sentence: 3824,(,O
Sentence: 3824,End,O
Sentence: 3824,of,O
Sentence: 3824,Report,O
Sentence: 3824,),O
Sentence: 3721,Upon,O
Sentence: 3721,presentation,O
Sentence: 3721,it,O
Sentence: 3721,was,O
Sentence: 3721,unclear,O
Sentence: 3721,when,O
Sentence: 3721,last,O
Sentence: 3721,time,O
Sentence: 3721,was,O
Sentence: 3721,that,O
Sentence: 3721,patient,O
Sentence: 3721,took,O
Sentence: 3721,meds,B-treatment
Sentence: 3721,",",O
Sentence: 3721,but,O
Sentence: 3721,hypertension,B-problem
Sentence: 3721,likely,O
Sentence: 3721,d/t,O
Sentence: 3721,inability,B-problem
Sentence: 3721,to,I-problem
Sentence: 3721,take,I-problem
Sentence: 3721,meds,I-problem
Sentence: 3721,in,O
Sentence: 3721,setting,O
Sentence: 3721,of,O
Sentence: 3721,N/V,B-problem
Sentence: 3721,.,O
Sentence: 9920,He,O
Sentence: 9920,also,O
Sentence: 9920,complained,O
Sentence: 9920,of,O
Sentence: 9920,increased,B-problem
Sentence: 9920,shortness,I-problem
Sentence: 9920,of,I-problem
Sentence: 9920,breath,I-problem
Sentence: 9920,and,O
Sentence: 9920,',O
Sentence: 9920,difficulty,B-problem
Sentence: 9920,catching,I-problem
Sentence: 9920,his,I-problem
Sentence: 9920,breath,I-problem
Sentence: 9920,.',O
Sentence: 2525,817406016,O
Sentence: 2525,RWH,O
Sentence: 2281,She,O
Sentence: 2281,will,O
Sentence: 2281,follow,O
Sentence: 2281,up,O
Sentence: 2281,with,O
Sentence: 2281,her,O
Sentence: 2281,psychiatrist,O
Sentence: 2281,",",O
Sentence: 2281,Dr.,O
Sentence: 2281,Freiermchird,O
Sentence: 2281,(,O
Sentence: 2281,Sone,O
Sentence: 2281,Memorial,O
Sentence: 2281,Hospital,O
Sentence: 2281,),O
Sentence: 2281,on,O
Sentence: 2281,a,O
Sentence: 2281,regular,O
Sentence: 2281,basis,O
Sentence: 2281,",",O
Sentence: 2281,and,O
Sentence: 2281,she,O
Sentence: 2281,can,O
Sentence: 2281,follow,O
Sentence: 2281,up,O
Sentence: 2281,with,O
Sentence: 2281,the,O
Sentence: 2281,Neurology,O
Sentence: 2281,Service,O
Sentence: 2281,on,O
Sentence: 2281,a,O
Sentence: 2281,p.r.n.,O
Sentence: 2281,basis,O
Sentence: 2281,if,O
Sentence: 2281,needed,O
Sentence: 2281,.,O
Sentence: 7008,There,O
Sentence: 7008,is,O
Sentence: 7008,also,O
Sentence: 7008,an,B-problem
Sentence: 7008,old,I-problem
Sentence: 7008,right,I-problem
Sentence: 7008,frontal,I-problem
Sentence: 7008,lobe,I-problem
Sentence: 7008,cortical,I-problem
Sentence: 7008,infarction,I-problem
Sentence: 7008,.,O
Sentence: 10272,She,O
Sentence: 10272,was,O
Sentence: 10272,discharged,O
Sentence: 10272,to,O
Sentence: 10272,home,O
Sentence: 10272,on,O
Sentence: 10272,hospital,O
Sentence: 10272,day,O
Sentence: 10272,number,O
Sentence: 10272,eight,O
Sentence: 10272,",",O
Sentence: 10272,on,O
Sentence: 10272,oral,B-treatment
Sentence: 10272,antibiotics,I-treatment
Sentence: 10272,.,O
Sentence: 11777,156406283,O
Sentence: 8346,616751,O
Sentence: 3013,Diabetes,B-problem
Sentence: 3013,.,O
Sentence: 7678,Good,O
Sentence: 7678,.,O
Sentence: 7858,3/13/2006,O
Sentence: 7858,12:00:00,O
Sentence: 7858,AM,O
Sentence: 5464,Pt,O
Sentence: 5464,had,O
Sentence: 5464,HIDA,B-test
Sentence: 5464,scan,I-test
Sentence: 5464,which,O
Sentence: 5464,was,O
Sentence: 5464,negative,O
Sentence: 5464,for,O
Sentence: 5464,obstruction,B-problem
Sentence: 5464,",",O
