0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313
4164,2427,11864,6718,10124,1092.0,10580.0,11641.0,1092.0,3844.0,951.0,565.0,1092.0,1596.0,5358.0,1596.0,6718.0,6147.0,1092.0,10271.0,1092.0,4648.0,10860.0,13339.0,1820.0,1092.0,951.0,10562.0,10860.0,12152.0,6718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3844,6665,3935,6424,6574,11643.0,6074.0,9883.0,13344.0,13082.0,4788.0,8626.0,8457.0,7959.0,8810.0,7411.0,9283.0,12688.0,1092.0,972.0,10331.0,2503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2276,3045,11808,2987,2690,9114.0,6718.0,6745.0,7692.0,951.0,19.0,7251.0,6718.0,1709.0,10557.0,7487.0,6734.0,1092.0,13092.0,11572.0,1092.0,13344.0,3021.0,7441.0,6718.0,9545.0,141.0,6718.0,1114.0,6718.0,7823.0,19.0,6718.0,3477.0,6718.0,7674.0,951.0,8794.0,6718.0,8914.0,6718.0,541.0,6718.0,3320.0,6718.0,69.0,6718.0,8179.0,900.0,945.0,10860.0,7487.0,6734.0,1092.0,13092.0,11572.0,1092.0,13344.0,3021.0,7441.0,1092.0,6562.0,10335.0,3143.0,6183.0,12575.0,6581.0,5834.0,6261.0,62.0,9902.0,6718.0,9294.0,6718.0,46.0,1092.0,9612.0,10707.0,11630.0,1092.0,6574.0,8954.0,10860.0,10800.0,3042.0,13344.0,3137.0,6718.0,3043.0,13344.0,13526.0,9283.0,6133.0,5358.0,7514.0,6718.0,13571.0,6718.0,3045.0,11808.0,2976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8457,7715,2503,11766,1805,8515.0,424.0,13344.0,11649.0,4788.0,1092.0,2987.0,9287.0,972.0,4488.0,8457.0,4486.0,2503.0,6115.0,1092.0,12481.0,191.0,2987.0,3303.0,1092.0,3844.0,1092.0,10860.0,13516.0,8626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,11873,1092,8515,6447,1453.0,12252.0,6574.0,1906.0,579.0,1453.0,293.0,523.0,1527.0,2987.0,7487.0,4760.0,10860.0,13339.0,972.0,847.0,1820.0,7272.0,6465.0,6581.0,900.0,10951.0,10860.0,2121.0,5578.0,6718.0,6360.0,2449.0,1092.0,5455.0,10835.0,9355.0,972.0,11303.0,12503.0,951.0,2329.0,900.0,12468.0,13344.0,3791.0,1092.0,8395.0,290.0,10775.0,11006.0,10704.0,293.0,523.0,11327.0,6691.0,8487.0,6718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9003,12469,12627,11096,900,6558.0,13344.0,4141.0,1092.0,10174.0,9612.0,11303.0,6617.0,8810.0,7411.0,3356.0,13344.0,11865.0,9178.0,8457.0,6077.0,2503.0,1092.0,11450.0,4427.0,13344.0,8062.0,8506.0,972.0,530.0,951.0,7606.0,8457.0,12031.0,2503.0,1453.0,9249.0,10835.0,634.0,4250.0,4016.0,9534.0,5844.0,1657.0,972.0,9204.0,972.0,10709.0,6718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9310,1527,2987,7487,4760,10860.0,13339.0,972.0,847.0,1820.0,1092.0,900.0,10573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293,5223,2690,757,1092,900.0,11961.0,9244.0,1092.0,6074.0,4028.0,1092.0,900.0,4415.0,972.0,10634.0,13344.0,3137.0,972.0,11139.0,13344.0,3867.0,6617.0,2987.0,10580.0,11990.0,10860.0,7487.0,4263.0,13344.0,7411.0,6212.0,1092.0,9612.0,3966.0,972.0,3273.0,8457.0,4869.0,1445.0,2503.0,1092.0,7157.0,11662.0,9612.0,3901.0,10860.0,8428.0,2490.0,12693.0,6718.0,8407.0,141.0,972.0,940.0,4870.0,453.0,9612.0,4596.0,13344.0,3867.0,6718.0,1047.0,1092.0,9612.0,10021.0,9908.0,951.0,2987.0,4240.0,1092.0,6574.0,8564.0,13344.0,3867.0,951.0,900.0,3901.0,10860.0,8428.0,2490.0,12693.0,6718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4488,6718,5051,10335,926,10860.0,1570.0,10860.0,2690.0,1102.0,8040.0,1092.0,5306.0,900.0,7363.0,4072.0,8281.0,6759.0,11934.0,8806.0,13361.0,972.0,2956.0,9033.0,972.0,3899.0,972.0,13026.0,419.0,701.0,1092.0,900.0,400.0,6166.0,10516.0,13344.0,2910.0,972.0,3363.0,972.0,7885.0,972.0,1599.0,8894.0,6617.0,242.0,6074.0,7767.0,10252.0,8457.0,7487.0,1621.0,10860.0,33.0,2503.0,9033.0,6074.0,13571.0,10252.0,8457.0,7487.0,1923.0,1092.0,10580.0,9471.0,1092.0,565.0,1092.0,10860.0,8902.0,2503.0,1092.0,5124.0,900.0,247.0,972.0,3142.0,10860.0,7487.0,1683.0,10860.0,8902.0,6718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5487,6718,1375,5487,6718,3139.0,10899.0,7062.0,4418.0,4947.0,11796.0,5526.0,2005.0,8731.0,6718.0,228.0,2005.0,3680.0,1827.0,6718.0,2071.0,2005.0,5565.0,2005.0,287.0,1092.0,9232.0,2384.0,1952.0,9439.0,1268.0,11903.0,3784.0,3699.0,4058.0,10191.0,9558.0,3680.0,6718.0,8279.0,4849.0,4952.0,5280.0,174.0,6718.0,4362.0,2906.0,287.0,11796.0,4447.0,1394.0,9132.0,2906.0,475.0,9439.0,2257.0,2005.0,11903.0,1109.0,6718.0,8279.0,4849.0,4952.0,8532.0,6718.0,682.0,9558.0,5565.0,7915.0,7499.0,519.0,12979.0,8804.0,2005.0,5923.0,2005.0,2789.0,12627.0,2104.0,6718.0,1698.0,66.0,3436.0,6718.0,3367.0,6718.0,3927.0,1092.0,565.0,1092.0,12212.0,6718.0,11681.0,6718.0,5125.0,9558.0,5061.0,8847.0,4952.0,2928.0,6718.0,1698.0,3694.0,3694.0,1899.0,6718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
