0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254
13250,9970,6531,5394,11557,12031,3539,5954,4022,5131,10821,10351,5902,12261,3539.0,1594.0,5394.0,478.0,7289.0,5847.0,12309.0,9685.0,8066.0,3058.0,3539.0,8524.0,3459.0,6180.0,447.0,10099.0,1441.0,2925.0,8221.0,7070.0,12261.0,5394.0,96.0,6486.0,419.0,9708.0,5131.0,11951.0,6299.0,5394.0,10166.0,11462.0,11475.0,3461.0,9970.0,7965.0,826.0,5705.0,10110.0,9970.0,10740.0,9970.0,4307.0,12359.0,5131.0,11475.0,8066.0,3058.0,3539.0,12355.0,5229.0,5040.0,12355.0,7289.0,419.0,1932.0,5131.0,11951.0,7693.0,9970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13004,9970,13218,10316,3539,10934,5394,9868,10351,1358,4089,6729,3539,4749,447.0,11252.0,5394.0,214.0,5299.0,3539.0,6401.0,5722.0,5131.0,11951.0,1238.0,9970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,5734,13333,810,1401,6047,9970,5991,8123,7289,5577,9744,233,10683,447.0,3627.0,9372.0,3539.0,9276.0,10908.0,10820.0,3413.0,12545.0,8182.0,13094.0,5902.0,6285.0,5954.0,8607.0,9863.0,7289.0,11043.0,788.0,5131.0,11951.0,13197.0,10266.0,6486.0,6696.0,11394.0,10075.0,3539.0,4840.0,9970.0,6191.0,9970.0,4314.0,3226.0,3539.0,7511.0,4904.0,3461.0,9970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7906,12933,3539,3459,9276,6404,5716,3697,2991,4140,7613,3539,3474,707,447.0,2438.0,5288.0,8025.0,4478.0,6317.0,3539.0,5954.0,12819.0,5394.0,10316.0,3539.0,447.0,2438.0,534.0,1534.0,8897.0,447.0,5923.0,7289.0,5873.0,10386.0,8066.0,1785.0,7070.0,419.0,9829.0,7289.0,11188.0,6486.0,7565.0,419.0,11759.0,7289.0,9517.0,3461.0,3539.0,5533.0,3539.0,9276.0,3539.0,12212.0,8365.0,6250.0,11265.0,9970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8166,12144,11462,1879,2122,7289,9292,7289,12819,3539,5394,4737,3539,5394,4904.0,2613.0,5394.0,8738.0,5914.0,2486.0,1156.0,8066.0,2438.0,3539.0,4367.0,11389.0,9584.0,5705.0,7358.0,504.0,3539.0,4737.0,2613.0,4904.0,3539.0,13282.0,5705.0,6271.0,3539.0,5954.0,5421.0,5394.0,10560.0,10847.0,9970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,9970,3863,7289,4674,3539,9276,9246,5131,6186,3539,6401,5722,7289,419.0,1004.0,3539.0,2440.0,8.0,7289.0,12829.0,3539.0,7257.0,7506.0,447.0,4701.0,5394.0,9709.0,3539.0,3459.0,12579.0,8816.0,3539.0,447.0,13374.0,5394.0,4604.0,447.0,12538.0,3539.0,5954.0,5421.0,5394.0,8727.0,6486.0,8928.0,5533.0,7321.0,3461.0,2139.0,3539.0,5394.0,11909.0,5394.0,5825.0,3539.0,11510.0,3539.0,6271.0,7362.0,3539.0,9612.0,4850.0,5394.0,1410.0,3539.0,2964.0,7070.0,8112.0,5131.0,4733.0,447.0,2354.0,7289.0,4953.0,6298.0,2122.0,9970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5991,12784,5394,5914,447,2190,7289,9869,8365,4683,9503,8888,1076,672,9276.0,8497.0,2991.0,5128.0,7332.0,9288.0,5394.0,12444.0,5539.0,5705.0,12197.0,6530.0,1880.0,907.0,3655.0,9276.0,6740.0,2121.0,8066.0,12763.0,5131.0,13069.0,6296.0,5131.0,10394.0,9584.0,661.0,826.0,10282.0,7289.0,12444.0,6486.0,419.0,10514.0,3539.0,3177.0,3539.0,5131.0,3409.0,3461.0,3539.0,144.0,7156.0,967.0,13170.0,5705.0,11916.0,9970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3880,9970,5991,4733,504,5394,11453,5394,578,2168,5954,2440,10192,7289,419.0,10427.0,5131.0,11951.0,12126.0,1278.0,9276.0,12108.0,11757.0,3459.0,3174.0,1441.0,10943.0,10912.0,8365.0,9609.0,5740.0,9970.0,6050.0,11342.0,5914.0,5705.0,8900.0,11557.0,4560.0,8066.0,4925.0,13237.0,9970.0,5991.0,13309.0,6932.0,263.0,6740.0,9122.0,5914.0,4876.0,7070.0,10430.0,3616.0,7289.0,6061.0,3345.0,3539.0,4264.0,3539.0,9868.0,7382.0,9731.0,5394.0,5504.0,5533.0,2740.0,3539.0,11928.0,5954.0,12733.0,4919.0,9970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11573,9970,185,5421,9584,5705,2089,5131,10417,5394,1404,5203,10691,11667,9638.0,3539.0,3459.0,11632.0,447.0,4325.0,5394.0,9851.0,3539.0,12213.0,5394.0,1932.0,2380.0,3539.0,6401.0,5722.0,7289.0,419.0,5997.0,995.0,9970.0,5233.0,9970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2691,3539,447,2438,7921,9276,10673,12114,8066,7381,9995,5592,2613,486,6393.0,9880.0,904.0,9276.0,2927.0,3919.0,13090.0,3493.0,2676.0,3539.0,6401.0,5722.0,7289.0,419.0,4549.0,3539.0,2440.0,1253.0,3539.0,5131.0,3627.0,5131.0,10106.0,9970.0,10266.0,6486.0,2877.0,3461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3880,9970,9278,2991,3124,7289,419,11759,7289,3784,3539,9276,6366,5001,8878.0,10484.0,5394.0,4107.0,5914.0,9714.0,5802.0,12456.0,10458.0,9970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11573,9970,2836,11557,6552,447,6698,1785,7070,419,12864,7289,9517,3539,8365.0,11486.0,3459.0,5914.0,447.0,5257.0,9970.0,2782.0,7917.0,3335.0,3539.0,13332.0,3539.0,8878.0,6659.0,7680.0,7070.0,5979.0,5131.0,332.0,9970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
