0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271
12419,3102,8738,4937,802,2414,2699,7409,5417,2699,10524,8738.0,7393.0,12419.0,6459.0,2062.0,7633.0,1521.0,2966.0,13166.0,8772.0,3086.0,9053.0,6997.0,12028.0,12841.0,12407.0,7393.0,5371.0,3102.0,7393.0,4414.0,83.0,2019.0,777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7782,7591,5459,8738,7393,8290,2440,12407,2966,3375,4475,5716.0,3123.0,12028.0,1625.0,12407.0,9155.0,11591.0,6596.0,9448.0,12580.0,8738.0,2699.0,13133.0,8738.0,11183.0,7393.0,7719.0,12107.0,8001.0,2966.0,12245.0,10904.0,7942.0,8329.0,777.0,4167.0,1970.0,10773.0,5716.0,6561.0,8738.0,6596.0,2034.0,8738.0,6288.0,2699.0,11200.0,6596.0,4826.0,8005.0,2799.0,8738.0,1393.0,10925.0,4890.0,777.0,11192.0,2966.0,1625.0,6412.0,8539.0,2966.0,11535.0,2062.0,7727.0,12028.0,6139.0,2966.0,8566.0,6289.0,12407.0,1363.0,6596.0,11697.0,8738.0,8783.0,12407.0,115.0,8738.0,2966.0,10297.0,12028.0,11102.0,7393.0,9969.0,12257.0,6596.0,8500.0,12407.0,4892.0,8772.0,10840.0,6581.0,11706.0,6851.0,3102.0,12028.0,10535.0,676.0,5874.0,8738.0,8651.0,13200.0,4462.0,9155.0,6460.0,7393.0,12006.0,1697.0,9053.0,11535.0,10400.0,8738.0,2299.0,6288.0,2699.0,4852.0,7043.0,12028.0,12339.0,8738.0,10613.0,3614.0,6261.0,2763.0,2966.0,4312.0,2699.0,5212.0,12028.0,208.0,777.0,5490.0,3891.0,8738.0,2966.0,3730.0,2699.0,884.0,716.0,6596.0,1619.0,12357.0,5716.0,6561.0,7148.0,9823.0,5110.0,2966.0,4877.0,12028.0,10231.0,5716.0,11838.0,12028.0,2966.0,11535.0,5723.0,6581.0,11111.0,6442.0,9053.0,9567.0,9632.0,5874.0,8738.0,3891.0,2966.0,2699.0,9448.0,12580.0,8738.0,2699.0,13133.0,8738.0,3891.0,2966.0,77.0,2699.0,9448.0,8041.0,8738.0,180.0,8738.0,2699.0,12006.0,3678.0,777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3913,11200,8738,4086,132,4275,12407,2966,12245,5716,3629,11711.0,9928.0,4397.0,2081.0,11093.0,13201.0,12900.0,255.0,11706.0,4811.0,5525.0,9637.0,777.0,12291.0,8631.0,2432.0,12407.0,7393.0,4896.0,2699.0,5259.0,1492.0,8094.0,8738.0,6596.0,5245.0,1455.0,12028.0,7205.0,8738.0,11093.0,3614.0,12427.0,10613.0,6261.0,802.0,6740.0,5068.0,10159.0,2966.0,538.0,5865.0,3102.0,8738.0,2540.0,4184.0,8738.0,6261.0,7393.0,6225.0,1380.0,12028.0,1202.0,4357.0,3102.0,9787.0,7393.0,2487.0,2540.0,11433.0,2699.0,9448.0,12443.0,8738.0,10251.0,6080.0,8738.0,4332.0,8738.0,10281.0,8738.0,2699.0,11707.0,8738.0,2966.0,3058.0,4263.0,8772.0,4845.0,12028.0,2455.0,13141.0,11050.0,8820.0,2699.0,7770.0,5716.0,4339.0,10168.0,7581.0,7891.0,2540.0,7583.0,1278.0,8631.0,12407.0,8738.0,3321.0,5716.0,10604.0,7676.0,8738.0,2940.0,5000.0,2699.0,11395.0,5259.0,1492.0,8738.0,8783.0,12407.0,1393.0,12107.0,8529.0,12653.0,2966.0,7653.0,2699.0,2487.0,1583.0,9448.0,12443.0,8738.0,10251.0,6080.0,8738.0,4332.0,8738.0,10281.0,8738.0,2699.0,11707.0,8300.0,777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6581,2623,8266,777,9946,9504,6028,7433,12202,10499,9946,777.0,9614.0,5348.0,4167.0,13273.0,5974.0,777.0,3800.0,4347.0,777.0,6499.0,2230.0,12241.0,2933.0,8266.0,777.0,9860.0,10698.0,6157.0,8564.0,1735.0,12241.0,10350.0,1691.0,12241.0,2284.0,777.0,12877.0,777.0,13203.0,10698.0,5994.0,1654.0,1877.0,777.0,7006.0,777.0,986.0,9529.0,5436.0,349.0,10487.0,777.0,200.0,777.0,7661.0,1031.0,777.0,2047.0,349.0,1123.0,5436.0,584.0,777.0,4283.0,777.0,5994.0,4012.0,9928.0,13244.0,777.0,2485.0,9056.0,2519.0,12241.0,11565.0,1826.0,6090.0,777.0,4758.0,319.0,777.0,9401.0,777.0,3060.0,777.0,2293.0,9731.0,202.0,2966.0,5701.0,5491.0,12968.0,2966.0,4046.0,4154.0,9803.0,2699.0,7011.0,2540.0,8718.0,9837.0,6261.0,11338.0,12028.0,5957.0,5716.0,9222.0,777.0,4167.0,4627.0,8664.0,7558.0,2777.0,208.0,9053.0,3629.0,10474.0,1877.0,8738.0,2966.0,4826.0,6938.0,6896.0,7685.0,4233.0,9155.0,2151.0,11105.0,9239.0,202.0,2966.0,5701.0,5491.0,8738.0,12257.0,6596.0,7409.0,11165.0,8738.0,11729.0,2848.0,2966.0,180.0,8738.0,5716.0,5676.0,5299.0,10990.0,8738.0,7493.0,2699.0,4742.0,12406.0,2699.0,1920.0,6877.0,777.0,3549.0,777.0,4233.0,306.0,2966.0,4627.0,751.0,12228.0,7080.0,373.0,2359.0,8772.0,9731.0,202.0,2966.0,5701.0,5491.0,8738.0,7393.0,3737.0,1380.0,2174.0,5935.0,514.0,12407.0,2966.0,8406.0,7233.0,2540.0,3629.0,10474.0,1877.0,8094.0,11093.0,12216.0,12028.0,7995.0,8651.0,802.0,10636.0,2699.0,12100.0,4971.0,8738.0,12068.0,2548.0,6897.0,2904.0,9053.0,3393.0,8063.0,7493.0,12028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6573,12407,6028,7781,1988,2966,5676,2174,9912,9938,2966,653.0,11193.0,2661.0,11193.0,6261.0,9931.0,5716.0,3710.0,5716.0,8119.0,777.0,2692.0,12407.0,2966.0,5676.0,9912.0,9938.0,8738.0,8631.0,12371.0,7409.0,4831.0,8738.0,11288.0,12407.0,13469.0,899.0,12253.0,2966.0,653.0,12028.0,11193.0,1204.0,5716.0,11969.0,8562.0,12028.0,5250.0,3102.0,10037.0,1583.0,4681.0,8300.0,8738.0,864.0,11050.0,10535.0,5081.0,8651.0,7324.0,2540.0,5676.0,5299.0,6341.0,12028.0,362.0,12028.0,10977.0,12028.0,7532.0,8738.0,3102.0,5790.0,2699.0,5052.0,11049.0,12028.0,5250.0,3102.0,6280.0,777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,8738,8046,1837,4946,2699,1380,2966,11533,8738,8005,4961.0,6601.0,777.0,7852.0,12689.0,8738.0,11201.0,12407.0,7393.0,8299.0,1556.0,4529.0,8566.0,13469.0,13322.0,6261.0,13131.0,13497.0,777.0,11696.0,7393.0,8299.0,2540.0,7703.0,6532.0,5580.0,777.0,11165.0,8738.0,239.0,8738.0,10967.0,8738.0,2813.0,3102.0,8515.0,8738.0,3102.0,6683.0,8738.0,10637.0,8738.0,5716.0,12684.0,2174.0,777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3549,777,4167,2496,2699,9588,5716,13568,10928,5340,7393,8299.0,10101.0,10107.0,1837.0,8992.0,11193.0,10281.0,11193.0,2699.0,10439.0,239.0,2699.0,7409.0,2380.0,5716.0,12684.0,2174.0,8738.0,4098.0,8738.0,424.0,8738.0,610.0,7393.0,2750.0,5716.0,10631.0,10648.0,777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11776,12241,10223,12449,777,1356,2966,13113,154,12028,8566,3102.0,374.0,2699.0,9765.0,1583.0,7409.0,6231.0,5716.0,12684.0,2174.0,8300.0,8738.0,3102.0,12133.0,2966.0,10947.0,9942.0,13069.0,7080.0,11878.0,12055.0,2540.0,13094.0,8772.0,767.0,4588.0,3102.0,12105.0,1776.0,1583.0,7409.0,9897.0,8738.0,4829.0,8738.0,5716.0,5236.0,498.0,8300.0,8738.0,7393.0,8779.0,11372.0,1261.0,2868.0,2966.0,12696.0,7393.0,4360.0,12028.0,20.0,1673.0,28.0,10793.0,8738.0,8917.0,1185.0,4978.0,9287.0,5716.0,5234.0,5716.0,7925.0,8738.0,3102.0,11601.0,2966.0,11061.0,5716.0,6997.0,4616.0,2966.0,8751.0,777.0,8384.0,659.0,777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11332,2966,10860,2428,8820,8738,11288,12028,7596,12518,8738,8651.0,2966.0,1625.0,1583.0,12065.0,12099.0,8577.0,8738.0,7685.0,2692.0,4622.0,8631.0,13131.0,9772.0,5297.0,4332.0,6877.0,8738.0,8523.0,6565.0,8738.0,6680.0,8738.0,8836.0,4273.0,1949.0,705.0,12586.0,8738.0,7685.0,8901.0,59.0,6877.0,8738.0,7685.0,4449.0,6877.0,5436.0,10456.0,2729.0,2699.0,8769.0,8738.0,1130.0,777.0,4363.0,4907.0,8300.0,8738.0,2966.0,8067.0,6885.0,5716.0,13217.0,5297.0,3102.0,1393.0,12028.0,11621.0,1828.0,2156.0,4646.0,4302.0,12028.0,8964.0,12671.0,12028.0,504.0,3658.0,5297.0,6261.0,7464.0,7393.0,11395.0,11697.0,12028.0,11684.0,8772.0,10242.0,8738.0,8917.0,11050.0,7178.0,5413.0,12407.0,4478.0,2966.0,13310.0,8738.0,2002.0,12427.0,7393.0,8028.0,8738.0,8651.0,8067.0,12046.0,8738.0,7393.0,9765.0,2699.0,8633.0,9315.0,1583.0,5676.0,5299.0,5383.0,8300.0,777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3549,777,11193,7782,11796,8738,2966,4437,12028,2981,12028,4146.0,5281.0,7393.0,8545.0,5716.0,2625.0,12442.0,2062.0,3790.0,5716.0,9211.0,12028.0,5212.0,12407.0,9155.0,43.0,5650.0,8738.0,101.0,8738.0,13450.0,8738.0,13328.0,1673.0,8651.0,7725.0,9239.0,1583.0,9448.0,1160.0,2699.0,10524.0,8300.0,777.0,11193.0,1583.0,821.0,6596.0,8155.0,6596.0,13208.0,11389.0,9928.0,3377.0,8738.0,10147.0,777.0,3046.0,5844.0,13453.0,507.0,8738.0,5984.0,3998.0,8738.0,5212.0,8631.0,5411.0,8738.0,11974.0,2245.0,8300.0,777.0,5579.0,12100.0,8738.0,1393.0,4978.0,4369.0,2966.0,11093.0,7487.0,777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
