0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358
5989,11261,2457,13011,7333,2704.0,10591.0,11564.0,2108.0,13011.0,12627.0,13240.0,13011.0,10591.0,10515.0,12227.0,10591.0,10370.0,9192.0,6669.0,13011.0,4824.0,12766.0,6466.0,4847.0,5631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11855,3566,9588,4841,764,10591.0,4726.0,10591.0,9192.0,13011.0,2609.0,2420.0,13011.0,2609.0,5885.0,5582.0,2609.0,3637.0,9506.0,783.0,4428.0,13211.0,3871.0,13011.0,8740.0,9479.0,2487.0,11261.0,3112.0,6890.0,13011.0,2420.0,5582.0,5885.0,13011.0,83.0,11261.0,13286.0,13011.0,4566.0,6398.0,2609.0,532.0,9418.0,5631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6958,13011,3862,12943,13011,4566.0,13286.0,13011.0,11261.0,11486.0,2609.0,12602.0,12946.0,13011.0,2148.0,629.0,5240.0,10526.0,13011.0,6325.0,4014.0,6519.0,12427.0,1294.0,13011.0,8439.0,8252.0,10412.0,10591.0,10223.0,9501.0,10591.0,7221.0,13011.0,11261.0,4751.0,8770.0,13211.0,12709.0,1577.0,320.0,5100.0,12995.0,9259.0,8084.0,5631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,5631,8820,9526,6325,11261.0,10223.0,13505.0,13011.0,7448.0,13011.0,10591.0,10728.0,13011.0,7556.0,1880.0,2609.0,9305.0,6759.0,10070.0,9980.0,4646.0,7556.0,1462.0,802.0,2010.0,10595.0,4566.0,8659.0,12376.0,2609.0,7183.0,13011.0,5582.0,13297.0,13011.0,6888.0,4566.0,7846.0,2609.0,3779.0,5582.0,4566.0,7846.0,2609.0,7084.0,13011.0,11261.0,9506.0,10868.0,12526.0,13011.0,4566.0,13286.0,5631.0,8984.0,9259.0,6381.0,4553.0,6821.0,6447.0,5631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8609,4635,8617,12106,6929,5631.0,2238.0,9904.0,13108.0,5912.0,11104.0,2872.0,4775.0,5631.0,12106.0,9879.0,13119.0,8469.0,7062.0,8625.0,10728.0,5631.0,7948.0,2872.0,5552.0,2872.0,3730.0,13468.0,13063.0,5631.0,11216.0,12806.0,5631.0,11295.0,5631.0,7033.0,13011.0,12627.0,2406.0,13011.0,8429.0,13011.0,8625.0,8004.0,11647.0,5631.0,8609.0,4635.0,13468.0,13022.0,5631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4909,10868,13527,2614,5287,237.0,8958.0,33.0,2609.0,6151.0,1043.0,6466.0,10582.0,2350.0,10223.0,7162.0,744.0,13011.0,8958.0,7482.0,12918.0,2350.0,10223.0,8129.0,744.0,3701.0,8958.0,4011.0,11286.0,1580.0,6151.0,12305.0,6519.0,13286.0,2609.0,12722.0,2609.0,639.0,8929.0,5582.0,5380.0,12256.0,5269.0,2350.0,8958.0,744.0,201.0,10591.0,8526.0,13011.0,9749.0,11481.0,7106.0,6466.0,12493.0,10591.0,12217.0,6519.0,3662.0,13011.0,566.0,2609.0,5917.0,3701.0,336.0,13545.0,8022.0,11261.0,11639.0,2350.0,10223.0,49.0,13011.0,1257.0,5728.0,744.0,13011.0,3701.0,13011.0,2350.0,11265.0,744.0,9702.0,6115.0,4227.0,5582.0,4981.0,10591.0,1773.0,13011.0,11867.0,8958.0,6005.0,2609.0,5575.0,11261.0,8526.0,13011.0,6945.0,2609.0,9439.0,4752.0,13011.0,6325.0,10211.0,2609.0,5917.0,3701.0,328.0,13545.0,2350.0,10223.0,49.0,13011.0,1257.0,5728.0,13011.0,4008.0,6821.0,4008.0,11261.0,10223.0,5101.0,13011.0,10591.0,5498.0,744.0,5631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3949,9588,4120,13011,3979,3313.0,7505.0,13011.0,10868.0,119.0,4116.0,8958.0,12436.0,3196.0,10591.0,2718.0,9915.0,3701.0,13011.0,2213.0,13011.0,10591.0,3849.0,6466.0,9910.0,5631.0,1705.0,11286.0,6022.0,1845.0,7333.0,2353.0,5631.0,4977.0,13011.0,389.0,3701.0,12731.0,9259.0,5535.0,4128.0,3744.0,13011.0,10464.0,10993.0,2609.0,2800.0,2609.0,2392.0,8958.0,7219.0,3701.0,11711.0,8958.0,4149.0,10068.0,11418.0,1522.0,13011.0,8958.0,11364.0,7776.0,11286.0,6895.0,2609.0,5692.0,3169.0,10868.0,6919.0,3609.0,6519.0,8056.0,5955.0,6895.0,5582.0,6186.0,2604.0,9749.0,3940.0,13011.0,2609.0,7861.0,9506.0,13011.0,9836.0,12428.0,9259.0,12469.0,2609.0,8953.0,2609.0,5692.0,3169.0,13011.0,7306.0,7973.0,10591.0,7284.0,2026.0,5471.0,3449.0,3393.0,13011.0,8958.0,2211.0,6980.0,5240.0,2624.0,13338.0,2521.0,13011.0,2487.0,9506.0,13297.0,8718.0,9473.0,3309.0,8958.0,6376.0,11286.0,7797.0,2197.0,13011.0,8958.0,13051.0,2609.0,3636.0,6354.0,7846.0,12162.0,9938.0,11286.0,11542.0,9022.0,13011.0,2613.0,13299.0,8958.0,7551.0,10591.0,2718.0,9915.0,5631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7694,7585,13011,8958,13065,10591.0,2129.0,3124.0,7054.0,4566.0,10223.0,13515.0,10591.0,242.0,13011.0,6519.0,4847.0,6890.0,13011.0,2328.0,9506.0,4566.0,8659.0,4847.0,13297.0,12858.0,13011.0,13363.0,13011.0,12744.0,6466.0,10223.0,5088.0,10591.0,242.0,13011.0,2487.0,9506.0,187.0,660.0,6466.0,12147.0,13514.0,9542.0,8958.0,2920.0,10591.0,5554.0,4895.0,6466.0,9457.0,13011.0,9506.0,2148.0,629.0,8910.0,13011.0,6810.0,3529.0,3122.0,13211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8469,12301,11540,6466,10223,11962.0,10591.0,12530.0,743.0,2609.0,8396.0,2944.0,8958.0,6706.0,10053.0,5269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11261,9729,5631,2791,5631,9344.0,6766.0,10591.0,12553.0,9259.0,9799.0,6417.0,12785.0,2350.0,12553.0,6519.0,10788.0,13011.0,2827.0,2609.0,4542.0,744.0,13011.0,11261.0,4936.0,6662.0,3752.0,1071.0,8958.0,1112.0,10591.0,5996.0,10223.0,3566.0,9259.0,6028.0,6669.0,13011.0,6325.0,8958.0,1711.0,8220.0,5100.0,12964.0,6631.0,13011.0,379.0,13011.0,1279.0,13011.0,8958.0,1711.0,4829.0,10591.0,7952.0,13011.0,9506.0,1526.0,8958.0,33.0,10591.0,8213.0,1687.0,5728.0,8252.0,11976.0,9259.0,11806.0,12945.0,13011.0,11286.0,7343.0,3701.0,11286.0,1478.0,575.0,5631.0,4909.0,9192.0,12814.0,7259.0,13011.0,9186.0,13011.0,6519.0,10703.0,11418.0,4730.0,7372.0,9260.0,9259.0,764.0,13011.0,8958.0,7093.0,13011.0,9495.0,11261.0,12553.0,6898.0,9259.0,2211.0,13011.0,11418.0,6295.0,5481.0,1199.0,6325.0,4014.0,6519.0,5546.0,9747.0,10900.0,4545.0,8958.0,1998.0,10591.0,7952.0,7461.0,7174.0,5631.0,4639.0,5631.0,9508.0,13011.0,8958.0,1384.0,1609.0,6519.0,7745.0,13011.0,2505.0,6519.0,10564.0,2609.0,10946.0,2609.0,5442.0,13011.0,12484.0,536.0,10591.0,7900.0,10591.0,3150.0,10800.0,5100.0,8473.0,2609.0,4730.0,6412.0,9799.0,6417.0,12785.0,13011.0,9857.0,13011.0,10251.0,13011.0,12405.0,1124.0,6466.0,6202.0,6662.0,11640.0,3752.0,5631.0,11769.0,5631.0,4361.0,5631.0,821.0,8918.0,13011.0,8958.0,5264.0,10868.0,10533.0,2609.0,4752.0,1507.0,2609.0,4868.0,10591.0,11738.0,13170.0,6412.0,5828.0,13011.0,11261.0,9506.0,5796.0,8958.0,1654.0,6662.0,2211.0,5631.0,3181.0,3752.0,7204.0,3435.0,8958.0,362.0,2609.0,1607.0,9506.0,8958.0,5413.0,11783.0,11269.0,10524.0,10092.0,13011.0,10868.0,187.0,2501.0,6466.0,2605.0,2609.0,4752.0,1007.0,2609.0,2069.0,2609.0,4487.0,7368.0,5582.0,10011.0,2350.0,3499.0,2046.0,11985.0,13011.0,10590.0,5631.0,9591.0,5631.0,9198.0,2872.0,11682.0,13011.0,4936.0,13011.0,2827.0,2609.0,13521.0,744.0,5631.0,5671.0,5631.0,11979.0,2609.0,9479.0,8958.0,9506.0,187.0,12735.0,3399.0,5631.0,3919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
