0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313
12072,7302,595,5120,12936,7561.0,6666.0,3612.0,7302.0,12249.0,5120.0,11150.0,7302.0,3679.0,7388.0,1574.0,12581.0,820.0,5220.0,2372.0,7302.0,5165.0,4540.0,12602.0,12022.0,10370.0,11121.0,5220.0,5720.0,1432.0,7152.0,4834.0,10013.0,13485.0,4714.0,9114.0,6515.0,53.0,12656.0,3435.0,10411.0,10838.0,3186.0,3987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3664,7025,1545,4338,1327.0,10807.0,820.0,3721.0,5120.0,11288.0,1162.0,5120.0,10013.0,1162.0,4714.0,9114.0,10409.0,820.0,7302.0,12194.0,4714.0,9125.0,820.0,3678.0,5443.0,76.0,820.0,12335.0,660.0,820.0,7302.0,2706.0,5120.0,9871.0,11042.0,820.0,7887.0,2131.0,5380.0,820.0,6515.0,10426.0,2372.0,820.0,5443.0,3517.0,7452.0,820.0,8042.0,13554.0,6516.0,6515.0,12064.0,1372.0,2131.0,11810.0,12602.0,12147.0,6515.0,11020.0,4714.0,1600.0,11102.0,4846.0,13176.0,4813.0,13176.0,820.0,1696.0,4225.0,7388.0,10411.0,4714.0,5380.0,3987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7382,11512,5187,4327,6102,4834.0,10013.0,5691.0,820.0,1044.0,3651.0,820.0,5949.0,7302.0,820.0,5120.0,10051.0,2023.0,5167.0,9364.0,3268.0,9046.0,820.0,6515.0,364.0,2372.0,5720.0,4928.0,5120.0,11941.0,5141.0,4224.0,8227.0,5086.0,1671.0,6515.0,9340.0,820.0,9364.0,6239.0,5120.0,3678.0,1860.0,5120.0,4327.0,10251.0,820.0,6249.0,5720.0,9765.0,3887.0,7859.0,10815.0,820.0,9364.0,2147.0,820.0,3392.0,12683.0,2137.0,5120.0,7956.0,79.0,820.0,9530.0,12375.0,641.0,10014.0,1448.0,5391.0,12374.0,7163.0,3987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8794,3987,31,4968,7660,820.0,4834.0,3679.0,5120.0,4744.0,2358.0,11120.0,19.0,820.0,6515.0,7876.0,5120.0,10048.0,3987.0,6923.0,9566.0,11279.0,10014.0,13398.0,13201.0,5391.0,820.0,988.0,12602.0,10411.0,6877.0,12430.0,10678.0,5120.0,10013.0,7206.0,5120.0,10051.0,6515.0,3538.0,4572.0,820.0,6332.0,5720.0,4133.0,6515.0,2372.0,820.0,5802.0,7302.0,7414.0,6515.0,8341.0,8876.0,10404.0,5120.0,176.0,12964.0,5839.0,12335.0,1207.0,9617.0,11611.0,6515.0,10333.0,5777.0,820.0,8448.0,6515.0,11631.0,7302.0,12047.0,6590.0,2778.0,11610.0,13290.0,12335.0,2755.0,8664.0,4834.0,10051.0,4572.0,12683.0,8028.0,6515.0,10256.0,6515.0,9970.0,6515.0,7678.0,6515.0,4830.0,12656.0,1222.0,3987.0,4257.0,820.0,12303.0,176.0,12649.0,820.0,12683.0,364.0,7835.0,4834.0,10013.0,10234.0,5120.0,10051.0,4572.0,6515.0,2356.0,820.0,3612.0,12614.0,820.0,6515.0,4686.0,10560.0,5720.0,7347.0,4834.0,10013.0,7162.0,5120.0,10051.0,4572.0,6515.0,10050.0,3987.0,2546.0,4714.0,3846.0,960.0,820.0,3678.0,4691.0,6239.0,5220.0,1002.0,10896.0,2688.0,10352.0,6526.0,6515.0,10256.0,6515.0,9970.0,6877.0,12132.0,6515.0,5919.0,3987.0,4183.0,1960.0,4744.0,498.0,11120.0,9761.0,820.0,5607.0,3987.0,10048.0,3987.0,3272.0,12486.0,820.0,5743.0,7911.0,820.0,13398.0,11918.0,9025.0,4744.0,5215.0,11120.0,3122.0,820.0,5607.0,3987.0,5894.0,2089.0,9098.0,820.0,10806.0,7911.0,820.0,13398.0,7573.0,3987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,13445,10273,337,10966,1676.0,5436.0,3987.0,5564.0,2361.0,3987.0,13323.0,6185.0,10273.0,8114.0,10448.0,10046.0,7747.0,1676.0,3987.0,10765.0,3987.0,1074.0,820.0,11288.0,11446.0,820.0,7747.0,11411.0,3987.0,8496.0,10448.0,9103.0,1418.0,3987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9083,5720,10013,4788,4714,9114.0,10409.0,820.0,6.0,1960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,3790,3651,13018,820,7736.0,4714.0,3579.0,10146.0,1960.0,5882.0,2828.0,3442.0,6274.0,12656.0,6515.0,12673.0,3987.0,10516.0,10414.0,10560.0,12462.0,4834.0,10013.0,3957.0,820.0,3166.0,10113.0,5187.0,2825.0,9587.0,5720.0,8542.0,5720.0,7302.0,12236.0,6274.0,7805.0,12673.0,820.0,7302.0,4274.0,4714.0,13494.0,4638.0,6661.0,5720.0,11430.0,5720.0,3442.0,9769.0,9548.0,4802.0,10014.0,6787.0,6785.0,9364.0,12042.0,7302.0,3166.0,7442.0,12478.0,5391.0,820.0,11453.0,2372.0,1960.0,4691.0,6757.0,9548.0,10560.0,9751.0,6515.0,12707.0,9355.0,5187.0,8193.0,3579.0,9364.0,8451.0,275.0,3455.0,6515.0,5720.0,3529.0,3987.0,3538.0,4572.0,3517.0,3207.0,13036.0,7320.0,6045.0,1494.0,2150.0,9778.0,5131.0,7302.0,10014.0,11430.0,5391.0,12602.0,7388.0,11430.0,13018.0,8994.0,8254.0,2175.0,4834.0,5720.0,3802.0,11430.0,6620.0,11803.0,7302.0,13494.0,7442.0,468.0,11430.0,9548.0,1960.0,2372.0,4109.0,10789.0,10014.0,11430.0,5391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10254,13457,820,13036,5347,1548.0,3607.0,820.0,11081.0,820.0,2372.0,7302.0,4968.0,7660.0,2811.0,5720.0,176.0,12614.0,820.0,10560.0,12462.0,4834.0,10013.0,7162.0,5120.0,10051.0,4572.0,3987.0,7323.0,4111.0,820.0,11763.0,820.0,7937.0,820.0,3718.0,1614.0,6537.0,1960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4839,11512,31,13221,9698,12270.0,12480.0,10951.0,5454.0,820.0,3303.0,2372.0,12193.0,2265.0,11312.0,9589.0,5443.0,1273.0,3715.0,7421.0,10907.0,1378.0,5004.0,5220.0,9135.0,7302.0,3574.0,4846.0,820.0,7302.0,12722.0,6751.0,3612.0,7302.0,12047.0,4714.0,12191.0,2382.0,820.0,8925.0,9538.0,5120.0,10013.0,6240.0,5120.0,10097.0,3987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,3987,31,3937,6590,13131.0,2372.0,12476.0,7302.0,7660.0,6515.0,10225.0,5265.0,5120.0,4896.0,820.0,7896.0,12335.0,6516.0,6515.0,4878.0,12766.0,12683.0,12047.0,4714.0,12191.0,13113.0,820.0,6009.0,12480.0,1899.0,8416.0,8446.0,9755.0,2372.0,820.0,9747.0,5528.0,2355.0,13179.0,820.0,12188.0,7302.0,11538.0,12526.0,820.0,6515.0,3545.0,7302.0,777.0,7302.0,3348.0,12656.0,7302.0,6058.0,5120.0,9510.0,6853.0,3987.0,4065.0,10365.0,820.0,5207.0,12293.0,12997.0,9364.0,2372.0,7302.0,1207.0,6515.0,3740.0,6515.0,6006.0,12335.0,12191.0,820.0,7152.0,4834.0,10013.0,2685.0,820.0,3651.0,820.0,5120.0,409.0,10014.0,4350.0,820.0,9747.0,1414.0,820.0,7302.0,12646.0,12573.0,5391.0,820.0,5876.0,2958.0,7302.0,6128.0,4714.0,12569.0,10127.0,820.0,12196.0,5220.0,8402.0,5490.0,5720.0,5379.0,8663.0,5120.0,12119.0,1960.0,8212.0,4834.0,4744.0,9569.0,11120.0,5921.0,820.0,5607.0,3987.0,1309.0,3272.0,12486.0,820.0,4968.0,7911.0,820.0,13398.0,8125.0,9025.0,8212.0,4834.0,4744.0,2818.0,11120.0,3122.0,820.0,5607.0,3987.0,1309.0,2989.0,8203.0,820.0,13398.0,10570.0,3987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
