0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315
11639,7852,5970,11812,7852,12630,6449,6030,5498,61.0,4878.0,2662.0,9805.0,8066.0,4705.0,8469.0,8429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11228,8429,11108,3811,3234,9915,392,2055,12568,12981.0,11303.0,12590.0,4147.0,2255.0,9186.0,4147.0,2662.0,11403.0,1947.0,11085.0,13068.0,8013.0,59.0,11403.0,5863.0,1134.0,5532.0,2662.0,11562.0,12575.0,7852.0,1190.0,11039.0,2662.0,8013.0,3866.0,9708.0,10917.0,4147.0,8910.0,62.0,7852.0,7039.0,2662.0,12644.0,12581.0,4147.0,13528.0,545.0,13185.0,6889.0,2581.0,9915.0,3269.0,7564.0,6889.0,13027.0,2720.0,1370.0,4147.0,1994.0,4858.0,3177.0,8679.0,2055.0,10000.0,12545.0,2055.0,5415.0,4147.0,10842.0,7197.0,13233.0,6889.0,2027.0,3355.0,11507.0,387.0,10090.0,6983.0,10886.0,6673.0,4147.0,423.0,3671.0,4147.0,11592.0,5146.0,9336.0,9915.0,11466.0,2055.0,4046.0,10290.0,8429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7824,7492,6555,4147,3177,8679,4147,4336,7564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8270,1443,7852,12889,2720,207,6035,8429,4878,8429.0,7342.0,1121.0,2055.0,9920.0,8429.0,1443.0,7852.0,12889.0,13145.0,2971.0,10189.0,4246.0,8429.0,9805.0,8429.0,5619.0,9456.0,11352.0,9968.0,3811.0,4434.0,9915.0,8833.0,12142.0,8429.0,8189.0,2055.0,10000.0,10584.0,4147.0,13576.0,8310.0,4147.0,2055.0,2274.0,8429.0,3584.0,8429.0,8190.0,8429.0,8674.0,4246.0,6889.0,9456.0,8783.0,675.0,1828.0,8429.0,9191.0,6449.0,7799.0,10900.0,8004.0,8066.0,1538.0,4147.0,1374.0,6719.0,4147.0,5964.0,8429.0,6465.0,8429.0,1603.0,8393.0,4147.0,11148.0,7852.0,10905.0,8469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,7564,6506,11053,370,10560,11285,10330,2842,12766.0,766.0,10073.0,13249.0,6908.0,3082.0,354.0,12538.0,8429.0,4068.0,11285.0,1600.0,4060.0,11013.0,271.0,7824.0,4068.0,8429.0,7507.0,140.0,8429.0,4139.0,8429.0,7315.0,8112.0,4596.0,5647.0,8429.0,10332.0,7558.0,271.0,3124.0,10618.0,4596.0,4487.0,5306.0,8429.0,2737.0,6500.0,5268.0,8429.0,4948.0,8429.0,5848.0,10186.0,7936.0,8429.0,4380.0,8429.0,12953.0,11285.0,9764.0,2133.0,8429.0,6908.0,10631.0,5034.0,8429.0,11807.0,8429.0,4054.0,6889.0,11032.0,9915.0,9715.0,11571.0,4147.0,10842.0,6922.0,6889.0,2851.0,9915.0,12648.0,9915.0,2017.0,9915.0,11554.0,2055.0,331.0,2662.0,6889.0,1082.0,7852.0,1840.0,12532.0,9915.0,1097.0,8429.0,10380.0,4147.0,10505.0,4147.0,9456.0,6889.0,8833.0,790.0,2263.0,2720.0,10876.0,8799.0,9456.0,8783.0,5121.0,5930.0,8487.0,10672.0,9915.0,1253.0,2720.0,109.0,6449.0,10000.0,11641.0,2055.0,6161.0,8469.0,4147.0,4732.0,4147.0,10505.0,4147.0,6889.0,10453.0,9915.0,10657.0,8429.0,3584.0,2055.0,3826.0,2662.0,4705.0,8429.0,4878.0,8429.0,6902.0,10266.0,4147.0,5043.0,3474.0,1650.0,591.0,6889.0,8836.0,9915.0,10657.0,4366.0,4147.0,8770.0,4147.0,2106.0,4147.0,6889.0,6317.0,1311.0,8013.0,10857.0,2386.0,6546.0,11900.0,4147.0,3811.0,1236.0,10842.0,9883.0,7852.0,10822.0,9594.0,833.0,13084.0,10999.0,5762.0,3811.0,467.0,7852.0,6904.0,4147.0,1214.0,4147.0,11601.0,4147.0,6889.0,8586.0,7852.0,7721.0,5621.0,2662.0,5963.0,7852.0,6904.0,6129.0,7618.0,7852.0,11807.0,1758.0,7852.0,3753.0,2662.0,2877.0,3054.0,7852.0,2224.0,6129.0,4147.0,3811.0,9456.0,11901.0,3811.0,13035.0,2171.0,7852.0,12715.0,7358.0,2662.0,6889.0,1492.0,2055.0,4444.0,8429.0,9223.0,11571.0,10340.0,6945.0,5762.0,6889.0,3664.0,9915.0,3537.0,3619.0,4147.0,4442.0,9246.0,2055.0,10000.0,11641.0,2055.0,6161.0,8429.0,9805.0,8429.0,12701.0,6677.0,3772.0,6546.0,11900.0,11352.0,1209.0,12517.0,6983.0,11032.0,9915.0,9715.0,7239.0,4147.0,2769.0,10759.0,3586.0,9633.0,5352.0,6179.0,9915.0,12932.0,198.0,8429.0,3584.0,8429.0,8190.0,8429.0,7415.0,3355.0,6889.0,7636.0,7852.0,2130.0,7376.0,13255.0,9915.0,9715.0,10038.0,3811.0,7452.0,1010.0,6056.0,9456.0,5043.0,5483.0,78.0,11915.0,10801.0,1414.0,5762.0,2256.0,6889.0,3537.0,3619.0,8429.0,3584.0,8429.0,12479.0,8429.0,8674.0,4246.0,6889.0,9456.0,8783.0,675.0,1828.0,8429.0
11807,8429,3124,2269,7852,11794,11648,2055,12163,4442.0,7172.0,8429.0,8310.0,2662.0,12194.0,6692.0,12525.0,3167.0,2662.0,2055.0,10000.0,10929.0,9915.0,6692.0,12525.0,11420.0,6748.0,3811.0,5789.0,2055.0,207.0,13440.0,8429.0,3781.0,9456.0,6889.0,11052.0,12320.0,13062.0,3413.0,9972.0,4858.0,856.0,6557.0,4147.0,12119.0,6889.0,3056.0,1434.0,1281.0,12648.0,7852.0,12072.0,6501.0,4172.0,6278.0,11298.0,5096.0,7852.0,12889.0,6889.0,10606.0,7852.0,12468.0,6889.0,7784.0,2055.0,6922.0,11794.0,2662.0,8040.0,3811.0,5789.0,2055.0,207.0,13440.0,2720.0,6175.0,6881.0,8401.0,6008.0,12457.0,8429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4348,8379,9358,1767,3811,207,6035,13233,11174,5118.0,6577.0,6889.0,6332.0,9915.0,2472.0,7852.0,3600.0,9476.0,9456.0,6595.0,3811.0,856.0,6557.0,4147.0,11871.0,9456.0,4626.0,3231.0,3860.0,6983.0,6377.0,8898.0,2247.0,6889.0,8981.0,2055.0,1243.0,12090.0,8429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10392,4147,6889,3056,5578,11352,8252,4164,6983,8643.0,10928.0,12665.0,423.0,2168.0,13244.0,11003.0,5343.0,11352.0,4568.0,6881.0,8634.0,6031.0,13541.0,4147.0,4442.0,9246.0,2055.0,10000.0,2397.0,4147.0,13576.0,1409.0,4147.0,9915.0,6377.0,9915.0,5820.0,8429.0,9191.0,6449.0,3550.0,8469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527,370,10565,8429,4797,8429,11778,11285,1086,4060.0,7199.0,370.0,10565.0,8429.0,4487.0,5306.0,4060.0,4304.0,13554.0,8429.0,5356.0,4596.0,317.0,370.0,10565.0,8429.0,5356.0,4596.0,1856.0,8429.0,5356.0,4596.0,6364.0,9514.0,8429.0,5356.0,4596.0,7672.0,8429.0,13082.0,11285.0,2426.0,8429.0,4527.0,2855.0,532.0,8429.0,3084.0,4080.0,370.0,11934.0,11285.0,9719.0,4147.0,5936.0,4060.0,7174.0,4147.0,5002.0,8520.0,11285.0,2657.0,4060.0,9195.0,8429.0,3045.0,12945.0,8760.0,4060.0,13010.0,8429.0,10872.0,8429.0,1086.0,11285.0,5400.0,10790.0,8429.0,4936.0,11285.0,10877.0,4596.0,2478.0,370.0,9847.0,6449.0,2478.0,9047.0,8986.0,1639.0,2478.0,8391.0,8469.0,4060.0,3089.0,130.0,6111.0,7824.0,9768.0,8429.0,4375.0,370.0,7200.0,11285.0,7199.0,370.0,10565.0,8429.0,8369.0,11285.0,2426.0,12910.0,8429.0,6895.0,4316.0,4596.0,11918.0,11285.0,11162.0,2855.0,8018.0,8183.0,9691.0,4060.0,2855.0,638.0,11285.0,10673.0,2657.0,8429.0,9617.0,13461.0,4101.0,5843.0,11285.0,7523.0,5002.0,4736.0,8520.0,370.0,9847.0,10570.0,12803.0,11920.0,8429.0,10262.0,11285.0,4527.0,12287.0,4060.0,11438.0,8429.0,3390.0,4596.0,2426.0,8429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11108,12807,2304,4147,6889,2472,8713,6546,6395,9915.0,11520.0,11352.0,9792.0,8783.0,12790.0,9915.0,2661.0,9915.0,10087.0,2055.0,12058.0,2662.0,4147.0,2720.0,13440.0,4147.0,8013.0,13169.0,4638.0,4147.0,13576.0,13329.0,4147.0,2662.0,9042.0,3821.0,5645.0,8429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
