0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
3043,6059,5427.0,6103.0,3809.0,125.0,2919.0,5547.0,2152.0,3687.0,1558.0,4805.0,6059.0,382.0,1381.0,5273.0,1193.0,5885.0,2662.0,5738.0,1443.0,3745.0,574.0,2662.0,283.0,1381.0,2882.0,2970.0,2599.0,4910.0,5440.0,667.0,6405.0,2160.0,4961.0,4072.0,2853.0,6157.0,2323.0,1558.0,6426.0,4961.0,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,1307,4236.0,2392.0,1381.0,174.0,2643.0,1390.0,3770.0,1381.0,635.0,2643.0,1390.0,4584.0,1443.0,5160.0,2643.0,1390.0,4185.0,4072.0,5935.0,2662.0,1307.0,4741.0,5795.0,3431.0,2919.0,1871.0,2102.0,846.0,3735.0,1558.0,549.0,4961.0,1443.0,3982.0,2102.0,1638.0,6377.0,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,2602,5528.0,1549.0,1241.0,2381.0,6422.0,167.0,5916.0,1299.0,536.0,5317.0,6445.0,2662.0,2977.0,2919.0,1307.0,4131.0,3094.0,1390.0,5317.0,1299.0,3483.0,4613.0,167.0,4852.0,2148.0,442.0,6184.0,5136.0,1443.0,2752.0,1307.0,3766.0,912.0,190.0,2155.0,2155.0,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3386,1935,4072.0,2989.0,2266.0,2662.0,1119.0,2102.0,5149.0,3910.0,1656.0,1464.0,1777.0,6069.0,5695.0,4730.0,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,1307,4236.0,2392.0,1381.0,482.0,3363.0,506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,2148,2392.0,1390.0,5780.0,3483.0,2806.0,3483.0,5780.0,1381.0,2148.0,6140.0,1549.0,5403.0,1241.0,4139.0,2853.0,5440.0,2148.0,389.0,1390.0,2351.0,1443.0,3184.0,1576.0,2847.0,2351.0,1558.0,5248.0,1677.0,4961.0,2155.0,1241.0,6001.0,2662.0,1644.0,6377.0,1558.0,2653.0,2102.0,4961.0,5440.0,3235.0,536.0,2512.0,4613.0,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,4448,1241.0,6422.0,2747.0,56.0,1299.0,536.0,2758.0,6445.0,1443.0,958.0,288.0,4668.0,4380.0,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1358,1241.0,3075.0,536.0,6249.0,4613.0,1443.0,958.0,1995.0,167.0,2148.0,5981.0,2411.0,1381.0,3554.0,1443.0,843.0,2662.0,6377.0,4340.0,1558.0,5244.0,903.0,1759.0,1299.0,4961.0,1443.0,4337.0,4340.0,1558.0,5244.0,903.0,2970.0,1299.0,4961.0,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6398,339,288.0,4668.0,167.0,1361.0,5874.0,1381.0,2148.0,3874.0,1241.0,6057.0,5440.0,5253.0,1443.0,2097.0,5440.0,632.0,2919.0,1638.0,6377.0,1443.0,1387.0,3593.0,227.0,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,234,1012.0,389.0,1381.0,5291.0,1558.0,3982.0,1677.0,4961.0,1241.0,5996.0,5935.0,4943.0,2148.0,2049.0,2747.0,6524.0,1299.0,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
