0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
5469,5282,4178.0,1157.0,5482.0,2860.0,3942.0,2265.0,6403.0,5044.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1076,6191.0,6136.0,6339.0,1076.0,3365.0,4178.0,3607.0,4448.0,1212.0,5715.0,5838.0,3504.0,4448.0,525.0,4650.0,5851.0,4669.0,551.0,6339.0,2231.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5930,4795,5079.0,5277.0,6339.0,368.0,3553.0,5896.0,810.0,4795.0,6276.0,3553.0,6339.0,4279.0,4795.0,1616.0,3553.0,6339.0,711.0,4795.0,1616.0,3553.0,6339.0,5990.0,4795.0,1616.0,3553.0,6339.0,2441.0,4795.0,115.0,3553.0,6339.0,2047.0,4795.0,115.0,3553.0,6339.0,3715.0,4795.0,1616.0,3553.0,6339.0,6318.0,4795.0,1616.0,3553.0,6339.0,820.0,4795.0,3899.0,3553.0,6339.0,2893.0,4795.0,115.0,3553.0,6339.0,4822.0,4795.0,3899.0,3553.0,6339.0,1887.0,4795.0,3899.0,3553.0,6339.0,4092.0,4795.0,3899.0,3553.0,6339.0,1051.0,4795.0,115.0,3553.0,6339.0,6336.0,4795.0,3899.0,3553.0,6339.0,716.0,4795.0,3899.0,3553.0,6339.0,1361.0,4795.0,1616.0,3553.0,6339.0,942.0,4795.0,1616.0,3553.0,6339.0,4790.0,4795.0,3899.0,3553.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,6323,4178.0,5554.0,5820.0,2265.0,2036.0,4529.0,3068.0,1772.0,3057.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,5629,2559.0,4178.0,1505.0,1157.0,5851.0,6010.0,2691.0,1881.0,1087.0,2265.0,908.0,5315.0,6462.0,4178.0,3083.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,573,5851.0,198.0,1881.0,5165.0,6050.0,5654.0,6339.0,1076.0,4151.0,3365.0,4178.0,2204.0,4795.0,6039.0,5800.0,3553.0,4448.0,1212.0,4935.0,551.0,5715.0,1965.0,3504.0,1087.0,1076.0,2770.0,4178.0,5165.0,5799.0,5186.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,5490,4178.0,3496.0,5851.0,2265.0,3986.0,6109.0,6339.0,1076.0,5282.0,4178.0,2278.0,5588.0,2265.0,4669.0,4529.0,4682.0,6339.0,1542.0,4529.0,3157.0,485.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1076,513.0,4448.0,4488.0,5165.0,3596.0,4994.0,5851.0,2065.0,1881.0,6339.0,1076.0,3912.0,2018.0,4178.0,1880.0,5165.0,2843.0,4994.0,5851.0,4281.0,98.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,3727,4178.0,931.0,449.0,2860.0,2265.0,2391.0,5167.0,3805.0,2711.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,5010,5722.0,6339.0,2254.0,1466.0,1208.0,5054.0,2615.0,6339.0,4178.0,735.0,5820.0,1188.0,2934.0,1665.0,6339.0,3779.0,1665.0,4795.0,6393.0,3553.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3951,729,3761.0,5966.0,4448.0,5061.0,272.0,804.0,5531.0,5485.0,3596.0,5633.0,3761.0,3839.0,3369.0,5838.0,3504.0,4795.0,2559.0,2483.0,3553.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,1865,5864.0,4178.0,5384.0,5165.0,5045.0,4994.0,5851.0,6507.0,1881.0,4374.0,3604.0,2860.0,3552.0,1076.0,5320.0,1670.0,5595.0,1076.0,1289.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5114,3761,2115.0,4529.0,2.0,4672.0,4275.0,547.0,3797.0,5851.0,2371.0,3753.0,3930.0,468.0,1458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,53,2577.0,4795.0,4251.0,3553.0,6339.0,3184.0,5829.0,182.0,4795.0,5478.0,3553.0,6339.0,4897.0,6522.0,4795.0,2898.0,4529.0,3905.0,3553.0,6339.0,2423.0,4795.0,3639.0,3553.0,6339.0,4505.0,4795.0,1807.0,3553.0,6339.0,4448.0,5809.0,804.0,2253.0,1851.0,5905.0,476.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,4275,3432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,6339,1076.0,2307.0,4178.0,5482.0,5485.0,3205.0,2860.0,2903.0,6389.0,48.0,6339.0,2279.0,2860.0,1076.0,4451.0,3761.0,2265.0,5285.0,2594.0,2265.0,4716.0,144.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,4275,3263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5248,2265,6341.0,3817.0,6339.0,2843.0,2180.0,4306.0,4795.0,6340.0,5054.0,578.0,492.0,4752.0,6275.0,4795.0,814.0,3553.0,3553.0,4178.0,3280.0,5485.0,5832.0,5633.0,3761.0,1076.0,3609.0,3358.0,3761.0,6282.0,2559.0,6339.0,4448.0,2075.0,1076.0,5282.0,4178.0,3563.0,2860.0,2822.0,2048.0,3556.0,5851.0,620.0,98.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,6161,4178.0,4175.0,5820.0,6055.0,2412.0,950.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,5044,817.0,2075.0,78.0,5165.0,6021.0,4994.0,5851.0,5637.0,1881.0,4448.0,5518.0,1076.0,2177.0,817.0,6000.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,4275,3620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,1918,804.0,1819.0,5485.0,2265.0,3877.0,1461.0,3761.0,4293.0,5715.0,3228.0,2860.0,1076.0,6170.0,4639.0,6043.0,5820.0,896.0,5485.0,5838.0,3504.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4124,804,5404.0,5851.0,6369.0,1946.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,1562,1964.0,4178.0,1669.0,5485.0,4293.0,1374.0,1634.0,2559.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,6094,3761.0,1119.0,4529.0,1630.0,2434.0,598.0,6339.0,2389.0,4795.0,2796.0,5328.0,3962.0,6339.0,5597.0,4448.0,940.0,3553.0,6339.0,5820.0,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5859,2110,3761.0,620.0,804.0,2398.0,5485.0,6063.0,5054.0,5686.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,6300,393.0,2063.0,817.0,2475.0,2860.0,253.0,6405.0,2032.0,4275.0,98.0,98.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,2559,4178.0,1893.0,1505.0,5165.0,6050.0,5654.0,5851.0,2691.0,1881.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4198,3092,6384.0,4795.0,5369.0,3553.0,804.0,5554.0,3480.0,6191.0,1772.0,6354.0,2855.0,4448.0,2265.0,5282.0,3761.0,1020.0,4448.0,3122.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,2725,6339.0,5917.0,4529.0,2872.0,4529.0,2532.0,5488.0,3087.0,804.0,5067.0,606.0,2534.0,1076.0,5488.0,5281.0,931.0,5820.0,1076.0,6144.0,3057.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,6306,4529.0,2.0,5498.0,4178.0,2844.0,5165.0,312.0,4994.0,5637.0,1881.0,5485.0,2265.0,4591.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5851,921,4531.0,5061.0,6199.0,6123.0,5004.0,5896.0,547.0,6339.0,5572.0,2363.0,3828.0,6339.0,1992.0,2363.0,882.0,6339.0,6165.0,1665.0,3938.0,5896.0,547.0,6339.0,2726.0,2363.0,3828.0,6339.0,4913.0,2363.0,882.0,6339.0,209.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5670,1819,2860.0,5874.0,1076.0,4639.0,256.0,5485.0,1076.0,3241.0,6339.0,3979.0,1665.0,6339.0,3772.0,4275.0,547.0,4795.0,4765.0,5896.0,6436.0,5896.0,4845.0,3553.0,1444.0,4765.0,5054.0,1753.0,6339.0,6436.0,5054.0,3402.0,6339.0,4845.0,5054.0,5370.0,5820.0,1208.0,4448.0,3863.0,312.0,5054.0,1208.0,817.0,5144.0,5144.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,5034,2168.0,804.0,2627.0,5165.0,312.0,4994.0,5851.0,6507.0,1881.0,2860.0,4420.0,6403.0,2559.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5114,4448,6214.0,3761.0,1968.0,5328.0,6436.0,6339.0,765.0,5422.0,3761.0,1076.0,1024.0,4287.0,5715.0,2071.0,23.0,4797.0,4701.0,4536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5098,1076,3974.0,4834.0,6339.0,1076.0,744.0,1937.0,5485.0,2559.0,804.0,3782.0,4448.0,633.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,2168,804.0,4643.0,5485.0,1076.0,2335.0,748.0,3761.0,5668.0,4529.0,964.0,4795.0,4065.0,5328.0,3746.0,6339.0,5632.0,6339.0,5342.0,6339.0,4448.0,3231.0,3553.0,2860.0,522.0,5015.0,329.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4557,1419,751.0,4448.0,467.0,3485.0,3761.0,3454.0,4529.0,5654.0,2934.0,6244.0,5595.0,3214.0,5539.0,1044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,2725,6339.0,1974.0,1699.0,4448.0,1981.0,804.0,5067.0,931.0,2534.0,1076.0,1805.0,2220.0,60.0,4082.0,3748.0,251.0,5485.0,1076.0,2168.0,2168.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,4795,883.0,3553.0,4178.0,5554.0,5820.0,1076.0,6517.0,2559.0,3057.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,285,3761.0,2413.0,2212.0,5851.0,3717.0,1417.0,804.0,2398.0,5485.0,4845.0,5054.0,5686.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,1112,4151.0,3365.0,4178.0,1212.0,1110.0,5715.0,5809.0,4448.0,2844.0,5165.0,312.0,4994.0,5851.0,5637.0,1881.0,1881.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,4529,3901.0,462.0,4275.0,2661.0,817.0,1255.0,2324.0,4275.0,462.0,4275.0,2661.0,5487.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2855,2559,4178.0,2213.0,5588.0,1076.0,4729.0,5820.0,4729.0,1087.0,1076.0,5186.0,3761.0,1076.0,2559.0,446.0,5637.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,4795,1752.0,3553.0,4448.0,2546.0,4529.0,1242.0,5144.0,4795.0,6355.0,3553.0,804.0,931.0,3480.0,1076.0,3677.0,4481.0,3475.0,60.0,1076.0,2308.0,3761.0,6297.0,4448.0,3153.0,6339.0,2231.0,2231.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5927,5319,4795.0,4748.0,3553.0,4795.0,5181.0,5054.0,3553.0,4178.0,2253.0,1851.0,575.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5248,1076,5505.0,5992.0,6339.0,3240.0,4529.0,2254.0,2824.0,761.0,804.0,78.0,5485.0,1076.0,3120.0,5165.0,1924.0,5851.0,2691.0,1881.0,5851.0,4028.0,6339.0,4141.0,1076.0,4698.0,2594.0,1535.0,4033.0,3334.0,804.0,1863.0,5165.0,2361.0,5851.0,4281.0,98.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5382,6359,4529.0,4827.0,382.0,4529.0,3771.0,4119.0,3761.0,1725.0,5715.0,4011.0,4529.0,192.0,4272.0,4521.0,5485.0,997.0,793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,4394,804.0,2075.0,2541.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,6095,2821.0,5165.0,2146.0,4994.0,5851.0,2691.0,1881.0,6339.0,1076.0,625.0,1595.0,4178.0,1132.0,43.0,5485.0,3214.0,3236.0,1448.0,4448.0,4178.0,1255.0,4136.0,6077.0,5485.0,690.0,2519.0,1118.0,104.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,4448,5210.0,6322.0,804.0,3441.0,4567.0,1851.0,6121.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,3634,2334.0,804.0,5554.0,5820.0,6191.0,1772.0,3761.0,3968.0,5485.0,3214.0,1972.0,4269.0,2559.0,722.0,5820.0,360.0,5165.0,4861.0,4994.0,5485.0,5037.0,2108.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,1941,887.0,1557.0,5715.0,3416.0,2063.0,3753.0,5851.0,3930.0,4529.0,468.0,1458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3540,1075,3761.0,5598.0,5851.0,456.0,6244.0,3761.0,2554.0,2860.0,714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,5700,4698.0,804.0,625.0,5609.0,2265.0,1205.0,6191.0,4481.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,5920,804.0,14.0,4093.0,5485.0,4801.0,5633.0,3137.0,4540.0,3265.0,5578.0,2358.0,1862.0,5997.0,5352.0,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
