0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
5073,4221,5957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,2983,6096.0,6209.0,920.0,3723.0,1679.0,6251.0,2047.0,303.0,2319.0,2659.0,5430.0,3024.0,2992.0,391.0,2087.0,4097.0,3459.0,4463.0,5028.0,2659.0,2100.0,6234.0,2047.0,485.0,848.0,2252.0,2465.0,4122.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4994,4097,1331.0,5458.0,272.0,2164.0,4494.0,2807.0,3723.0,1679.0,6251.0,2992.0,688.0,2087.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,6209,2125.0,3407.0,2047.0,1331.0,1684.0,3930.0,2047.0,1352.0,4626.0,4002.0,2047.0,5418.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4866,5778,2992.0,391.0,882.0,4097.0,1331.0,3382.0,3134.0,6209.0,3705.0,2992.0,5418.0,2087.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,5622,2486.0,3714.0,6209.0,6279.0,2047.0,1331.0,3858.0,2486.0,1331.0,5104.0,2499.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073,4221,1042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,6360,2486.0,3186.0,6365.0,6263.0,2590.0,4488.0,1877.0,4097.0,6395.0,567.0,5724.0,429.0,4097.0,5480.0,4097.0,3961.0,4097.0,2659.0,2708.0,272.0,4337.0,2659.0,1331.0,1844.0,272.0,5871.0,476.0,6263.0,2540.0,4097.0,1248.0,4097.0,2132.0,5724.0,1003.0,2032.0,5641.0,3723.0,3224.0,2992.0,1066.0,2087.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5429,2242,2659.0,2161.0,3817.0,4295.0,4239.0,87.0,5661.0,2698.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2486,5295.0,272.0,213.0,87.0,80.0,1897.0,3345.0,2693.0,6263.0,752.0,2400.0,4097.0,3286.0,4394.0,321.0,5724.0,272.0,3407.0,1229.0,5527.0,3522.0,6263.0,6041.0,2506.0,5724.0,1463.0,5732.0,6263.0,5273.0,3288.0,5724.0,2252.0,5778.0,4097.0,2659.0,1331.0,1952.0,4982.0,2992.0,688.0,2087.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3930,2486.0,962.0,6263.0,6111.0,6101.0,4097.0,5912.0,5578.0,5724.0,4097.0,648.0,6152.0,5313.0,6263.0,2444.0,6101.0,4097.0,1929.0,5578.0,5724.0,4097.0,1788.0,2046.0,2788.0,6263.0,989.0,6101.0,4097.0,919.0,5578.0,5724.0,4097.0,1737.0,2788.0,6263.0,581.0,6101.0,4097.0,4708.0,5578.0,5724.0,4097.0,4170.0,6263.0,3207.0,5779.0,4097.0,4004.0,5578.0,5724.0,4097.0,2659.0,1065.0,6263.0,3996.0,5779.0,4097.0,1631.0,5578.0,5724.0,3723.0,1331.0,183.0,3646.0,1317.0,1897.0,4691.0,1897.0,4580.0,1897.0,3279.0,1897.0,4379.0,1897.0,5159.0,6209.0,920.0,2047.0,6483.0,2319.0,2992.0,1336.0,2087.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3725,3081,1170.0,6280.0,1146.0,87.0,3157.0,2698.0,2992.0,4301.0,2743.0,934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5543,4456,1742.0,2155.0,3723.0,1331.0,2794.0,44.0,6297.0,3917.0,4353.0,243.0,977.0,6263.0,44.0,571.0,6271.0,4097.0,539.0,4097.0,2659.0,3316.0,5724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,4780,2011.0,272.0,213.0,1904.0,2882.0,6263.0,149.0,1877.0,6365.0,5724.0,4097.0,1473.0,6263.0,4488.0,1877.0,5724.0,4097.0,5153.0,6263.0,149.0,1877.0,5724.0,4097.0,3722.0,6263.0,4488.0,1877.0,5724.0,4097.0,2659.0,70.0,6263.0,2039.0,1877.0,5724.0,5700.0,87.0,4132.0,4097.0,4103.0,272.0,4337.0,1856.0,2047.0,1331.0,225.0,3646.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4507,1894,4097.0,2078.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6263,752.0,2142.0,1894.0,1877.0,5724.0,6209.0,4397.0,2307.0,5853.0,4456.0,5156.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3353,2659,5441.0,584.0,2486.0,3927.0,4221.0,1757.0,4239.0,87.0,2333.0,2992.0,403.0,3671.0,4301.0,2715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073,4221,4313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5737,6209,3459.0,4639.0,6517.0,4097.0,4537.0,1904.0,1645.0,4390.0,4097.0,2659.0,2164.0,3723.0,6029.0,6263.0,4286.0,2319.0,4097.0,2238.0,2087.0,5724.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073,4221,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,829,1369.0,272.0,2116.0,3778.0,6366.0,2659.0,1590.0,2486.0,1331.0,2011.0,6209.0,2170.0,3995.0,2659.0,1312.0,1331.0,4332.0,5047.0,5047.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073,4221,6323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2951,5670.0,199.0,3945.0,2828.0,2486.0,2395.0,4456.0,34.0,2695.0,224.0,2998.0,3682.0,2380.0,87.0,1679.0,173.0,2992.0,3805.0,4456.0,3796.0,5753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073,4221,4262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,1626,2142.0,1877.0,4958.0,4097.0,906.0,3071.0,2864.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,4456,2664.0,5400.0,502.0,272.0,6364.0,3778.0,4431.0,4456.0,5952.0,1170.0,4692.0,3954.0,5358.0,2486.0,2365.0,6053.0,738.0,6263.0,5918.0,4097.0,4397.0,2307.0,6239.0,4779.0,2271.0,4097.0,3712.0,6012.0,2385.0,5724.0,4097.0,1856.0,2047.0,3569.0,1383.0,310.0,2307.0,1542.0,1894.0,6098.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,5058,2486.0,5439.0,6209.0,643.0,4494.0,3307.0,2319.0,658.0,598.0,882.0,3778.0,1331.0,4108.0,2486.0,81.0,3288.0,2486.0,5439.0,6263.0,5579.0,1001.0,1270.0,2474.0,1894.0,4097.0,4507.0,1894.0,5724.0,2047.0,1331.0,2702.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,6528,3305.0,3993.0,2152.0,6209.0,6044.0,2659.0,4537.0,2223.0,1199.0,1904.0,6080.0,4390.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,213,6335.0,6209.0,5895.0,3723.0,3569.0,6103.0,889.0,3723.0,1679.0,1764.0,2486.0,1626.0,4492.0,4221.0,882.0,4494.0,2377.0,2319.0,1904.0,3569.0,4161.0,2486.0,3286.0,2319.0,4221.0,882.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,4097,1331.0,579.0,2491.0,2659.0,4477.0,4456.0,4947.0,5104.0,2305.0,272.0,6128.0,4494.0,4626.0,998.0,1904.0,5418.0,1360.0,2174.0,4190.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,2486,1952.0,965.0,2992.0,1331.0,5441.0,6533.0,2486.0,2085.0,1904.0,3569.0,1426.0,2486.0,4010.0,1457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,547,2343.0,6209.0,2164.0,4494.0,485.0,848.0,2659.0,5289.0,4494.0,5494.0,2319.0,2992.0,752.0,2087.0,2047.0,6218.0,1679.0,3079.0,1190.0,725.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4866,1155,4097.0,1331.0,3930.0,6209.0,5497.0,4494.0,485.0,848.0,2992.0,5418.0,2087.0,4097.0,6256.0,3778.0,3517.0,2659.0,2148.0,1904.0,6080.0,4390.0,2047.0,275.0,2618.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,4165,4190.0,6209.0,5497.0,3309.0,2659.0,3459.0,1826.0,1331.0,3220.0,4494.0,3512.0,2319.0,2252.0,4086.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,2491,5104.0,6152.0,2702.0,272.0,6278.0,5527.0,3569.0,225.0,2174.0,4190.0,1003.0,3569.0,1307.0,2955.0,4494.0,391.0,4492.0,105.0,5173.0,1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
