0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
3708,1827,3941.0,28.0,3532.0,1195.0,2073.0,6293.0,4631.0,3244.0,977.0,2429.0,2040.0,1343.0,5111.0,2040.0,5034.0,3539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6098,4895,1827.0,2029.0,1232.0,3193.0,6341.0,3300.0,2047.0,2433.0,508.0,3460.0,4038.0,6019.0,5159.0,937.0,5385.0,1400.0,6384.0,2047.0,1643.0,508.0,5473.0,1843.0,1535.0,1737.0,1183.0,4120.0,1827.0,6058.0,6427.0,4124.0,2176.0,1310.0,2007.0,2047.0,4889.0,4287.0,6041.0,858.0,1232.0,1098.0,2402.0,2047.0,348.0,4038.0,1099.0,2770.0,3532.0,4408.0,863.0,1827.0,5611.0,4725.0,6510.0,1232.0,2302.0,1022.0,4161.0,4038.0,973.0,3747.0,1232.0,2521.0,1022.0,4161.0,4038.0,973.0,5106.0,1232.0,6254.0,1022.0,4161.0,4038.0,508.0,373.0,3116.0,3958.0,1538.0,4658.0,3606.0,,,,,,,,,,,,,,,,,,,,,,,,,
3017,5635,1827.0,2231.0,1232.0,3386.0,4287.0,2047.0,5971.0,799.0,4038.0,2047.0,2824.0,1139.0,3104.0,1232.0,6078.0,4287.0,2047.0,3660.0,799.0,4038.0,2047.0,480.0,1232.0,3997.0,4287.0,2047.0,5971.0,799.0,4038.0,2047.0,1429.0,1843.0,1232.0,3997.0,4287.0,2047.0,5932.0,799.0,4038.0,2047.0,6437.0,1232.0,6342.0,4128.0,2047.0,1605.0,799.0,4038.0,508.0,80.0,1232.0,3227.0,427.0,2047.0,926.0,799.0,4038.0,3532.0,1183.0,35.0,93.0,1140.0,722.0,5908.0,722.0,3159.0,722.0,881.0,722.0,4742.0,722.0,47.0,1099.0,373.0,3116.0,2179.0,4658.0,977.0,4515.0,4600.0,3116.0,1077.0,5649.0,5916.0,1827.0,3500.0,3532.0,532.0,4161.0,4719.0,1232.0,4181.0,1455.0,722.0,5714.0,2047.0,5676.0,1455.0,722.0,5714.0,4038.0,3606.0,,
3017,3852,1998.0,6019.0,1119.0,4853.0,1183.0,3412.0,4301.0,3606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,5413,1.0,1099.0,6217.0,3116.0,3285.0,3322.0,1900.0,1168.0,2753.0,2047.0,754.0,2047.0,947.0,508.0,3227.0,4658.0,3592.0,4098.0,3817.0,1918.0,1827.0,4408.0,4658.0,973.0,5203.0,860.0,937.0,3624.0,1404.0,3116.0,2619.0,2141.0,5266.0,5113.0,1099.0,2039.0,77.0,2408.0,1183.0,1455.0,1827.0,1183.0,5635.0,1099.0,4777.0,4408.0,3606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,5175,5738.0,1827.0,2115.0,5716.0,2047.0,6264.0,6293.0,3180.0,858.0,508.0,4848.0,152.0,6019.0,1181.0,3532.0,5450.0,722.0,5450.0,2047.0,5450.0,722.0,5458.0,2047.0,5450.0,722.0,2142.0,508.0,5450.0,722.0,1149.0,6374.0,5881.0,2047.0,6488.0,2047.0,508.0,2770.0,6477.0,658.0,5738.0,1827.0,3636.0,2624.0,3116.0,1585.0,5450.0,6374.0,5635.0,3606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,2047,1183.0,2660.0,1099.0,5611.0,508.0,4449.0,3592.0,1183.0,4405.0,984.0,1827.0,722.0,4904.0,858.0,2047.0,1204.0,2126.0,1993.0,768.0,1232.0,2513.0,2094.0,3311.0,4128.0,4038.0,508.0,5611.0,3606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,257,2445.0,1099.0,1007.0,937.0,3411.0,6379.0,5379.0,1232.0,2397.0,4038.0,977.0,4013.0,5284.0,3592.0,4098.0,5760.0,3968.0,2284.0,1232.0,4824.0,3416.0,3547.0,2047.0,689.0,6341.0,692.0,3605.0,4038.0,3532.0,2336.0,2040.0,3030.0,4374.0,1894.0,3606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,1183,3384.0,3763.0,934.0,298.0,2704.0,2047.0,1183.0,6092.0,1099.0,373.0,3532.0,1880.0,4434.0,4746.0,1232.0,1846.0,4658.0,4038.0,977.0,5450.0,4600.0,2047.0,860.0,937.0,6280.0,2040.0,4603.0,3116.0,4104.0,1183.0,2445.0,1808.0,973.0,4286.0,4286.0,3606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,2141,508.0,3951.0,6019.0,3067.0,977.0,597.0,5203.0,3606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
