0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
3727,2317,1384.0,2172.0,3412.0,3921.0,2317.0,5423.0,2172.0,3412.0,1569.0,5686.0,4740.0,2172.0,3412.0,3813.0,6146.0,157.0,3905.0,4466.0,410.0,4501.0,410.0,2988.0,3967.0,1341.0,2659.0,194.0,3154.0,4311.0,4502.0,2213.0,5891.0,5845.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,4076,1341.0,3641.0,3609.0,5927.0,1597.0,969.0,5993.0,4122.0,3931.0,995.0,4650.0,619.0,5134.0,3706.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,2257,5545.0,6146.0,1624.0,3967.0,5686.0,3852.0,3794.0,2317.0,3931.0,995.0,3641.0,4193.0,3412.0,2988.0,410.0,2988.0,3409.0,5139.0,410.0,2988.0,2317.0,1341.0,1769.0,4733.0,3931.0,1551.0,4078.0,5109.0,2317.0,5686.0,5840.0,3154.0,590.0,204.0,583.0,2957.0,5314.0,5197.0,1399.0,995.0,664.0,5050.0,3412.0,6524.0,5197.0,3425.0,4764.0,2988.0,3511.0,4502.0,4110.0,958.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,2704,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6529,2193,3154.0,72.0,6215.0,2438.0,2317.0,3154.0,72.0,4827.0,4311.0,6146.0,2794.0,3515.0,3967.0,204.0,2700.0,6194.0,3132.0,2443.0,6146.0,4799.0,3967.0,162.0,6146.0,3771.0,3187.0,2991.0,2317.0,1093.0,3293.0,3967.0,3931.0,3353.0,2048.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727,3868,477.0,6146.0,6094.0,3293.0,2317.0,1821.0,5985.0,3967.0,204.0,2659.0,194.0,3154.0,2454.0,590.0,1399.0,5891.0,5845.0,5686.0,995.0,1124.0,4311.0,5574.0,204.0,3422.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6424,4009,6146.0,1866.0,3187.0,4170.0,2317.0,2970.0,3967.0,6063.0,2317.0,2868.0,3164.0,3412.0,5626.0,19.0,1551.0,6228.0,2004.0,777.0,3412.0,4501.0,5892.0,6146.0,4791.0,3630.0,5970.0,3967.0,5686.0,3752.0,4715.0,407.0,4335.0,194.0,1789.0,3034.0,2317.0,204.0,2659.0,6286.0,3154.0,956.0,4827.0,5686.0,2982.0,4764.0,2988.0,3511.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,204,2556.0,6435.0,407.0,537.0,4705.0,2516.0,5302.0,5686.0,4979.0,6360.0,204.0,945.0,6435.0,407.0,2991.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4840,5686,2994.0,2651.0,1341.0,945.0,1435.0,407.0,846.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5574,5296,2700.0,1821.0,5985.0,3412.0,4350.0,4311.0,6146.0,2794.0,3515.0,3967.0,204.0,2659.0,194.0,3154.0,4311.0,2957.0,5871.0,5197.0,2317.0,5553.0,6194.0,5845.0,2957.0,1570.0,3038.0,5622.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5472,6146,4824.0,3967.0,5686.0,4254.0,3609.0,4092.0,44.0,6146.0,3396.0,3967.0,1341.0,2700.0,1447.0,3154.0,614.0,4163.0,1875.0,4172.0,3154.0,5899.0,3412.0,998.0,5686.0,878.0,2317.0,2909.0,2909.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4416,129,204.0,2659.0,3629.0,194.0,4311.0,5574.0,2317.0,2874.0,3931.0,3154.0,5671.0,3412.0,3154.0,6327.0,4092.0,1227.0,6146.0,2210.0,3967.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4757,6146,4747.0,3967.0,204.0,4074.0,3456.0,995.0,2123.0,2438.0,3931.0,3154.0,5113.0,3412.0,995.0,3959.0,2438.0,3412.0,878.0,407.0,3154.0,1772.0,821.0,194.0,3740.0,1252.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,6300,6286.0,947.0,5737.0,4070.0,5337.0,3154.0,3123.0,2512.0,5686.0,3798.0,110.0,3412.0,800.0,915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3687,167,2317.0,1538.0,1341.0,1277.0,54.0,6190.0,5518.0,5944.0,6146.0,285.0,5892.0,2317.0,4501.0,5892.0,2317.0,5686.0,2988.0,5892.0,3967.0,5686.0,5840.0,1399.0,3528.0,4741.0,194.0,995.0,5787.0,5892.0,4197.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
