0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
11,11,29.0,27.0,11.0,42.0,11.0,29.0,27.0,11.0,42.0,11.0,29.0,27.0,11.0,42.0,11.0,11.0,11.0,29.0,31.0,31.0,31.0,31.0,11.0,11.0,23.0,11.0,11.0,42.0,11.0,11.0,11.0,23.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,42,11.0,23.0,40.0,40.0,11.0,15.0,11.0,32.0,11.0,11.0,30.0,8.0,8.0,5.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,32,26.0,11.0,42.0,11.0,11.0,23.0,42.0,11.0,11.0,11.0,27.0,22.0,11.0,29.0,31.0,31.0,11.0,29.0,31.0,31.0,11.0,11.0,12.0,23.0,11.0,11.0,9.0,30.0,11.0,11.0,11.0,11.0,42.0,11.0,23.0,11.0,29.0,37.0,11.0,11.0,41.0,10.0,11.0,29.0,37.0,4.0,11.0,29.0,37.0,11.0,42.0,41.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11.0,42.0,11.0,11.0,11.0,11.0,42.0,11.0,11.0,11.0,29.0,27.0,11.0,11.0,23.0,11.0,23.0,42.0,33.0,33.0,33.0,33.0,11.0,42.0,11.0,25.0,11.0,29.0,27.0,11.0,11.0,32.0,42.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,32,42.0,11.0,29.0,27.0,11.0,29.0,27.0,11.0,11.0,23.0,11.0,11.0,11.0,42.0,11.0,11.0,23.0,11.0,11.0,11.0,42.0,33.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,32,11.0,42.0,11.0,32.0,11.0,25.0,11.0,32.0,11.0,11.0,11.0,11.0,42.0,11.0,11.0,38.0,13.0,13.0,11.0,29.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,38.0,11.0,11.0,29.0,11.0,29.0,16.0,11.0,11.0,23.0,11.0,11.0,32.0,42.0,11.0,23.0,11.0,29.0,37.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11,32.0,26.0,11.0,25.0,19.0,19.0,11.0,11.0,42.0,33.0,11.0,35.0,7.0,11.0,25.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11,42.0,33.0,11.0,35.0,7.0,11.0,25.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11.0,29.0,27.0,11.0,42.0,32.0,11.0,29.0,27.0,11.0,11.0,23.0,11.0,11.0,42.0,11.0,29.0,37.0,11.0,23.0,11.0,23.0,11.0,12.0,39.0,39.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
