0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
3612,6261,4857.0,6420.0,5943.0,3344.0,1768.0,337.0,4857.0,337.0,6254.0,2521.0,4449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,6484,4291.0,4568.0,4203.0,4714.0,1237.0,368.0,4667.0,3529.0,724.0,2362.0,3994.0,451.0,5278.0,5302.0,489.0,1965.0,3847.0,4291.0,4568.0,4203.0,1237.0,368.0,4667.0,3529.0,6254.0,2779.0,5205.0,3824.0,2455.0,5302.0,1576.0,1965.0,3617.0,4568.0,724.0,2362.0,3994.0,5911.0,4449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,5911,4203.0,5456.0,2454.0,724.0,3994.0,451.0,6254.0,3149.0,368.0,4589.0,5052.0,2455.0,4589.0,21.0,1777.0,5832.0,1965.0,176.0,4568.0,4449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,4857,1544.0,2020.0,2455.0,168.0,623.0,6226.0,2181.0,6174.0,1871.0,2435.0,6064.0,5296.0,2277.0,3602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5169,5966,2455.0,3496.0,5361.0,3006.0,6097.0,6247.0,1768.0,1653.0,368.0,802.0,4291.0,4896.0,1891.0,633.0,5611.0,2455.0,6315.0,4262.0,3994.0,4449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4210,1965,1346.0,4446.0,6254.0,69.0,4568.0,1855.0,6165.0,1965.0,5988.0,4568.0,6254.0,3217.0,1965.0,4036.0,4568.0,6254.0,1131.0,1965.0,4036.0,4568.0,6254.0,1728.0,1965.0,4036.0,4568.0,6254.0,3458.0,1965.0,4036.0,4568.0,6254.0,409.0,1965.0,5197.0,4568.0,6254.0,5881.0,1965.0,4036.0,4568.0,6254.0,1357.0,1965.0,4036.0,4568.0,6254.0,1720.0,1965.0,5197.0,4568.0,6254.0,6524.0,1965.0,5197.0,4568.0,6254.0,4163.0,1965.0,4036.0,4568.0,6254.0,1757.0,1965.0,5197.0,4568.0,6254.0,5012.0,1965.0,4036.0,4568.0,6254.0,4891.0,1965.0,4036.0,4568.0,4449.0
1264,5809,737.0,5219.0,1965.0,5641.0,6486.0,368.0,3580.0,6254.0,2176.0,4291.0,4568.0,4203.0,6401.0,5702.0,5178.0,3953.0,6254.0,1410.0,6254.0,4857.0,4796.0,3529.0,4449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5774,1768,2686.0,5178.0,2712.0,6254.0,5239.0,6254.0,4857.0,4285.0,5474.0,1898.0,4449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6379,2181,4835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,6254,927.0,2181.0,6174.0,5350.0,1768.0,3507.0,5205.0,4205.0,1440.0,368.0,807.0,2477.0,5367.0,1963.0,4358.0,384.0,3006.0,2069.0,5106.0,5106.0,4449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
