0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
4957,4918,4964.0,4805.0,3923.0,2588.0,5326.0,2438.0,3652.0,2180.0,3239.0,4805.0,3923.0,2588.0,2875.0,4260.0,2049.0,4964.0,117.0,5990.0,4958.0,1381.0,858.0,6153.0,1016.0,2066.0,2155.0,1629.0,6153.0,5590.0,2560.0,2066.0,6458.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3561,4964,2836.0,6455.0,976.0,1858.0,4260.0,2167.0,5407.0,4964.0,5904.0,1178.0,1354.0,2987.0,5990.0,2588.0,2602.0,3923.0,4958.0,857.0,3399.0,2836.0,3763.0,3844.0,3239.0,2033.0,2015.0,5755.0,1898.0,3983.0,6473.0,2857.0,5421.0,5399.0,2588.0,159.0,5842.0,3239.0,3565.0,2015.0,1560.0,1898.0,6123.0,4526.0,1347.0,3399.0,6344.0,3763.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,2438,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,6304,4236.0,6046.0,4721.0,1269.0,3050.0,2200.0,662.0,3239.0,4593.0,6123.0,938.0,1347.0,2015.0,3448.0,1898.0,1898.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4878,2438,6498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1629,5083.0,6153.0,5760.0,5381.0,4721.0,2242.0,6153.0,5590.0,6182.0,3897.0,5794.0,1478.0,2936.0,3831.0,1910.0,1990.0,6242.0,3239.0,4208.0,5590.0,1803.0,2604.0,878.0,5636.0,4980.0,2649.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4187,848,4260.0,3763.0,5990.0,4721.0,7.0,2167.0,3226.0,1040.0,6473.0,5590.0,1358.0,225.0,3047.0,4964.0,1445.0,5500.0,2450.0,907.0,6153.0,481.0,3688.0,5451.0,3085.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3807,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3561,4964,2836.0,3676.0,4721.0,6073.0,3239.0,1269.0,2200.0,1629.0,3239.0,4593.0,6123.0,6027.0,3903.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,4192,4721.0,261.0,3399.0,6027.0,3903.0,96.0,2836.0,4140.0,3239.0,2836.0,6157.0,1894.0,66.0,3844.0,4721.0,6073.0,3239.0,341.0,6123.0,6427.0,3918.0,2015.0,1560.0,5726.0,5106.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4548,1183,6205.0,4260.0,791.0,5990.0,3939.0,4721.0,3233.0,3972.0,919.0,716.0,2034.0,3837.0,3399.0,6112.0,2836.0,2510.0,2588.0,1134.0,4964.0,2559.0,3239.0,3797.0,6153.0,2836.0,242.0,4683.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,813,4721.0,630.0,6153.0,2719.0,1898.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5873,2588,4221.0,2244.0,2360.0,1358.0,2200.0,2244.0,3084.0,3239.0,4310.0,4021.0,1401.0,4378.0,3239.0,2808.0,2446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,3649,3239.0,3335.0,2588.0,2836.0,4139.0,4958.0,2912.0,3972.0,6136.0,6477.0,6401.0,4260.0,5513.0,5990.0,4260.0,5468.0,2032.0,1016.0,4964.0,170.0,1196.0,5990.0,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
