0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
2926,5468,3366.0,554.0,2402.0,5150.0,1418.0,1222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,4199,4192.0,6249.0,3633.0,3015.0,2074.0,3364.0,5468.0,39.0,2402.0,2111.0,3989.0,2697.0,1376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147,4479,5319.0,2074.0,4375.0,4451.0,5468.0,3233.0,341.0,5150.0,2172.0,3475.0,3697.0,5965.0,596.0,4192.0,2609.0,3633.0,3015.0,906.0,486.0,2778.0,1174.0,5158.0,1427.0,4800.0,2122.0,3364.0,6014.0,350.0,3015.0,847.0,2934.0,3015.0,332.0,2625.0,1340.0,1376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5116,2728,3266.0,4192.0,2074.0,1565.0,1812.0,776.0,5319.0,5684.0,1216.0,2564.0,3697.0,2074.0,1142.0,776.0,3366.0,2950.0,3812.0,6084.0,3601.0,3601.0,1376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,1174,3031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,6014,2350.0,3948.0,3015.0,1519.0,3015.0,5549.0,3697.0,4796.0,640.0,111.0,5319.0,2074.0,4632.0,6438.0,5945.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,1174,849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,2820,6317.0,176.0,776.0,3366.0,2158.0,5035.0,2269.0,5319.0,2366.0,6489.0,4800.0,4155.0,6486.0,2783.0,3015.0,2944.0,1470.0,1340.0,1376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2585,4800,3189.0,1158.0,3015.0,4363.0,1340.0,666.0,3612.0,4800.0,1032.0,1340.0,3015.0,5267.0,4800.0,4133.0,1340.0,3015.0,4094.0,4800.0,4133.0,1340.0,3015.0,1796.0,4800.0,4133.0,1340.0,3015.0,3960.0,4800.0,5293.0,1340.0,3015.0,4119.0,4800.0,5293.0,1340.0,3015.0,5543.0,4800.0,4133.0,1340.0,3015.0,4599.0,4800.0,4133.0,1340.0,3015.0,4258.0,4800.0,5238.0,1340.0,3015.0,914.0,4800.0,5293.0,1340.0,3015.0,4950.0,4800.0,5238.0,1340.0,3015.0,5783.0,4800.0,5238.0,1340.0,3015.0,2721.0,4800.0,5238.0,1340.0,3015.0,1838.0,4800.0,5293.0,1340.0,3015.0,5345.0,4800.0,5238.0,1340.0,3015.0,6257.0,4800.0,5238.0,1340.0,3015.0,5724.0,4800.0,4133.0,1340.0,3015.0,4057.0,4800.0,4133.0,1340.0,3015.0,2175.0,4800.0,5238.0,1340.0,1376.0
2147,790,5529.0,5764.0,5775.0,1103.0,3697.0,3208.0,4563.0,1376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
