0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
3183,2605,3890.0,3945.0,4805.0,3649.0,1176.0,2719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,6234,5883.0,5783.0,1595.0,1661.0,4365.0,4127.0,5883.0,2252.0,3231.0,2028.0,2310.0,4438.0,3974.0,2252.0,284.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4723,1117,3112.0,4020.0,37.0,2443.0,2605.0,4243.0,1037.0,4365.0,5120.0,3008.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6257,4042,1514.0,1738.0,5541.0,3897.0,5489.0,751.0,3829.0,1409.0,5748.0,5246.0,4098.0,3829.0,1409.0,6019.0,1595.0,5194.0,1691.0,3649.0,1971.0,2525.0,1701.0,5825.0,3296.0,4042.0,3829.0,1409.0,5748.0,4365.0,3649.0,6468.0,6004.0,1146.0,1471.0,4042.0,3829.0,1409.0,6019.0,2605.0,1656.0,2678.0,3388.0,835.0,1183.0,3841.0,5458.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,3355,5721.0,3649.0,799.0,1738.0,393.0,1869.0,5883.0,2690.0,2605.0,2388.0,4805.0,3174.0,1701.0,2057.0,1585.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,6152,751.0,814.0,3911.0,4274.0,4942.0,5439.0,4274.0,4615.0,4830.0,5246.0,2605.0,3989.0,2252.0,5825.0,1183.0,5538.0,1701.0,4764.0,1528.0,1585.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,751,3606.0,4830.0,5246.0,2605.0,3686.0,3989.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6257,4042,5825.0,5375.0,5045.0,221.0,3041.0,2746.0,4371.0,6388.0,5808.0,4016.0,4556.0,3579.0,4468.0,6071.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074,5825,1254.0,1595.0,3989.0,1553.0,5825.0,1131.0,5240.0,4098.0,6304.0,4098.0,5458.0,4098.0,3110.0,6418.0,2057.0,4098.0,6279.0,4098.0,1338.0,4098.0,2057.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,1649,4042.0,2730.0,2605.0,282.0,6424.0,3701.0,2768.0,3724.0,3791.0,2573.0,2147.0,1701.0,1921.0,1279.0,2252.0,1991.0,6424.0,4968.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,4727,3586.0,3649.0,6033.0,4795.0,3825.0,4042.0,5825.0,1785.0,5883.0,2690.0,3170.0,3686.0,2732.0,5844.0,2252.0,1733.0,3791.0,4076.0,613.0,6496.0,2174.0,4323.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074,3540,1738.0,6400.0,1595.0,3430.0,4556.0,4155.0,1001.0,5883.0,964.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,6216,1020.0,2374.0,1971.0,4553.0,1595.0,1037.0,3945.0,4805.0,3649.0,203.0,5966.0,2008.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,3851,2605.0,161.0,4365.0,4127.0,2252.0,1733.0,3791.0,1609.0,613.0,1701.0,1528.0,1585.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,1086,4876.0,2605.0,5538.0,6424.0,3974.0,751.0,3294.0,5492.0,1129.0,4876.0,5246.0,5883.0,778.0,4303.0,5883.0,2252.0,1733.0,6424.0,4968.0,751.0,2942.0,613.0,5883.0,971.0,1585.0,5246.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6519,5883,5825.0,4562.0,6525.0,751.0,1363.0,5246.0,2252.0,5583.0,3813.0,1595.0,3428.0,6424.0,3010.0,1913.0,1884.0,2252.0,1595.0,3686.0,3620.0,4138.0,5825.0,3813.0,4741.0,107.0,5728.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709,441,4042.0,5825.0,673.0,4491.0,2605.0,5674.0,2310.0,229.0,5492.0,3853.0,3974.0,2252.0,229.0,1791.0,3330.0,3029.0,751.0,887.0,4044.0,5883.0,2546.0,3911.0,5246.0,6424.0,3649.0,176.0,5492.0,3410.0,4716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6171,4020,5698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4996,3348,4020.0,6077.0,1206.0,607.0,4583.0,1701.0,4077.0,4474.0,5289.0,562.0,4042.0,3378.0,3350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
